Aafrika	アフリカ
Devon	デボン紀
Habsburgid	ハプスブルク家
Sapp	胆汁
Kaliif	カリフ
Muusad	ムーサ
Deutsche Bank	ドイツ銀行
Segaarv	分数
Sahel	サヘル
Niccolò Paganini	ニコロ・パガニーニ
Valuutaturg	外国為替市場
Armulaua sakrament	聖餐
Ameerika Ühendriikide Senat	アメリカ合衆国上院
Valuutakurss	為替レート
Henry Kissinger	ヘンリー・キッシンジャー
Morelos	モレロス州
Tsüklilised ühendid	環式化合物
Teletaip	テレタイプ端末
Mälu (arvuti)	記憶装置
Erich I (Braunschweig-Calenberg-Göttingen)	エーリヒ1世 (ブラウンシュヴァイク＝カレンベルク＝ゲッティンゲン公)
Keskpank	中央銀行
Jaipur	ジャイプル
Daman ja Diu	ダマン・ディーウ連邦直轄領
Puducherry liiduterritoorium	ポンディシェリ連邦直轄領
Herbert Runge	ヘルベルト・ルンゲ
Johann I (Braunschweig-Lüneburg)	ヨハン (ブラウンシュヴァイク＝リューネブルク公)
Heinrich I (Anhalt)	ハインリヒ1世 (アンハルト伯)
Ernst II (Braunschweig-Lüneburg)	エルンスト2世 (ブラウンシュヴァイク＝リューネブルク公)
Adolf Johann	アドルフ・ヨハン1世 (プファルツ＝クレーブルク公)
August I (Braunschweig-Lüneburg)	アウグスト1世 (ブラウンシュヴァイク＝リューネブルク公)
Anna Kendrick	アナ・ケンドリック
Roberto Baggio	ロベルト・バッジョ
Giampiero Boniperti	ジャンピエロ・ボニペルティ
Gianluigi Buffon	ジャンルイジ・ブッフォン
Davos	ダボス
Interlaken	インターラーケン
Sion	シオン (スイス)
Zug	ツーク
Altdorf	アルトドルフ
Sierre	シエール
Erich II (Braunschweig-Calenberg-Göttingen)	エーリヒ2世 (ブラウンシュヴァイク＝カレンベルク＝ゲッティンゲン公)
Hawaii	ハワイ (曖昧さ回避)
Otto Sander	オットー・ザンダー
Samuel de Champlain	サミュエル・ド・シャンプラン
Ljudmila Gurtšenko	リュドミラ・グルチェンコ
Putian Shi	ホ田市
Rogier van der Weyden	ロヒール・ファン・デル・ウェイデン
Berliini metroo	ベルリン地下鉄
Friedrich IV (Braunschweig-Lüneburg)	フリードリヒ4世 (ブラウンシュヴァイク＝リューネブルク公)
Eluaegne vangistus	終身刑
Hawaii saar	ハワイ島
Xiamen Shi	廈門市
Mehhiko iseseisvussõda	メキシコ独立革命
Harilik jaanikaunapuu	キャロブ
Zhangzhou	ショウ州市
Luumurd	骨折
Arminius	アルミニウス (ゲルマン人)
Alamliik	亜種
Horvaatia iseseisvussõda	クロアチア紛争
Sankt Moritz	サンモリッツ
Adelboden	アーデルボーデン
Chur	クール (スイス)
Xining Shi	西寧市
Hassan II	ハサン2世 (モロッコ王)
Prantsuse kuningriik (1791–1792)	フランス立憲王国
Nathaniel Hawthorne	ナサニエル・ホーソーン
Neuchâtel	ヌーシャテル
2013. aasta Vormel 1 hooaeg	2013年のF1世界選手権
Céligny	セリニー
Varauusaegne Prantsusmaa	ブルボン朝
Nicole (Tšiili laulja)	ニコール (歌手)
Ecstasy	メチレンジオキシメタンフェタミン
Karl Grün	カール・グリューン
Taiga	タイガ
Amuuri tiiger	アムールトラ
Leysini vald	レザン
Hale'i-Boppi komeet	ヘール・ボップ彗星
2004. aasta Vormel 1 hooaeg	2004年のF1世界選手権
2005. aasta Vormel 1 hooaeg	2005年のF1世界選手権
Planeering	都市計画
2006. aasta Vormel 1 hooaeg	2006年のF1世界選手権
2007. aasta Vormel 1 hooaeg	2007年のF1世界選手権
Air India	エア・インディア
2008. aasta Vormel 1 hooaeg	2008年のF1世界選手権
2009. aasta Vormel 1 hooaeg	2009年のF1世界選手権
2010. aasta Vormel 1 hooaeg	2010年のF1世界選手権
2011. aasta Vormel 1 hooaeg	2011年のF1世界選手権
2012. aasta Vormel 1 hooaeg	2012年のF1世界選手権
2014. aasta Vormel 1 hooaeg	2014年のF1世界選手権
Christian Ludwig (Braunschweig-Lüneburg)	クリスティアン・ルートヴィヒ (ブラウンシュヴァイク＝リューネブルク公)
Slavutõtš	スラブチッチ
Anaplasma	アナプラズマ
Pierre-Augustin Caron de Beaumarchais	カロン・ド・ボーマルシェ
Gerd von Rundstedt	ゲルト・フォン・ルントシュテット
Alois Alzheimer	アロイス・アルツハイマー
Walter Model	ヴァルター・モーデル
Carl Wilhelm Scheele	カール・ヴィルヘルム・シェーレ
Roman Ungern von Sternberg	ロマン・ウンゲルン
Robin Szolkowy	ロビン・ゾルコーヴィ
Hartwig Gauder	ハートヴィッヒ・ガウダー
Heinz Guderian	ハインツ・グデーリアン
Theo Jörgensmann	テオ・ユルゲンスマン
Alkaloidid	アルカロイド
Wittekind (Waldeck)	ヴィッテキント・ツー・ヴァルデック＝ピルモント
Christian Luerssen	クリスティアン・ルエルセン
Heinrich XLV	ハインリヒ45世・ロイス・ツー・シュライツ
Aadam	アダム
Infrapunaspektroskoopia	赤外分光法
Prantsusmaa kuningriik	フランス王国
Sullivani maakond (New York)	サリバン郡 (ニューヨーク州)
Hildegard Bingenist	ヒルデガルト・フォン・ビンゲン
Karen Horney	カレン・ホーナイ
Robert Wilhelm Bunsen	ローベルト・ブンゼン
Salamanca provints	サラマンカ県
Prantsuse esimene keisririik	フランス第一帝政
Prantsuse teine keisririik	フランス第二帝政
Valladolidi provints	バリャドリッド県
Steubeni maakond	スチューベン郡 (ニューヨーク州)
Zamora provints	サモラ県
Seneca maakond (New York)	セネカ郡 (ニューヨーク州)
Leóni provints	レオン県 (スペイン)
Waldheim	ヴァルトハイム
Friedrich Dickel	フリードリヒ・ディッケル
Bette Davis	ベティ・デイヴィス
Sizzo	ジッツォ・フォン・シュヴァルツブルク
Potala	ポタラ宮
Charles II Paljaspea	シャルル2世 (西フランク王)
Adam Johnson	アダム・ジョンソン (サッカー選手)
Clark Gable	クラーク・ゲーブル
Spencer Tracy	スペンサー・トレイシー
Ezhou Shi	鄂州市
Mireille Mathieu	ミレイユ・マチュー
Windows Live Messenger	Windows Live メッセンジャー
Acerra	アチェッラ
Aomori prefektuur	青森県
Fukushima prefektuur	福島県
Hollywoodi kuulsuste allee	ハリウッド・ウォーク・オブ・フェーム
Lorient	ロリアン
Bretagne'i hertsogkond	ブルターニュ公国
Heinrich Donatus	ハインリヒ・ドナトゥス・フォン・ヘッセン
Tetris	テトリス
Urotropiin	ヘキサメチレンテトラミン
Mihhail Šiškin	ミハイル・シーシキン
Rudi Fink	ルディ・フィンク
Cicciano	チッチャーノ
Amundseni meri	アムンゼン海
Henry Dale	ヘンリー・ハレット・デール
Portsmouth	ポーツマス (イングランド)
Visa hing: hea päev, et surra	ダイ・ハード/ラスト・デイ
Refraktsioon	屈折
Fridtjof Nansen	フリチョフ・ナンセン
Ararat	アララト山
Elektrimootor	電動機
1370. aastad	1370年代
Toni Morrison	トニ・モリスン
Bürokraatia	官僚制
Sisuedastusvõrk	コンテンツデリバリネットワーク
Marry the Night	マリー・ザ・ナイト
The Edge of Glory	ジ・エッジ・オブ・グローリー
Sorrento	ソレント
Xubuntu	Xubuntu
Hải Phòng	ハイフォン
Stan Laurel	スタン・ローレル
Yuppie	ヤッピー
Oliver Hardy	オリヴァー・ハーディ
Franz Otto	フランツ・オットー (ブラウンシュヴァイク＝リューネブルク公)
Forest (Brüssel)	フォレスト (ベルギー)
Bing Crosby	ビング・クロスビー
Rootsi Eurovisiooni lauluvõistlusel	スウェーデンのユーロビジョン・ソング・コンテスト
Cheech Marin	チーチ・マリン
Willard Boyle	ウィラード・ボイル
Gene Kelly	ジーン・ケリー
Paul Karrer	パウル・カラー
Linfen Shi	臨汾市
Skandinaavia poolsaar	スカンディナヴィア半島
Belforte del Chienti	ベルフォルテ・デル・キエンティ
Londoni ülemlinnapea	ロンドン市長
Thibaut Courtois	ティボ・クルトゥワ
Sambia kvatša	ザンビア・クワチャ
Armin Prinz zur Lippe	アルミン・ツア・リッペ
Willian Borges da Silva	ウィリアン・ボルジェス・ダ・シウヴァ
Camporotondo di Fiastrone	カンポロトンド・ディ・フィアストローネ
Heinrich LXII	ハインリヒ62世 (弟系ロイス侯)
Cessapalombo	チェッサパロンボ
Fiona Shaw	フィオナ・ショウ
Futurama	フューチュラマ (アニメ)
Paraolümpiamängud	パラリンピック
Thorstein Veblen	ソースティン・ヴェブレン
Fiastra	フィアストラ
Laeng	チャージ (物理学)
Fiordimonte	フィオルディモンテ
Desinfektsioon	消毒薬
Normannide sissetung Lõuna-Itaaliasse	ノルマン人による南イタリア征服
Kummituslinn	ゴーストタウン
Itaalia kirjandus	イタリア文学
Tom McGrath	トム・マクグラス
Kääbik, ehk sinna ja tagasi	ホビットの冒険
Kääbikud	ホビット
Merihobuke	タツノオトシゴ
Spermatosoid	精子
Suur Türgi sõda	大トルコ戦争
Midlandi maakond (Michigan)	ミッドランド郡 (ミシガン州)
Bay maakond	ベイ郡 (ミシガン州)
Elvira Nabiullina	エリヴィラ・ナビウリナ
Maailma karikavõistlused suusahüpetes	スキージャンプ・ワールドカップ
Dalian	大連市
Anshan Shi	鞍山市
Vereteemant (film)	ブラッド・ダイヤモンド
Kruvipump	リショルム・コンプレッサ
Dandong Shi	丹東市
Pax Romana	パクス・ロマーナ
Saalomoni Saarte lipp	ソロモン諸島の国旗
Delfi	デルポイ
Paleosoikum	古生代
Lavamaa	台地
Miguel Ángel Asturias	ミゲル・アンヘル・アストゥリアス
Isaac Bashevis Singer	アイザック・バシェヴィス・シンガー
Väikekodanlus	小ブルジョア
Pierre de Fermat	ピエール・ド・フェルマー
406 eKr	紀元前406年
SC Braga	スポルティング・ブラガ
Macintosh	Macintosh
Samuel Morse	サミュエル・モールス
Pihklased	ヌタウナギ
Lissaboni Sporting	スポルティング・リスボン
Selenge	セレンガ川
Nikolaus Otto	ニコラウス・オットー
Eduard Bernstein	エドゥアルト・ベルンシュタイン
Michael Maestlin	ミヒャエル・メストリン
Luterlus	ルーテル教会
Nick Heidfeld	ニック・ハイドフェルド
Norbert Elias	ノルベルト・エリアス
Wilhelm Wundt	ヴィルヘルム・ヴント
Nico Rosberg	ニコ・ロズベルグ
Clara Zetkin	クララ・ツェトキン
Ralf Schumacher	ラルフ・シューマッハ
Lucius Sergius Catilina	ルキウス・セルギウス・カティリナ
Heinrich Wilhelm Olbers	ハインリヒ・オルバース
Thomas Brussig	トーマス・ブルスィヒ
Suurajukoor	大脳皮質
Vaikne Don	静かなドン
Friedrich Wilhelm Bessel	フリードリヒ・ヴィルヘルム・ベッセル
Tarastatud kogukond	ゲーテッドコミュニティ
Alfred Rosenberg	アルフレート・ローゼンベルク
Jorge Videla	ホルヘ・ラファエル・ビデラ
Georg Philipp Telemann	ゲオルク・フィリップ・テレマン
Suuraju	大脳
Rudolf Heß	ルドルフ・ヘス
Arnold Zweig	アルノルト・ツヴァイク
Karl Liebknecht	カール・リープクネヒト
Friedrich Hölderlin	フリードリヒ・ヘルダーリン
Turkestani ANSV	トルキスタン自治ソビエト社会主義共和国
Josias (Waldeck)	ヨシアス・ツー・ヴァルデック＝ピルモント
Tugevuspiir	強度
Kreeka-Pärsia sõjad	ペルシア戦争
Kanada kilp	カナダ楯状地
Kongo Vaba Riik	コンゴ自由国
Tadžiki ANSV	タジク自治ソビエト社会主義共和国
Diego Milito	ディエゴ・ミリート
Glämmrokk	グラムロック
Valgeamuur	ソウギョ
Pakslaup	ハクレン
Salar de Uyuni	ウユニ
Sukarno	スカルノ
Megawati Soekarnoputri	メガワティ・スティアワティ・スカルノプトゥリ
Leedu-Valgevene NSV	リトアニア＝白ロシア・ソビエト社会主義共和国
Punanihe	赤方偏移
Paleotseen	暁新世
Call of Duty 4	コール オブ デューティ4 モダン・ウォーフェア
Pliotseen	鮮新世
Miotseen	中新世
Sandra Schmitt	サンドラ・シュミット
Eotseen	始新世
Linask	テンチ
Kääne (astronoomia)	赤緯
Pelée	プレー山
Alfred Wegener	アルフレート・ヴェーゲナー
Philipp Melanchthon	フィリップ・メランヒトン
Boris Becker	ボリス・ベッカー
Nikolaus Ludwig von Zinzendorf	ニコラウス・フォン・ツィンツェンドルフ
Sabine Lisicki	ザビーネ・リシキ
Otto von Habsburg	オットー・フォン・ハプスブルク
Mileva Marić	ミレヴァ・マリッチ
Hans-Georg Gadamer	ハンス・ゲオルク・ガダマー
Jürgen Habermas	ユルゲン・ハーバーマス
Carl von Ossietzky	カール・フォン・オシエツキー
Ernst Abbe	エルンスト・アッベ
Wilhelm Keitel	ヴィルヘルム・カイテル
Hans Zimmer	ハンス・ジマー
Regiomontanus	レギオモンタヌス
Martin Bormann	マルティン・ボルマン
Sinn Féin	シン・フェイン党
Perm (geoloogia)	ペルム紀
Charles Bukowski	チャールズ・ブコウスキー
Jakob Michael Reinhold Lenz	ヤーコプ・ミヒャエル・ラインホルト・レンツ
Georg Cantor	ゲオルク・カントール
Ludwig Feuerbach	ルートヴィヒ・アンドレアス・フォイエルバッハ
Carl Philipp Emanuel Bach	カール・フィリップ・エマヌエル・バッハ
Carl von Clausewitz	カール・フォン・クラウゼヴィッツ
Johann Gottfried Galle	ヨハン・ゴットフリート・ガレ
Rudolf Virchow	ルドルフ・ルートヴィヒ・カール・フィルヒョウ
Eva Braun	エヴァ・ブラウン
Doppleri efekt	ドップラー効果
Karl Dönitz	カール・デーニッツ
Magdalena Neuner	マグダレナ・ノイナー
Michael Uhrmann	ミヒャエル・ウアマン
Kaheksandsüsteem	八進法
Otto Heinrich Warburg	オットー・ワールブルク
August Weismann	アウグスト・ヴァイスマン
Pisaravedelik	涙
Rainer Maria Rilke	ライナー・マリア・リルケ
Johann Pachelbel	ヨハン・パッヘルベル
Paul von Heyse	パウル・フォン・ハイゼ
Dzeržinsk	ジェルジンスク
Michael Ende	ミヒャエル・エンデ
Johann Hamann	ヨハン・ゲオルク・ハーマン
Nicolai Hartmann	ニコライ・ハルトマン
Tädi	おば
Karl Jaspers	カール・ヤスパース
Christian Wolff	クリスティアン・ヴォルフ
Alfred Weber	アルフレート・ヴェーバー
Alexander Gottlieb Baumgarten	アレクサンダー・ゴットリープ・バウムガルテン
Max Scheler	マックス・シェーラー
Günter Verheugen	ギュンター・フェアホイゲン
Ernst Schumacher	エルンスト・フリードリッヒ・シューマッハー
Ulrike Meinhof	ウルリケ・マインホフ
Erich Kästner	エーリッヒ・ケストナー
Nico Hülkenberg	ニコ・ヒュルケンベルグ
Meister Eckhart	マイスター・エックハルト
Christian Gottfried Ehrenberg	クリスチャン・ゴットフリート・エーレンベルク
Susanne Lothar	ズザンネ・ロータ
Joseph II	ヨーゼフ2世
Onu	おじ
Siegbert Tarrasch	ジークベルト・タラッシュ
Antidepressandid	抗うつ薬
Heinricus Cornelius Agrippa	ハインリヒ・コルネリウス・アグリッパ
Friedrich Daniel Ernst Schleiermacher	フリードリヒ・シュライアマハー
Georgius Agricola	ゲオルク・アグリコラ
Kombinatoorika	組合せ数学
Emil Erlenmeyer	エミール・エルレンマイヤー
Vägivallatus	非暴力
Hans von Euler-Chelpin	ハンス・フォン・オイラー＝ケルピン
Gregor Strasser	グレゴール・シュトラッサー
Felix Klein	フェリックス・クライン
Mathias Rust	マチアス・ルスト
Frank-Walter Steinmeier	フランク＝ヴァルター・シュタインマイアー
Nõbu	いとこ
Johann Friedrich Herbart	ヨハン・フリードリヒ・ヘルバルト
Keskuskohtade teooria	中心地理論
Ludwig Quidde	ルートヴィッヒ・クヴィデ
Karl Lagerfeld	カール・ラガーフェルド
Claudia Schiffer	クラウディア・シファー
Timo Glock	ティモ・グロック
Ernst Jünger	エルンスト・ユンガー
Karl VII (Saksa-Rooma keiser)	カール7世 (神聖ローマ皇帝)
Karl Haushofer	カール・ハウスホーファー
Matthias Jacob Schleiden	マティアス・ヤコブ・シュライデン
Rudolf Otto	ルドルフ・オットー
Adolf Dassler	アドルフ・ダスラー
Fabian Gottlieb von Bellingshausen	ファビアン・ゴットリープ・フォン・ベリングスハウゼン
Friedrich Ratzel	フリードリヒ・ラッツェル
Ferdinand Cohn	フェルディナント・コーン
Friedrich Kellner	フリードリッヒ・ケルナー
Friedrich August Kekulé	アウグスト・ケクレ
Adelheid	ブルグントのアーデルハイト
Christoph Waltz	クリストフ・ヴァルツ
Max Horkheimer	マックス・ホルクハイマー
Emil Kraepelin	エミール・クレペリン
Carl Zeiss	カール・フリードリヒ・ツァイス
Gottfried Böhm	ゴットフリート・ベーム
Ulrich Beck	ウルリッヒ・ベック
Georg Simmel	ゲオルク・ジンメル
Franz Boas	フランツ・ボアズ
Baldur von Schirach	バルドゥール・フォン・シーラッハ
Bruno Bauer	ブルーノ・バウアー
Gustav Fechner	グスタフ・フェヒナー
Petrooleum	ケロシン
August von Mackensen	アウグスト・フォン・マッケンゼン
Wilhelm Kühne	ウィルヘルム・キューネ
Karl-Theodor zu Guttenberg	カール＝テオドール・ツー・グッテンベルク
Veneta laguun	ヴェネツィアの潟
Mary (Tecki printsess)	メアリー・オブ・テック
Franz Bopp	フランツ・ボップ
Friisi saared	フリースラント諸島
Gert Fröbe	ゲルト・フレーベ
Caroline Herschel	カロライン・ハーシェル
Rudolf I (Saksa kuningas)	ルドルフ1世 (神聖ローマ皇帝)
Johann Elert Bode	ヨハン・ボーデ
Augusta (Saksi-Gotha printsess)	オーガスタ・オブ・サクス＝ゴータ
Pavel Tšerenkov	パーヴェル・チェレンコフ
Sophie Scholl	ゾフィー・ショル
Rudolf Höß	ルドルフ・フェルディナント・ヘス
Agatha Christie bibliograafia	アガサ・クリスティの著作一覧
Julius Streicher	ユリウス・シュトライヒャー
Anton Drexler	アントン・ドレクスラー
Wladimir Köppen	ウラジミール・ペーター・ケッペン
ATB	アンドレ・タンネバーガー
Ernst Thälmann	エルンスト・テールマン
Heinrich Rickert	ハインリヒ・リッケルト
Jakob Böhme	ヤーコプ・ベーメ
Chacachacare	チャカチャカレ
Lion Feuchtwanger	リオン・フォイヒトヴァンガー
Chris Kaman	クリス・ケイマン
Wilhelm Windelband	ヴィルヘルム・ヴィンデルバント
Dietrich Fischer-Dieskau	ディートリヒ・フィッシャー＝ディースカウ
Karl Friedrich Hieronymus von Münchhausen	ミュンヒハウゼン男爵
Bert Sakmann	ベルト・ザクマン
Klaus Mann	クラウス・マン
Karl Jatho	カール・ヤトー
Kurt Lewin	クルト・レヴィン
Joseph Gerhard Zuccarini	ヨーゼフ・ゲアハルト・ツッカリーニ
Erwin Neher	エルヴィン・ネーアー
Carl Schmitt	カール・シュミット
Konstantin Fehrenbach	コンスタンティン・フェーレンバッハ
Christiane Nüsslein-Volhard	クリスティアーネ・ニュスライン＝フォルハルト
Angelique Kerber	アンゲリク・ケルバー
Leopold von Ranke	レオポルト・フォン・ランケ
Lothar III (Saksa-Rooma keiser)	ロタール3世 (神聖ローマ皇帝)
Otto Grotewohl	オットー・グローテヴォール
Katharina von Bora	カタリナ・ルター
Willem II (Hollandi krahv)	ウィレム2世 (ホラント伯)
Regina von Habsburg	レギーナ・フォン・ザクセン＝マイニンゲン
Karl Harrer	カール・ハラー
Stanislaw Tillich	スタニスラフ・ティリッヒ
Oswald Schmiedeberg	オスヴァルト・シュミーデベルク
Max Vasmer	マックス・ファスマー
Hinrich Lohse	ヒンリヒ・ローゼ
Heinrich Julius	ハインリヒ・ユリウス (ブラウンシュヴァイク＝ヴォルフェンビュッテル公)
Radioloogia	放射線医学
Benoît Assou-Ekotto	ブノワ・アスー＝エコト
Wilhelm von Humboldt	ヴィルヘルム・フォン・フンボルト
Siegfried Borris	ジークフリート・ボリス (作曲家)
Oranje Willem	ウィレム1世 (オラニエ公)
Ernst Kaltenbrunner	エルンスト・カルテンブルンナー
Alban Berg	アルバン・ベルク
Richard Kuhn	リヒャルト・クーン
Rudolf Steiner	ルドルフ・シュタイナー
Anna Freud	アンナ・フロイト
Robert Musil	ロベルト・ムージル
Alfred Hermann Fried	アルフレート・フリート
Niki Lauda	ニキ・ラウダ
Stefan Zweig	シュテファン・ツヴァイク
Tomáš Masaryk	トマーシュ・マサリク
Valarid	ヴァラ
Arthur Koestler	アーサー・ケストラー
Konrad Lorenz	コンラート・ローレンツ
Paul Feyerabend	ポール・ファイヤアーベント
Alexander Wurz	アレクサンダー・ヴルツ
Alois Hitler	アロイス・ヒトラー
Gerhard Berger	ゲルハルト・ベルガー
Hermann Oberth	ヘルマン・オーベルト
Peter Lorre	ピーター・ローレ
Ingeborg Bachmann	インゲボルク・バッハマン
Manwë	マンウェ
Gustav Meyrink	グスタフ・マイリンク
Karl Habsburg-Lothringen	カール・ハプスブルク＝ロートリンゲン
Anna Netrebko	アンナ・ネトレプコ
Fritz Kreisler	フリッツ・クライスラー
Alexander von Zemlinsky	アレクサンダー・フォン・ツェムリンスキー
Richard Nikolaus von Coudenhove-Kalergi	リヒャルト・クーデンホーフ＝カレルギー
Otto Neurath	オットー・ノイラート
Othenio Abel	オテニオ・アーベル
Eugen (ertshertsog)	オイゲン・フォン・エスターライヒ
Alexius Meinong	アレクシウス・マイノング
Stephan Endlicher	シュテファン・エンドリヒャー
Adolf Schmal	アドルフ・シュマル
Waris Dirie	ワリス・ディリー
Jenissei	エニセイ川
Hans Swarowsky	ハンス・スワロフスキー
Ferdinand Anton Ernst Porsche	フェルディナンド・アントン・エルンスト・ポルシェ
Jana	ヤナ川
August Kubizek	アウグスト・クビツェク
Kolõma jõgi	コリマ川
Onega jõgi	オネガ川
Üheidulehelised	単子葉植物
Peloponnesos	ペロポネソス半島
Elektronegatiivsus	電気陰性度
San Luis Potosí osariik	サン・ルイス・ポトシ州
Elektrikitarr	エレクトリック・ギター
Napoleoni sõjad	ナポレオン戦争
Pieter Zeeman	ピーター・ゼーマン
Tänav	ストリート
Walter Scott	ウォルター・スコット
Mike Tyson	マイク・タイソン
Ämblikmees	スパイダーマン
Ametüst	アメシスト
Kambrium	カンブリア紀
Kama jõgi	カマ川
Giuliano Razzoli	ジュリアーノ・ラッツォーリ
Mezeni jõgi	メゼニ川
Vatikani lipp	バチカンの国旗
Fort Yukon	フォートユーコン
Antikehad	抗体
Keemiline aine	化学物質
Chrome OS	Google Chrome OS
Fort Smith	フォートスミス (アーカンソー州)
Tuscaloosa	タスカルーサ (アラバマ州)
Tsüklon	サイクロン
Fairbanks	フェアバンクス
Carlo Janka	カルロ・ヤンカ
Universaalne mobiilsidesüsteem	Universal Mobile Telecommunications System
Kolmanda põlvkonna mobiilside	第3世代移動通信システム
4G	第4世代移動通信システム
LTE	Long Term Evolution
Keskmaa	中つ国 (トールキン)
Γ-butürolaktoon	Γ-ブチロラクトン
Küünal	ろうそく
1230. aastad	1230年代
Oligarhia	寡頭制
Querétaro	ケレタロ州
Baromeeter	気圧計
John Milton	ジョン・ミルトン
Vikipeedia:Eeskujulike artiklite kandidaadid	Wikipedia:秀逸な記事の選考
Vikipeedia:Heade artiklite kandidaadid	Wikipedia:良質な記事/良質な記事の選考
Liikumine	運動 (物理学)
Sõbrad	フレンズ (1994年のテレビドラマ)
Elektrokardiogramm	心電図
Friedrich I Barbarossa	フリードリヒ1世 (神聖ローマ皇帝)
Rekonkista	レコンキスタ
Leetrid	麻疹
Punahirv	アカシカ
273 eKr	紀元前273年
930. aastad	930年代
Armeenlased	アルメニア人
Masintõlge	機械翻訳
Argentina jalgpallikoondis	サッカーアルゼンチン代表
Merisiga	モルモット
Sitka	シトカ
Constanța	コンスタンツァ
Kanep	アサ
Yuma	ユマ (アリゾナ州)
1390. aastad	1390年代
Adam Mickiewicz	アダム・ミツキェヴィチ
Päikesetuul	太陽風
Akordion	アコーディオン
Flagstaff	フラッグスタッフ (アリゾナ州)
Southampton	サウサンプトン
Palmer	パーマー (アラスカ州)
Ekliptika	黄道
Nõukogude Liidu Kommunistlik Partei	ソビエト連邦共産党
2014. aasta jalgpalli maailmameistrivõistlused	2014 FIFAワールドカップ
Huntsville	ハンツビル
Michoacán	ミチョアカン州
Tshinvali	ツヒンヴァリ
Birmingham (Alabama)	バーミングハム (アラバマ州)
Prantsusmaa monarhide loend	フランス君主一覧
Objektorienteeritud programmeerimine	オブジェクト指向プログラミング
Afganistani lipp	アフガニスタンの国旗
Mobile	モービル (アラバマ州)
Isis	イシス
Debrecen	デブレツェン
Hormuzi väin	ホルムズ海峡
Soome-ugri keeled	フィン・ウゴル語派
Braille kiri	点字
Võimude lahusus	権力分立
Morse	モールス符号
Tsütoplasma	細胞質
Jerome David Salinger	J・D・サリンジャー
Vene kodusõda	ロシア内戦
Valitsusväline organisatsioon	非政府組織
Jäälind	カワセミ
Durango osariik	ドゥランゴ州
Nayarit	ナヤリット州
1130. aastad	1130年代
Puebla osariik	プエブラ州
Tumeaine	暗黒物質
Endoplasmaatiline retiikulum	小胞体
Akne	ニキビ
Õietolm	花粉
Route 66	国道66号線 (アメリカ合衆国)
271 eKr	紀元前271年
Omaani laht	オマーン湾
Vikipeedia:Usaldusväärsuse tagamine	Wikipedia:検証可能性
Aguascalientese osariik	アグアスカリエンテス州
Wasilla	ワシラ (アラスカ州)
Lunastaja Kristuse kuju	コルコバードのキリスト像
Kuldhord	ジョチ・ウルス
2011. aasta terrorirünnakud Norras	ノルウェー連続テロ事件
Emma Goldman	エマ・ゴールドマン
James I (Inglismaa)	ジェームズ1世 (イングランド王)
1360. aastad	1360年代
1270. aastad	1270年代
José Mourinho	ジョゼ・モウリーニョ
Ethernet	イーサネット
Christchurch	クライストチャーチ
Osoonikiht	オゾン層
Nome	ノーム (アラスカ州)
Uranos	ウーラノス
Sõnajalgtaimed	シダ植物
Programmeerimine	プログラミング (コンピュータ)
Tamaulipas	タマウリパス州
Chiba prefektuur	千葉県
Kontrabass	コントラバス
Daugavpils	ダウガフピルス
Pomelipuu	ブンタン
Erosioon	侵食
Aleksander I (paavst)	アレクサンデル1世 (ローマ教皇)
Armeenlaste genotsiid	アルメニア人虐殺
Amasya provints	アマスィヤ県
Ruti raamat	ルツ記
Kasahhid	カザフ
Tšekk	小切手
Põgenemine (seriaal)	プリズン・ブレイク
Charlize Theron	シャーリーズ・セロン
Al Capone	アル・カポネ
Sonett	ソネット
Nobeli füsioloogia- või meditsiiniauhind	ノーベル生理学・医学賞
Elias Canetti	エリアス・カネッティ
Eristiivalised	トンボ亜目
Megan Fox	ミーガン・フォックス
Sümbol	シンボル
Babsk	バプスク (ウッチ県)
Harilik aaloe	アロエベラ
Humanitaarteadused	人文科学
Integraal	積分法
Kenzaburō Ōe	大江健三郎
Kanada lipp	カナダの国旗
Ekspressionism	表現主義
Krevetilised	コエビ下目
Nürnbergi protsess	ニュルンベルク裁判
Pokker	ポーカー
Dmitri Šostakovitš	ドミートリイ・ショスタコーヴィチ
Emily Brontë	エミリー・ブロンテ
Kübar	帽子
Šimpans (perekond)	チンパンジー属
Dendrokronoloogia	年輪年代学
Pudel	瓶
Uurali jõgi	ウラル川
Quintana Roo	キンタナ・ロー州
Sinaloa	シナロア州
Zacatecase osariik	サカテカス州
Vioola	ヴィオラ
Keelatud linn	紫禁城
Tselluloos	セルロース
Angeli juga	エンジェルフォール
Korn	コーン (バンド)
Tamili Eelami Vabastustiigrid	タミル・イーラム解放のトラ
Halldór Laxness	ハルドル・ラクスネス
William Parry Murphy	ウィリアム・P・マーフィ
Inglise kodusõda	イングランド内戦
Bengal	ベンガル地方
Olümpos	オリンポス山
Pauluse esimene kiri korintlastele	コリントの信徒への手紙一
Must-harksaba	トビ
Vaalhai	ジンベエザメ
Kääbik: Ootamatu teekond	ホビット 思いがけない冒険
Kuriilid	千島列島
Perikles	ペリクレス
Julianne Moore	ジュリアン・ムーア
Novaja Zemlja	ノヴァヤゼムリャ
Nelly Furtado	ネリー・ファータド
Aichi prefektuur	愛知県
Anna Ahmatova	アンナ・アフマートヴァ
Anacletus I	アナクレトゥス (ローマ教皇)
Morgoth	モルゴス
