افریقہ	アフリカ
امدادی	ビアンカの大冒険
بالٹک ریاستیں	バルト三国
لاواگ	ラオアグ
اکنکاگوا	アコンカグア
غزہ کی پٹی	ガザ地区
Be.	.be
پیتل	黄銅
جزیرین	インスリン
ماریو ورگاس للوسا	マリオ・バルガス・リョサ
وادی	谷
مردم شماری	国勢調査
یک خلوی جاندار	微生物
ابن رشد	イブン・ルシュド
ریڈیو اسٹوڈیو 54 نیٹ ورک	Radio Studio 54 Network
1860ء کی دہائی	1860年代
1870ء کی دہائی	1870年代
آگرہ، لامبرڈی	アグラ (イタリア)
ابابیل	ツバメ科
By.	.by
Fj.	.fj
Cl.	.cl
رباط (تشریح)	靭帯
Br.	.br
Is.	.is
اگوردو	アーゴルド
Lt.	.lt
Bz.	.bz
Cg.	.cg
بادام	アーモンド
لوقا کی انجیل	ルカによる福音書
وید	ヴェーダ
Pt.	.pt
نوسٹرا ڈیمس	ノストラダムス
Bh.	.bh
Bt.	.bt
شمسی توانائی	太陽エネルギー
سیلویسٹر سٹالون	シルヴェスター・スタローン
جنوبی ریو گرانڈی	リオグランデ・ド・スル州
ایمازوناس (برازیلی ریاست)	アマゾナス州
مشروب	飲料
کمپیوٹر پروگرام	プログラム (コンピュータ)
جیسیکا کیپشا	ジェシカ・キャプショー
دریائے اردن	ヨルダン川
کینڈی کلارک	キャンディ・クラーク
اجاکیو	アジャクシオ
بیضہ	楕円
سئیرا	セアラー州
اماپا	アマパー州
لاوا	溶岩
کیٹ کیپشا	ケイト・キャプショー
ڈیوائن کامیڈی	神曲
ہوبارٹ	ホバート
1810ء کی دہائی	1810年代
قدیم زمانہ پتھر	旧石器時代
ڈبلیو بی . یٹس	ウィリアム・バトラー・イェイツ
خلائیہ	宇宙機
انتخابات	選挙
میناوس	マナウス
میراتھن	マラソン
جولی بون	ジュリー・ボーウェン
صوبہ انطالیہ	アンタルヤ県
نویہ (خلیہ)	細胞核
سپرنگفیلڈ، اوریگون	スプリングフィールド (オレゴン州)
پورتو الیگرے	ポルト・アレグレ
ضرب (ریاضی)	乗法
نیو گنی	ニューギニア島
لومڑی اور شکاری کتا	きつねと猟犬
رسولوں کے اعمال	使徒言行録
Md.	.md
سپرنگفیلڈ، اوہائیو	スプリングフィールド (オハイオ州)
Ci.	.ci
An.	.an
جولیٹ، الینوائے	ジョリエット (イリノイ州)
قانوندان	弁護士
قید خانہ	刑務所
صحراوی عرب عوامی جمہوریہ	サハラ・アラブ民主共和国
Et.	.et
Tv.	.tv
Eg.	.eg
بیلائت ضلع	ブライト地区
نسیج	組織 (生物学)
توتنگ ضلع	ツトン地区
تاثریت	印象派
Fm.	.fm
باہیا	バイーア州
Se.	.se
Cy.	.cy
Il.	.il
اینڈریا بوون	アンドレア・ボーウェン
جوآن کرافورڈ	ジョーン・クロフォード
سلاو	スラヴ人
لندن بورو ہیمرسمتھ اور فلہم	ハマースミス・アンド・フラム・ロンドン特別区
پاپائے روم کی فہرست	ローマ教皇の一覧
پرویز مشرف	パルヴェーズ・ムシャラフ
Bo.	.bo
Bs.	.bs
جولیا رابرٹس	ジュリア・ロバーツ
آگرات بریانز	アグラーテ・ブリアンツァ
دائرۃ البروج	黄道十二星座
صوبہ آدانا	アダナ県
قرن افریقہ	アフリカの角
سومو کشتی	相撲
لوط علیہ السلام	ロト (聖書)
سان فرنانڈو، لا یونین	サンフェルナンド (ラ・ウニョン州)
لارج ہیڈرن کولائیڈر	大型ハドロン衝突型加速器
لندن بورو والتھم فارسٹ	ウォルサム・フォレスト・ロンドン特別区
انوار قطبی	オーロラ
Kz.	.kz
Hu.	.hu
تاکلوبان	タクロバン
کرۂ متغیرہ	対流圏
Ua.	.ua
یحییٰ علیہ السلام	洗礼者ヨハネ
Cd.	.cd
ابولڈو	ウボルド
Ge.	.ge
Cm.	.cm
جینیفر لوپیز	ジェニファー・ロペス
بورصہ	ブルサ
امتحان بے گناہی	神明裁判
استنزال	減法
کوہ دماوند	ダマーヴァンド山
بیج	種子
اکری (ریاست)	アクレ州
نکولس ثانی	ニコライ2世
سینڈرا بولاک	サンドラ・ブロック
سخومی	スフミ
بنغازی	ベンガジ
جراحت	外科学
نٹ ہمسن	クヌート・ハムスン
ٹیمپیر	タンペレ
ٹینرائف	テネリフェ島
ایڈورڈ جینر	エドワード・ジェンナー
دریائے دنیپر	ドニエプル川
سنگ مرمر	大理石
اورت بادل	オールトの雲
ڈورس لیسنگ	ドリス・レッシング
اسہال	下痢
الاگواس	アラゴアス州
جزائر انڈمان و نکوبار	アンダマン・ニコバル諸島
ورجینیا وولف	ヴァージニア・ウルフ
ہونیارا	ホニアラ
بول	尿
1850ء کی دہائی	1850年代
ایس کلس	アイスキュロス
پرنامبوکو	ペルナンブーコ州
انہوئی	安徽省
Cr.	.cr
Mx.	.mx
سکائپ	Skype
Bw.	.bw
پورشے	ポルシェ
Do.	.do
Cu.	.cu
Hr.	.hr
Dj.	.dj
Er.	.er
Cv.	.cv
Hn.	.hn
Dm.	.dm
جولی ایڈمز	ジュリー・アダムス
Lk.	.lk
Dz.	.dz
ہیرلڈ پنٹر	ハロルド・ピンター
Kh.	.kh
حزب اللہ	ヒズボラ
پیشانی	額
No.	.no
کتاب زبور	詩篇
جنوبی چونگچیونگ صوبہ	忠清南道
گانگوان صوبہ (جنوبی کوریا)	江原道 (南)
رام نارائن	ラム・ナラヤン
اندرونی منگولیا	内モンゴル自治区
شبنم	露
Bj.	.bj
Id.	.id
شوتوکان	松濤館流
Tr.	.tr
کوماگایا، سائیتاما	熊谷市
Ht.	.ht
انفصام	統合失調症
Ec.	.ec
سانتا کاتارینا (ریاست)	サンタカタリーナ州
سرخ چوک	赤の広場
پوسائڈن	ポセイドーン
اشوریہ	アッシリア
جین فونڈا	ジェーン・フォンダ
سینٹ جیمس کا راستہ	サンティアゴ・デ・コンポステーラの巡礼路
جنوبی گیئونگسانگ صوبہ	慶尚南道
شمالی گیئونگسانگ صوبہ	慶尚北道
شمالی جئولا صوبہ	全羅北道
جنوبی جئولا صوبہ	全羅南道
روس کی جمہوریات	ロシアの共和国
جیجو صوبہ	済州特別自治道
بیروزگاری	失業
ہائلی سلاسی	ハイレ・セラシエ1世
دریائے میکانگ	メコン川
حلب	アレッポ
سونی	ソニー
Cf.	.cf
Bf.	.bf
Bn.	.bn
سکّہ	硬貨
سان جوآن	サンフアン (プエルトリコ)
بابل کا برج	バベルの塔
آلاتیات	力学
بورسپاسٹرنک	ボリス・パステルナーク
بگ بین	ビッグ・ベン
جنوبی نصف کرہ	南半球
بائدگوسزسز	ブィドゴシュチュ
نگار خانہ قومی نشانات بلحاظ ملک	国章の一覧
ناٹنگھم	ノッティンガム
السان	蔚山広域市
گوانگ جو	光州広域市
جان ڈالٹن	ジョン・ドルトン
راکٹ	ロケット
باسیتیر	バセテール
فرسان الہیکل	テンプル騎士団
ظہارہ	上皮細胞
فہرست لیبیا کے شہر	リビアの都市の一覧
برق مچھلی	シビレエイ目
Mk.	.mk
امریکی فٹ بال	アメリカンフットボール
فہرست آسٹریا کے شہر	オーストリアの都市の一覧
لینتز	リンツ
میری ٹائلر مور	メアリー・タイラー・ムーア
سرکہ	酢
سٹیریا	シュタイアーマルク州
طولِ موج	波長
شمالی کوریا کی انتظامی تقسیم	朝鮮民主主義人民共和国の地方行政区画
کرٹ گوڈل	クルト・ゲーデル
کوہ اسماعیل سامانی	イスモイル・ソモニ峰
کانگوون صوبہ (شمالی کوریا)	江原道 (北)
ہیسٹیہ	ヘスティアー
ریو دے جینیرو (ریاست)	リオデジャネイロ州
خلیج گنی	ギニア湾
Sa.	.sa
Gd.	.gd
Ma.	.ma
Gy.	.gy
Gw.	.gw
Gq.	.gq
آئس ہاکی	アイスホッケー
کردستان	クルディスタン
کنگز ٹاؤن	キングスタウン
بواسیر	痔
عدالت	裁判所
وو ل سوینکا	ウォーレ・ショインカ
کتاب احبار	レビ記
جڑ	根
ہینرک شنگوچ	ヘンリク・シェンキェヴィチ
لوکاٹ	ビワ
سال (کیمیاء)	モル
Sk.	.sk
نشاستہ	デンプン
سینٹ جارجز	セントジョージズ
انجمن اقتصادی تعاون و ترقی	経済協力開発機構
روڈس کا مجسمہ	ロドス島の巨像
مرگی	てんかん
خلیج بسکے	ビスケー湾
ڈیوڈ ھلبرٹ	ダフィット・ヒルベルト
گوئیاس	ゴイアス州
قانون اوہم	オームの法則
کرسٹینا ایگولیرا	クリスティーナ・アギレラ
بحیرہ اخوتسک	オホーツク海
امیان	アミアン
قسطنطین چہارم	コンスタンティノス4世
قسطن ثانی	コンスタンス2世
آئینی بادشاہت	立憲君主制
حیفا	ハイファ
To.	.to
Lv.	.lv
Gh.	.gh
Mm.	.mm
Hk.	.hk
فونیقی	フェニキア
وارسا معاہدہ	ワルシャワ条約機構
پرچم بھارت	インドの国旗
گنیز ورلڈ ریکارڈز	ギネス世界記録
تھوسی ڈائڈز	トゥキディデス
سنہرا تناسب	黄金比
خچر	ラバ
کاستریس	カストリーズ
فوجیان	福建省
نسلیت	民族
Kg.	.kg
فری میسن	フリーメイソン
بحیرہ آئرش	アイリッシュ海
تھریس	トラキア
آخیل	アキレウス
کلیگنفرٹ	クラーゲンフルト
Gm.	.gm
Gn.	.gn
Iq.	.iq
Ir.	.ir
Gt.	.gt
Ga.	.ga
Mh.	.mh
Ls.	.ls
Lu.	.lu
گرام	グラム
کنساس شہر، مسوری	カンザスシティ (ミズーリ州)
Tm.	.tm
ہفتہ کے دن	曜日
چتور گڑھ	チットールガル
شہادت	シャハーダ
Lb.	.lb
خلیج عدن	アデン湾
Ph.	.ph
Zm.	.zm
بئر السبع	ベエルシェバ
Uz.	.uz
Uy.	.uy
Sg.	.sg
ہرقل	ヘラクレイオス
Kr.	.kr
Mt.	.mt
فرط تناؤ	高血圧
جسٹینین اول	ユスティニアヌス1世
پال نیومین	ポール・ニューマン
بین النجمی واسطہ	星間物質
رمس	ランス (マルヌ県)
بیزواٹر	ベイズウォーター
منموہن سنگھ	マンモハン・シン
روزا پارکس	ローザ・パークス
La.	.la
بابل کے معلق باغات	バビロンの空中庭園
Jm.	.jm
Pa.	.pa
Pe.	.pe
سری جے وردھنے پورا کوٹے	スリジャヤワルダナプラコッテ
اورال وفاقی ضلع	ウラル連邦管区
بالائی آسٹریا	オーバーエスターライヒ州
بعید مشرقی وفاقی ضلع	極東連邦管区
پیاتیگورسک	ピャチゴルスク
مغول	モンゴル系民族
سائبیریائی وفاقی ضلع	シベリア連邦管区
دی مقراطیس	デモクリトス
Bi.	.bi
تاہیٹی	タヒチ島
بادشاہی	主権
مروان شماخ	マルアーヌ・シャマフ
سین-رمے-ین-بوزمونٹ-سین-گنیست-یت-اسون	サン＝ルミ＝アン＝ブズモン＝サン＝ジュネ＝エ＝イソン
انور سادات	アンワル・アッ＝サーダート
Nz.	.nz
Mc.	.mc
Ml.	.ml
Ki.	.ki
بلند ترین اسم ساحہ برائے ممالک	国別コードトップレベルドメイン
Tj.	.tj
خدیجہ بنت خویلد	ハディージャ・ビント・フワイリド
Ly.	.ly
ژاں ماری لی کلیزیو	ジャン＝マリ・ギュスターヴ・ル・クレジオ
شامانیت	シャーマニズム
لگڑبھگا	ハイエナ
بالمورل قلعہ	バルモラル城
اصفہان	エスファハーン
گانگنیونگ	江陵市
گیوجے	巨済市
گیونگسان	慶山市
گیئریونگ	鶏龍市
گویانگ	高陽市
گونگجو	公州市
گواچیون	果川市
گوانگمیانگ	光明市
گوانگیانگ	光陽市
گوانگ جو، گیئونگی	広州市 (京畿道)
صحرائے گوبی	ゴビ砂漠
گوری	九里市
گومی، شمالی گیئونگسانگ	亀尾市
گنسان	群山市
گنپو	軍浦市
گمجے	金堤市
گمچیون	金泉市
گمپو	金浦市
گمہائے	金海市
ناجو	羅州市
نامیانگجو	南楊州市
ناموون	南原市
نونسان	論山市
ڈانگجن	唐津市 (忠清南道)
ڈونگڈوچیون	東豆川市
ڈونغائے شہر	東海市 (江原道)
موکپو	木浦市
مونگیوانگ	聞慶市
مریانگ	密陽市
گیونگجو	慶州市
بورییونگ	保寧市
بوچیئون	富川市
ساچیئون	泗川市
سامچیوک	三陟市
سیوگویپو	西帰浦市
سیوسان	瑞山市
مترادف	類義語
سیونگنام	城南市
سوکچو	束草市
سنچیون، جیولانام-دو	順天市
سیہیونگ	始興市
اسان	牙山市
انڈونگ	安東市
انسیونگ	安城市 (京畿道)
انیانگ، گیئونگی	安養市
ٹومس ٹرانس ٹرو مر	トーマス・トランストロンメル
یانگسان	梁山市
یانگجو	楊州市
یوسو	麗水市 (全羅南道)
یونگجو	栄州市
یونگچیوں	永川市
اوسان	烏山市
وونجو	原州市
اوئیوانگ	義王市
اوئیجیونگبو	議政府市
اچیون	利川市 (京畿道)
اکسان	益山市
جئونجو	全州市
جیونگیوپ	井邑市
جے جو شہر	済州市
جیچئون	堤川市
جنجو	晋州市 (慶尚南道)
چیونان	天安市
چیونگ جو	清州市
چونچیون	春川市
تائے بائیک	太白市
تونگیئونگ	統営市
پاجو	坡州市
پیونگتائیک	平沢市
پوچیون	抱川市
ہنری برگساں	アンリ・ベルクソン
پوہانگ	浦項市
ہانام	河南市
ہواسیونگ، گیئونگی	華城市
سانگجو	尚州市
سرین	尻
Kp.	.kp
نائب صدر	副大統領
بکنگھم محل	バッキンガム宮殿
وگ پارٹی (امریکہ)	ホイッグ党 (アメリカ)
ڈیموکریٹک ریپبلکن پارٹی	民主共和党 (アメリカ)
فیڈرلسٹ پارٹی	連邦党
اسیک کول	イシク・クル
نیلی حوت	シロナガスクジラ
ہائنان	海南省
پینین	ピン音
مشرق بعید	極東
میل گبسن	メル・ギブソン
تحقیق	研究
رجسمہ	リボソーム
سلی پریدہم	シュリ・プリュドム
مائیات	水文学
یکساں وسیلی تعینگر	Uniform Resource Locator
ہسپانیہ قومی فٹ بال ٹیم	サッカースペイン代表
گوگل دنیا	Google Earth
میگما	マグマ
فائل منتقلی پروٹوکول	File Transfer Protocol
ثوم دَرَنیہ	ニラ
Zw.	.zw
فارنہائٹ	華氏
Bernhard Riemann	ベルンハルト・リーマン
سفال	粘土
رچرڈ شیر دل	リチャード1世 (イングランド王)
خارکیف	ハルキウ
سبیسٹین ویٹل	セバスチャン・ベッテル
رودبار جزائر	チャンネル諸島
اون	ウール
پی ڈی ایف	Portable Document Format
مارانہاؤ	マラニョン州
سحابیہ	星雲
بین الاقوامی یوم مادری زبان	国際母語デー
یو ایس بی	ユニバーサル・シリアル・バス
Va.	.va
کوکو درخت	カカオ
صیہونیت	シオニズム
گانسو	甘粛省
سفید خونی خلیہ	白血球
میخائل سلوکوف	ミハイル・ショーロホフ
انگریزی لوگ	イングランド人
تحریک الاسلامی طالبان	ターリバーン
اناطول فرانس	アナトール・フランス
شیفیلڈ	シェフィールド
اناکسی میندر	アナクシマンドロス
یورک	ヨーク (イングランド)
پرل	Perl
زیریں آسٹریا	ニーダーエスターライヒ州
ایندھن	燃料
رورائیما	ロライマ州
نقشہ نگاری	地図学
خاکستری (رنگ)	灰色
منقلبین	熱帯
وادیٔ سندھ کی تہذیب	インダス文明
وسلاوا سزائم بورکا	ヴィスワヴァ・シンボルスカ
ہلدی	ウコン
فریڈرک مسترال	フレデリック・ミストラル
پادری	司祭
کتاب استثنا	申命記
فلسطینی قومی عملداری	パレスチナ自治政府
سوژو	蘇州市
Jo.	.jo
ونژو	温州市
Li.	.li
Lc.	.lc
ووشی	無錫市
Mr.	.mr
ہوثوو	湖州市
Sv.	.sv
شاوشنگ	紹興市
Kw.	.kw
Ro.	.ro
ماکینی	マケニ
Vn.	.vn
Nr.	.nr
Ke.	.ke
Vu.	.vu
بھینس	スイギュウ
سینٹ-ایٹیینے	サン＝テティエンヌ
پیاوی	ピアウイ州
اولمپیا، واشنگٹن	オリンピア (ワシントン州)
ہان چینی	漢民族
ہنرک بول	ハインリヒ・ベル
پالیکیر	パリキール
Za.	.za
Na.	.na
Ve.	.ve
کونشان	崑山市
Sy.	.sy
ننگبو	寧波市
Mg.	.mg
بیلو ہوریزونٹے	ベロオリゾンテ
داڑھی	髭
نیم (شہر)	ニーム (フランス)
لو آور	ル・アーヴル
بحیرہ لیگوریئن	リグリア海
ماتو گروسو	マットグロッソ州
ایوان ترگنیف	イワン・ツルゲーネフ
Ye.	.ye
Km.	.km
کبیر اكتِئابی اضطراب	うつ病
Lr.	.lr
ڈیٹا	データ
عبد اللہ گل	アブドゥラー・ギュル
پیغمبر	預言者
Tg.	.tg
پتنگ	凧
Vc.	.vc
Ws.	.ws
استشراق	オリエンタリズム
Mn.	.mn
ٹیرول (ریاست)	チロル州
ناقل	乗り物
کرشن	クリシュナ
طَفرَہ	突然変異
نروان	涅槃
ٹرائے کی جنگ	トロイア戦争
آگرہ	アーグラ
ہاربن	ハルビン市
مون سون	モンスーン
تنظیم العفو بین الاقوامی	アムネスティ・インターナショナル
معمار	建築士
انقلاب اکتوبر	十月革命
اگنادلو	アニャデッロ
وضعیت	位相幾何学
گولڈا مئیر	ゴルダ・メイア
1600ء کی دہائی	1600年代
آرکسٹرا	オーケストラ
روحیت	アニミズム
جونک	ヒル (動物)
سببونیتا	サッビオネータ
فنانس	金融
معبد آرتمیس	アルテミス神殿
مختصر پیغام خدمت	ショートメッセージサービス
ڈسمنڈ ٹوٹو	デズモンド・ムピロ・ツツ
برقی ہندسیات	電気工学
جارج بش	ジョージ・ブッシュ
حمریچہ	ヘモグロビン
ڈیمی مور	デミ・ムーア
روڈس	ロドス島
بمبیبمبی	バンビ (映画)
عصبون	神経細胞
محوری قوتیں	枢軸国
دونیتسک	ドネツィク
Mw.	.mw
Mu.	.mu
Td.	.td
کالی مرچ	コショウ
یاقوت	ルビー
Sm.	.sm
کتاب گنتی	民数記
کشمیر	カシミール
بوسون	ボース粒子
Sr.	.sr
البروس	エルブルス山
ریفرنڈم	住民投票
بنیادی ذرہ	素粒子
Qa.	.qa
Tt.	.tt
ویکیپیڈیا:اکثر پوچھے جانے والے سوالات	Wikipedia:FAQ
Ug.	.ug
My.	.my
Mz.	.mz
Om.	.om
Th.	.th
Sc.	.sc
سارہ پیلن	サラ・ペイリン
Kn.	.kn
Pg.	.pg
Sz.	.sz
Pk.	.pk
Ng.	.ng
Tl.	.tl
Ne.	.ne
Tz.	.tz
Py.	.py
Tn.	.tn
مگرمچھ	クロコダイル科
جنت غار	天国の洞
پرچم جاپان	日本の国旗
ایلن جانسن سرلیف	エレン・ジョンソン・サーリーフ
باسکو، باتانیس	バスコ
یوننان	雲南省
سنسیناٹی	シンシナティ
دہانہ	三角州
بورگنلینڈ	ブルゲンラント州
جیمز ہلٹن	ジェームズ・ヒルトン
اسپیریتو سانتو	エスピリトサント州
روندونیا	ロンドニア州
گسٹاپو	ゲシュタポ
شمالی ریو گرانڈی	リオグランデ・ド・ノルテ州
کثیر رقمی	多項式
افق	地平線
روس کے وفاقی موضوعات	ロシア連邦の地方区分
موراویا	モラヴィア
وکٹوریا آبشار	ヴィクトリアの滝
جرمن سلطنت	ドイツ帝国
تلمود	タルムード
سلطان	スルターン
جے ایم کوئٹزی	J・M・クッツェー
جزیرہ ویک	ウェーク島
ٹائم	タイム (雑誌)
فرنسو، کیلیفورنیا	フレズノ
میلکم ایکس	マルコム・X
جرمنی قومی فٹ بال ٹیم	サッカードイツ代表
جنوبی ماتو گروسو	マットグロッソ・ド・スル州
سالزبرگ (ریاست)	ザルツブルク州
مولانا جلال ‌الدین محمد بلخی رومی	ジャラール・ウッディーン・ルーミー
ارسٹوفیز	アリストパネス
ہیری پوٹر اور پارس پتھر	ハリー・ポッターと賢者の石
1700ء کی دہائی	1700年代
سی بی ایس	CBS
پلایماؤتھ	プリマス
ادرنہ	エディルネ
شانڈونگ	山東省
بارہ حواری	使徒
ایسپ	アイソーポス
جسٹن ٹمبرلیک	ジャスティン・ティンバーレイク
چندی گڑھ	チャンディーガル
موتی	真珠
جوز ویکر دودھسی	ジョズエ・カルドゥッチ
مؤنث	メス (動物)
برطانوی بحرہند خطہ	イギリス領インド洋地域
جمناسٹک	体操
فردوسی	フェルドウスィー
فورٹالیزا	フォルタレザ
ہندچین	インドシナ半島
انگکور وات	アンコール・ワット
قدرتی انتخاب	自然選択説
ڈو ڈو	ドードー
گویاکیل	グアヤキル
سونف	フェンネル
کے ٹو	K2
زمرد	エメラルド
نظریۂ اضافیت	相対性理論
محیطیات	海洋学
ارضیاتی پیمانہ وقت	地質時代
گرہارٹ ہاپٹمن	ゲアハルト・ハウプトマン
Np.	.np
Rw.	.rw
متی	マタイ
ممّی	ミイラ
اجارہ داری	独占
کیوی	キーウィ (鳥)
آبکاربن	炭化水素
اپالو 11	アポロ11号
Cholesterol	コレステロール
توما	トマス (使徒)
Me.	.me
ہینان	河南省
صوبہ بورصہ	ブルサ県
توکانتینس	トカンティンス州
وفاق	連邦
مثلث برمودا	バミューダトライアングル
بنیامین نیتنیاہو	ベンヤミン・ネタニヤフ
یاسوناری کواباٹا	川端康成
صوبہ آرتوین	アルトヴィン県
ابرو	眉毛
Mv.	.mv
Sd.	.sd
Sl.	.sl
St.	.st
زلزلۂ ہیٹی 2010ء	ハイチ地震 (2010年)
سرژیپی	セルジッペ州
میڈیسون، وسکونسن	マディソン (ウィスコンシン州)
غیر فقاری جاندار	無脊椎動物
گزرنامہ	パスポート
Tw.	.tw
Sb.	.sb
Ps.	.ps
آرین روبن	アリエン・ロッベン
سیلم، اوریگون	セイラム (オレゴン州)
صوبہ آدیامان	アドゥヤマン県
لیاؤننگ	遼寧省
آزاواد	アザワド
حامد کرزئی	ハーミド・カルザイ
السید	エル・シッド
جیک سفاح	切り裂きジャック
محمد یونس	ムハマド・ユヌス
1740ء کی دہائی	1740年代
برڈفلو	鳥インフルエンザ
وان، انٹاریو	ヴォーン
مارکھم، انٹاریو	マーカム (オンタリオ州)
لا پلاتا	ラプラタ (アルゼンチン)
ریز ودراسپون	リース・ウィザースプーン
جیسکا البا	ジェシカ・アルバ
Pw.	.pw
حمید آلتین‌توپ	ハミト・アルトゥントップ
سرور (کمپیوٹنگ)	サーバ
بحیرہ ابیض	白海
1500ء کی دہائی	1500年代
مذکر	オス
وسطی زمانہ پتھر	中石器時代
تولون	トゥーロン
سان فرناندو دل والے دے کاتامارکا	サン・フェルナンド・デル・バジェ・デ・カタマルカ
ولیم گولڈینگ	ウィリアム・ゴールディング
روبس پیئر	マクシミリアン・ロベスピエール
برامپٹن، انٹاریو	ブランプトン
کرونس	クロノス
رزیستنسیا، چاکو	レシステンシア
سریع از نور	超光速航法
راوسون، چوبوت	ラウソン
قرطبہ، ارجنٹائن	コルドバ (アルゼンチン)
کورینتس	コリエンテス
پارانا، انترے ریوس	パラナ (アルゼンチン)
فورموسا، ارجنٹائن	フォルモーサ (アルゼンチン)
سانتا روسا، لا پامپا	サンタローサ (アルゼンチン)
سان سالوادور دل خوخوئی	サン・サルバドール・デ・フフイ
آندرس بحرنگ برائے وک	アンネシュ・ベーリング・ブレイビク
چاند گرہن	月食
لا ریوجا، ارجنٹین	ラ・リオハ (アルゼンチン)
مندوسا، ارجنٹائن	メンドーサ
پاساداس، میسیونس	ポサーダス (アルゼンチン)
نیوکوین	ネウケン
سان خوآن، ارجنٹائن	サンフアン (アルゼンチン)
ریو گالیگوس، سانتا کروز	リオ・ガジェゴス
سان لوئیس، ارجنٹائن	サン・ルイス (アルゼンチン)
سانتا فے، ارجنٹائن	サンタフェ (アルゼンチン)
سانتیاگو دل استرو	サンティアゴ・デル・エステロ
اولیور کرامویل	オリバー・クロムウェル
فورڈ	フォード・モーター
نگورنو کاراباخ	ナゴルノ・カラバフ
سلمان رشدی	サルマン・ラシュディ
جہاد	ジハード
(گ)نوم	GNOME
علم الوجود	存在論
بشار الاسد	バッシャール・アル＝アサド
میٹرکس	行列
افسانہ	伝説
زار	ツァーリ
فیرمیون	フェルミ粒子
تریشیکووا	ワレンチナ・テレシコワ
دارا اول	ダレイオス1世
کائین	カイエンヌ
حرارت	熱
گولڈن گیٹ برج	ゴールデンゲートブリッジ
نظریہ بازی	ゲーム理論
رچرڈ ڈاکنز	リチャード・ドーキンス
پئیر سیموں لاپلاس	ピエール＝シモン・ラプラス
کان کنی	鉱業
سلما لاگرلف	セルマ・ラーゲルレーヴ
اقلیدسی سمتیہ	空間ベクトル
میدان تیہ	約束の地
گنو	GNU
ٹائٹینک فلم	タイタニック (1997年の映画)
نوبل انعام برائے کیمیا	ノーベル化学賞
وی ایس . نیپاول	V・S・ナイポール
آدم خور	カニバリズム
روزہ	断食
خوف	恐怖
اتحاد عرب جمہوریات	アラブ共和国連邦
1820ء کی دہائی	1820年代
شوتزشتافل	親衛隊 (ナチス)
طائریات	鳥類学
عبرانی کیلنڈر	ユダヤ暦
ایمازوناس محکمہ	アマソナス県 (コロンビア)
بحیرہ بیرنگ	ベーリング海
ارجنٹائن کے صوبے	アルゼンチンの地方行政区画
صوبہ بیونس آئرس	ブエノスアイレス州
صوبہ کاتامارکا	カタマルカ州
صوبہ چاکو	チャコ州
صوبہ کورینتس	コリエンテス州
صوبہ کوردوبا، ارجنٹائن	コルドバ州
صوبہ فورموسا	フォルモサ州
صوبہ انترے ریوس	エントレ・リオス州
صوبہ خوخوئی	フフイ州
بندرگاہ	港湾
شہتوت (درخت)	クワ
صوبہ لا پامپا	ラ・パンパ州
صوبہ لا ریوخا، ارجنٹائن	ラ・リオハ州 (アルゼンチン)
صوبہ مندوسا	メンドーサ州
صوبہ میسیونس	ミシオネス州
صوبہ نیوکوین	ネウケン州
صوبہ ریو نیگرو	リオネグロ州
صوبہ سان خوآن، ارجنٹائن	サンフアン州 (アルゼンチン)
یوکرینی	ウクライナ人
سہارتو	スハルト
صوبہ سانتا کروز، ارجنٹائن	サンタクルス州
صوبہ سانتا فے	サンタフェ州
صوبہ سانتیاگو دل استرو	サンティアゴ・デル・エステロ州
صوبہ توکومان	トゥクマン州
صوبہ تیئرا دل فوئگو، ارجنٹائن	ティエラ・デル・フエゴ州
توچیگی پریفیکچر	栃木県
1770ء کی دہائی	1770年代
سون ڈونگ غار	ソンドン洞
نقطہ (ہندسہ)	点 (数学)
صوبہ چوبوت	チュブ州
کنگ فشر	カワセミ亜目
طاس	サイコロ
السی	アマ (植物)
Rs.	.rs
سڈنی اوپیرا ہاؤس	シドニー・オペラハウス
منهیت	メンヒト
جیلن	吉林省
صوبہ افیون قرہ حصار	アフィヨンカラヒサール県
آسٹریلیشیا	オーストララシア
طرابزون	トラブゾン
ہرات	ヘラート
بربر	ベルベル人
بحیرہ شرقی چین	東シナ海
قذاقی	海賊
دریائے برہم پتر	ブラマプトラ川
آر ایس ایس	RSS
بھوت	亡霊
ولیم ورڈزورتھ	ウィリアム・ワーズワース
میکائیل	ミカエル
قندھار	カンダハール
خزف	セラミックス
لیموژ	リモージュ
ایجارا	アジャリア自治共和国
تیتان (علم الاساطیر)	ティーターン
کٹھل	パラミツ
ہونان	湖南省
کم ڈے ژونگ	金大中
ست یندرا ناتھ بوس	サティエンドラ・ボース
بادشاہ آرتھر	アーサー王
ڈنکرک	ダンケルク
گیفو، گیفو	岐阜市
جہیز	持参金
ہن	フン族
بحیرہ بیرنٹس	バレンツ海
چنگھائی	青海省
ازابیلا اول	イサベル1世 (カスティーリャ女王)
تییری آنری	ティエリ・アンリ
عضیہ	細胞小器官
لال قلعہ	赤い城
چینی۔تبتی زبانیں	シナ・チベット語族
چیکلا ملوسز	チェスワフ・ミウォシュ
معرفت	神秘主義
1680ء کی دہائی	1680年代
1610ء کی دہائی	1610年代
وکٹوریہ جیکسن	ヴィクトリア・ジャクソン
فرانسیسی جرمن جنگ	普仏戦争
دادرا و نگر حویلی	ダードラー及びナガル・ハヴェーリー連邦直轄領
اویغور	ウイグル
