Աֆրիկա	アフリカ
Դիսնեյլենդ	ディズニーランド
Բոսնիա և Հերցեգովինայի ֆուտբոլի ազգային հավաքական	サッカーボスニア・ヘルツェゴビナ代表
Տայակի	たい焼き
Դիվիդենդ	配当
Նիկիայի կայսրություն	ニカイア帝国
Շագանակագեղձի քաղցկեղ	前立腺癌
Վիմագրություն	金石学
Կառլ Ալբերտ	カルロ・アルベルト・ディ・サヴォイア
Գերմանական գրականություն	ドイツ文学
Ինսեկտիցիդներ	殺虫剤
Լաբետ շրջան (Կանզաս)	ラベット郡 (カンザス州)
Բեռնուլիի հավասարում	ベルヌーイの定理
Ցեոլիթներ	沸石
Ֆերենց Ռակոցի II	ラーコーツィ・フェレンツ2世
Ուղանցույց	高架橋
Տալավերա դե լա Ռեինա	タラベラ・デ・ラ・レイナ
Հարպիաներ	ハルピュイア
Բրայան Ջոզեֆսոն	ブライアン・ジョゼフソン
Չժեննին Յանգ	楊振寧
Գրոդնո	フロドナ
Մազաթափություն	脱毛症
Մագնետիտ	磁鉄鉱
Արքիմեդի օրենք	アルキメデスの原理
Ռեբու (գյուղ, Մայդլա շրջան)	卵黄
Չոու Յուն Ֆատ	チョウ・ユンファ
Ֆարադեյի էլեկտրամագնիսական ինդուկցիայի օրենք	ファラデーの電磁誘導の法則
Կոտոպախի	コトパクシ山
Դառլինգ (գետ)	ダーリング川
Սիա Ֆուրլեր	シーア
Աուդիտ	監査
Գուլիվերի ճանապարհորդությունները	ガリヴァー旅行記
Դավիթ Նալբանդյան	ダビド・ナルバンディアン
Աստղաչափություն	位置天文学
Տանտրիզմ	タントラ
Դեյցիա շքեղ	ヒメウツギ
Հերբերտ Սայմոն	ハーバート・サイモン
Բոսնիական պատերազմ	ボスニア・ヘルツェゴビナ紛争
Գթասրտության քվանտ	007 慰めの報酬
Պատկերամարտություն	イコノクラスム
RSA	RSA暗号
Գաոսյուն	高雄市
Կամֆորա	樟脳
Հովհաննես Այվազովսկի	イヴァン・アイヴァゾフスキー
Ղազվին	ガズヴィーン
Տեսակավորման ալգորիթմ	ソート
Արքա Լիր	リア王
Թագավորություններ Ա և Բ	サムエル記
Նիկոլաևի մարզ	ムィコラーイウ州
Շոտլանդացիներ	スコットランド人
Զուգահեռանիստ	平行六面体
Ագոստինյո Նետո	アゴスティニョ・ネト
Վաշինգտոն Իրվինգ	ワシントン・アーヴィング
Դոլֆ Լունդգրեն	ドルフ・ラングレン
Զմրուխտե քառասալիկ	エメラルド・タブレット
Նիկոլա Լեոնար Սադի Կառնո	ニコラ・レオナール・サディ・カルノー
Կարբոնատներ	炭酸塩
Շառլ Ֆուրիե	シャルル・フーリエ
Թերեզ Լիզյոացի	リジューのテレーズ
Էլիեզեր Բեն-Յեհուդա	エリエゼル・ベン・イェフダー
Պեչենեգներ	ペチェネグ
Մորիկ	マウリキウス
Սուրբ Հռոմի կայսրերի ցանկ	神聖ローマ皇帝
Կոլոիդների համակարգեր	コロイド
Թրաֆիքինգ	人身売買
Աստղային պատերազմներ. Էպիզոդ V. Կայսրությունը հասցնում է պատասխան հարված	スター・ウォーズ エピソード5/帝国の逆襲
Աստղային պատերազմներ. Էպիզոդ VI. Ջեդայի վերադարձը	スター・ウォーズ エピソード6/ジェダイの帰還
Ռիչարդ Արմիտաժ	リチャード・アーミティッジ
Ֆրեդրիկ Մարչ	フレドリック・マーチ
Թևավոր հրթիռ	巡航ミサイル
Քաղաքացիական հասարակություն	市民社会
Թառափ	チョウザメ
Մետաստազ	転移 (医学)
Լակշմի-Բաի	ラクシュミー・バーイー
Միխայիլ Գլինկա	ミハイル・グリンカ
Խան	ハーン
Կնտնտոց	ピック
Պիետրո Մասկանի	ピエトロ・マスカーニ
Ալժիրի ֆուտբոլի ազգային հավաքական	サッカーアルジェリア代表
Անդեզիտ	安山岩
Հերբարիում	ハーバリウム
Բրանիսլավ Իվանովիչ	ブラニスラヴ・イヴァノヴィッチ
Սևանա լիճ	セヴァン湖
Ֆարիդ Մյուրեյ Աբրահամ	F・マーリー・エイブラハム
Աղեղնազեն	クロスボウ
Հովհաննես XI (Հռոմի պապ)	ヨハネス11世 (ローマ教皇)
Ադեր շրջան (Կենտուկի)	アデア郡 (ケンタッキー州)
Հնաբանություն	古語法
Հանրապետական օրացույց	フランス革命暦
Ադոլֆ Սաքս	アドルフ・サックス
ՄԱԿ-ի Առևտրի և զարգացման համաժողով	国際連合貿易開発会議
Անտոնիո Ստրադիվարի	アントニオ・ストラディバリ
Թրիլեր	スリラー
ՄԱԿ-ի շրջակա միջավայրի ծրագիր	国際連合環境計画
Հեգեմոնիա	覇権
Նայադներ	ナーイアス
Կումա (գետ, Կասպից ծով)	クマ川
Վիսկոզ	ビスコース
Փիլիսոփայական քար	賢者の石
Կումասի	クマシ
Հունական ազգային-ազատագրական հեղափոխություն (1821-1829)	ギリシャ独立戦争
Վարկ	販売信用
Կիլովատտ-ժամ	キロワット時
Մատ (շախմատ)	詰み
Ֆետիշիզմ	呪物崇拝
Հիրենեոս Լիոնացի	エイレナイオス
Մորիհեյ Ուեսիբա	植芝盛平
Բետցենշտայն	ベッツェンシュタイン
Վալուաներ	ヴァロワ家
Ձմեռային պալատ	冬宮殿
Բալխ	バルフ
Պրեմիեր Լիգա (Ռուսաստան)	ロシアサッカー・プレミアリーグ
Դե Բակա շրջան (Նյու Մեքսիկո)	デバカ郡 (ニューメキシコ州)
Հորանջոց	あくび
Հնգագիծ	五芒星
Ժորժ Մարշե	ジョルジュ・マルシェ
Maroon 5	マルーン5
Էլ-ուսուցում	Eラーニング
Իրրեդենտիզմ	民族統一主義
Բենիտո Խուարես	ベニート・フアレス
Արտահանման տուրքեր	税関
Պոլ Մունի	ポール・ムニ
Սիամական սեր (ֆիլմ, 2007)	ミウの歌〜Love of Siam〜
Յագուարունդի	ジャガランディ
Անտիկիթերայի սարք	アンティキティラ島の機械
Ամոնիումի նիտրատ	硝酸アンモニウム
Գազային հաստատուն	気体定数
Լոխում	ロクム
Սեռական բազմացում	有性生殖
Լիրիկա	抒情詩
Ինդիանա Ջոնսը և բյուրեղապակյա գանգերի թագավորությունը	インディ・ジョーンズ/クリスタル・スカルの王国
Յազդ	ヤズド
Գլենդա Ջեքսոն	グレンダ・ジャクソン
Թմրամոլություն	薬物依存症
Ռեալիթի շոու	リアリティ番組
Պրուտ (գետ)	プルト川
Հինա	ヘンナ
Ադիաբատական գործընթաց	断熱過程
Ուիլթ Չեմբեռլեն	ウィルト・チェンバレン
Ժուլիո Սեզար	ジュリオ・セザル・ソアレス・エスピンドラ
Ֆուտբոլի միջմայրցամաքային գավաթ	インターコンチネンタルカップ (サッカー)
Nvidia	NVIDIA
Կամբյուսես II	カンビュセス2世
Պորտուգալալեզու երկրների համագործակցություն	ポルトガル語諸国共同体
Ֆիջիի դրոշ	フィジーの国旗
Սևրի պայմանագիր	セーヴル条約
Ռուսթավի	ルスタヴィ
Մաթեմատիկական լեզվաբանություն	計算言語学
Հավերժահարսեր	人魚
Լիգր	ライガー
Շիռլի Թեմպլ	シャーリー・テンプル
Իմունիտետ	免疫 (医学)
Ուիլյամ Մոռիս	ウィリアム・モリス
Պատրանք	錯覚
Ֆունկցիայի գրաֆիկ	グラフ (関数)
Եկեղեցու հայրեր	教父
Ջեյն Սեյմուր	ジェーン・シーモア
Ջոն Գլեն	ジョン・ハーシェル・グレン
Վան Բուրեն շրջան (Այովա)	ヴァンビューレン郡 (アイオワ州)
Խորեզմ	ホラズム
Հարպեր Լի	ハーパー・リー
Բալլադ	バラッド
Դոբրուդջա	ドブロジャ
Ջովաննի Անտոնիո Կանալետտո	カナレット
Պարետոյի սկզբունք	パレートの法則
Ամֆոտերություն	両性 (化学)
Մարտեն Ստեկելենբուրգ	マールテン・ステケレンブルフ
Ապոկալիպսիսը հիմա	地獄の黙示録
Հերոնի բանաձև	ヘロンの公式
Հակամասնիկներ	反粒子
Արտահանում	輸出
Էտա Ջեյմս	エタ・ジェイムズ
Իվան Լենդլ	イワン・レンドル
Լորտուներ	ナミヘビ科
Ֆետա	フェタチーズ
Արձագանք	反響
Մուհամմադ Ալի փաշա	ムハンマド・アリー
Հարավային Սուդանի դրոշ	南スーダンの国旗
Ամառային Պարալիմպիկ խաղեր 2012	ロンドンパラリンピック
Հասկովոյի մարզ	ハスコヴォ州
Ալեքսանդրիա (այլ կիրառումներ)	アレクサンドリア (曖昧さ回避)
Լազուր ափ	コート・ダジュール
Kill 'em All	キル・エム・オール
Քլարկ շրջան (Միսսուրի)	クラーク郡 (ミズーリ州)
Կալցիումի հիդրօքսիդ	水酸化カルシウム
Մոլեկուլային զանգված	分子量
Համախառն ազգային արդյունք	国民総生産
Եղանակի կանխատեսում	天気予報
Լույսի դիսպերսիա	分散 (光学)
Վերին ծնոտ	上顎骨
Կարանտին	検疫
Գրիմսվոթն	グリムスヴォトン
Ստերլինգ	スターリング (スコットランド)
Լյումինեսցենտային լամպ	蛍光灯
X86	X86
Սիրահարված Շեքսպիրը	恋におちたシェイクスピア
Ջեյն Էյր	ジェーン・エア
Նիլս Ֆինզեն	ニールス・フィンセン
Գաճաճ արծիվ	ヒメクマタカ
Այովայի համալսարան	アイオワ大学
Նիմրուզ	ニームルーズ州
Մաննիխի ռեակցիա	マンニッヒ反応
Ռեյկի	レイキ
Մուրեյ (գետ)	マレー川
Ալեսանդրո Սկարլատի	アレッサンドロ・スカルラッティ
Մոնոֆիզիտություն	単性説
Ֆաբիո Կապելլո	ファビオ・カペッロ
Բորա Բորա	ボラボラ島
Բակտերիոցիններ	バクテリオシン
Ջրի աղտոտում	水質汚染
Սեպսիս	敗血症
Ջեֆերսոն շրջան (Այովա)	ジェファーソン郡 (アイオワ州)
Օզոնային շերտի քայքայում	オゾンホール
Էպիկտետոս	エピクテトス
Մեղվակերներ	ハチクイ科
Կողքիս	コルキス
Կարամազով եղբայրներ	カラマーゾフの兄弟
Գիլբերտ Կիտ Չեսթերտոն	ギルバート・ケイス・チェスタートン
Յան Թինբերգեն	ヤン・ティンバーゲン
Արթուր Ռուբինշտեյն	アルトゥール・ルービンシュタイン
Մարդու իրավունքների Եվրոպական կոնվենցիա	人権と基本的自由の保護のための条約
Վերլուծական փիլիսոփայություն	分析哲学
Անտուան Վատտո	アントワーヌ・ヴァトー
Հանդուրժողականություն	寛容
Կուսածնություն	単為生殖
Բենջամին Բաթոնի առեղծվածային պատմությունը	ベンジャミン・バトン 数奇な人生
Ֆիզիոկրատներ	重農主義
Յուդիթ Պոլգար	ユディット・ポルガー
Հոգեթերապիա	心理療法
Շտադելհոֆեն (Վերին Ֆրանկոնիա)	シュターデルホーフェン (オーバーフランケン)
Սեմյուել Ջոնսոն	サミュエル・ジョンソン
Էռնեստ Միլս Պարսել	エドワード・ミルズ・パーセル
Միցուբիշի	三菱グループ
Փեբե (տիտանուհի)	ポイベー
Յակուձա	ヤクザ
Սերին	セリン
Դրակոնյան լեռներ	ドラケンスバーグ山脈
Իսմեթ Ինյոնյու	イスメト・イノニュ
Կարաբին	カービン
Գուանիդին	グアニジン
Բռնապետ	独裁者
Հայաստանի ֆուտբոլի ազգային հավաքական	サッカーアルメニア代表
Տրետյակովյան պատկերասրահ	トレチャコフ美術館
Դաշնային նշանակության քաղաք	ロシアの連邦市
Օսկարի 83-րդ մրցանակաբաշխություն	第83回アカデミー賞
Տարածք	国土
Կատարյալ մրցակցություն	完全競争
Columbia Records	コロムビア・レコード
Կոաքսիալ մալուխ	同軸ケーブル
Վաղարշապատ	エチミアジン
Սաֆի	サフィ
EMI	EMI
Ծակոտաքարտ	パンチカード
Հողմակողմ կղզիներ	ウィンドワード諸島 (西インド諸島)
Անցանկալի անձ	ペルソナ・ノン・グラータ
Հեշ ֆունկցիա	ハッシュ関数
Նինա Դոբրև	ニーナ・ドブレフ
Կարամել	キャラメル
Հուստինոս Ա	ユスティヌス1世
Արխիտրավ	アーキトレーブ
Զենոն (Բյուզանդիայի կայսր)	ゼノン (東ローマ皇帝)
Բելինգսգաուզենի ծով	ベリングスハウゼン海
Անդրեա դել Վերոկկիո	アンドレア・デル・ヴェロッキオ
Եստրիքլանդ	イェストリークランド地方
Ղազախստանի ֆուտբոլի ազգային հավաքական	サッカーカザフスタン代表
Անապատացում	砂漠化
Դարվինիզմ	ダーウィニズム
Ինդի ռոք	インディー・ロック
Լեոնա Լյուիս	レオナ・ルイス
Մարտին Լոուրենս	マーティン・ローレンス
Կարիբյան ծովի ծովահենները. Օտար ափերին	パイレーツ・オブ・カリビアン/生命の泉
Քսան հազար լյո ջրի տակ	海底二万里
Ֆերդինանդ I (Ավստրիա)	フェルディナント1世 (オーストリア皇帝)
Հալվա	ハルヴァ
Արյան փոխներարկում	輸血
Էռնեստ Ուոլտոն	アーネスト・ウォルトン
Օուեն Չեմբեռլեն	オーウェン・チェンバレン
Կավիճ	チョーク (岩石)
Լի Ցզուն Դաո	李政道
Թեոֆիլ Գոթիե	テオフィル・ゴーティエ
Last.fm	Last.fm
Հավատո հանգանակ	信条
Լևոն I (Բյուզանդիայի կայսր)	レオ1世 (東ローマ皇帝)
Հուստինոս Բ	ユスティヌス2世
Մագիստրոս	修士
Տարեկանի արտում, անդունդի եզրին	ライ麦畑でつかまえて
Կաստանիետներ	カスタネット
Երաժշտական պրոդյուսեր	音楽プロデューサー
Օդապարիկ	気球
Ապաշխարություն	告解
Տնային վիդեո համակարգ	VHS
Մակընթացային էլեկտրակայան	潮力発電
Պրեստոն	プレストン (イングランド)
Քրիստինա Ռիչի	クリスティーナ・リッチ
Գերի (Ինդիանա)	ゲーリー (インディアナ州)
Ֆրանսիական ֆրանկ	フランス・フラン
Սելևկոս I Նիկատոր	セレウコス1世
Թոմաս Վերմալեն	トーマス・フェルメーレン
Յոհան Շտրաուս (հայր)	ヨハン・シュトラウス1世
Դանիայի քաղաքների ցանկ ըստ բնակչության	デンマークの都市の一覧
Չեմպիոնների Լիգա 2009-2010	UEFAチャンピオンズリーグ 2009-10
Բարիտ	重晶石
Ապոլո 8	アポロ8号
Մակրոֆագեր	マクロファージ
Ֆեռոմագնիսականություն	強磁性
Կոճղարմատ	地下茎
Ակասի Կայկիո	明石海峡大橋
Տեթիս	テーテュース
Միշել Ռոդրիգես	ミシェル・ロドリゲス
Թեյա	テイアー
Սաղմոնաձկներ	サケ類
Լյումինեսցենցում	発光
Պլուտոնի արբանյակներ	冥王星の衛星
Յուրի Ժիրկով	ユーリ・ジルコフ
Դոմինիկայի Հանրապետության դրոշ	ドミニカ共和国の国旗
Լյուքսեմբուրգի ֆուտբոլի ազգային հավաքական	サッカールクセンブルク代表
Անդրեյ Գրոմիկո	アンドレイ・グロムイコ
Գրենլանդիայի դրոշ	グリーンランドの旗
Դարիո Սռնա	ダリヨ・スルナ
Սեդեկիա	ゼデキヤ (ユダ王)
Երկնային մեխանիկա	天体力学
Յայա Տուրե	ヤヤ・トゥーレ
Տրինիդադ և Տոբագոյի դրոշ	トリニダード・トバゴの国旗
Գոբելեն	タペストリー
Շահ	シャー
PageRank	ページランク
Ադելի երկիր	アデリーランド
Բորոդինոյի ճակատամարտ	ボロジノの戦い
Եփեսոսի Գ տիեզերական ժողով	エフェソス公会議
Վինյա դել Մար	ビニャ・デル・マール
Քարիտներ	カリス
Թոմաս Հեքսլի	トマス・ヘンリー・ハクスリー
Կար (աշխարհագրություն)	圏谷
Պամպա	パンパ
Նորվեգիայի ֆուտբոլի ազգային հավաքական	サッカーノルウェー代表
Բաշավոր գայլ	タテガミオオカミ
Սեն Դենի աբբայություն	サン＝ドニ大聖堂
Չորս գույների թեորեմ	四色定理
Ներդաշնակագիտություն	和声
Աջանտա	アジャンター石窟群
Սևախածի սուզահավ	オオハム
Թետիս	テティス
Մեղրագինի	蜂蜜酒
Կեղև	樹皮
Կրեսոս	クロイソス
Կալիֆոռնիայի համալսարան	カリフォルニア大学
Մելարեն	メーラレン湖
Պատրիկ Բլեկետ	パトリック・ブラケット
Հովհան Սկոտ Էրիուգենա	エリウゲナ
Մոխրագույն շամփրուկ	オオモズ
Փոքր խայտաբղետ փայտփոր	コアカゲラ
Ջերոլամո Կարդանո	ジェロラモ・カルダーノ
Սոֆյա Կովալևսկայա	ソフィア・コワレフスカヤ
Օրդու	オルドゥ
Ծալքավորություն	造山運動
Սերգեյ Բուբկա	セルゲイ・ブブカ
Բացարձակ միապետություն	絶対君主制
Մեծ Բրիտանիայի գաղտնի հետախուզական ծառայության	秘密情報部
Սինյիտիրո Տոմոնագա	朝永振一郎
Չարլզ Հարդ Թաունս	チャールズ・タウンズ
Մինոր	短音階
Իրիս	イーリス
Պոլիկարպ Կաշ	ポリカプ・クッシュ
Գորշ ջրիմուռներ	褐藻
Վոլտր Բրատեյն	ウォルター・ブラッテン
Բոլթոն	ボルトン
Սենթ Վինսենթ և Գրենադինների դրոշ	セントビンセント・グレナディーンの国旗
Գարեթ Բեյլ	ガレス・ベイル
Սենթ Լյուսիայի դրոշ	セントルシアの国旗
2012 (ֆիլմ)	2012 (映画)
Էքսպերտ համակարգ	エキスパートシステム
Նռնականետ	グレネードランチャー
Տասը մատով տպելու հմտություն	タッチタイピング
Ժորժ Ժակ Դանտոն	ジョルジュ・ダントン
Տորֆ	泥炭
Տասնանկյուն	十角形
Կալիումի քլորիդ	塩化カリウム
Կոնսերվատորիա	音楽学部
Նիկոլայ Բերդյաև	ニコライ・ベルジャーエフ
Տասանորդ	十分の一税
Անաբոլիզմ	同化 (生物学)
Տեղեկատվական հասարակություն	情報化社会
Ֆագոցիտոզ	食作用
Պարբերական ֆունկցիա	周期関数
Գանգրափետուր հավալուսն	ニシハイイロペリカン
Կնքահայրը 2	ゴッドファーザー PART II
Իպսուիչ	イプスウィッチ
Օրթոֆոսֆորական թթու	リン酸
Իրացվելիություն	流動性 (経済学)
CAD	CAD
Լիբերտադորեսի գավաթ	コパ・リベルタドーレス
Լիգնին	リグニン
Սպիտակահոնք կեռնեխ	ワキアカツグミ
Թրթնջակաթթու	シュウ酸
Մաքսանենգություն	密輸
Սայրի վազորդ	ブレードランナー
Ցուցամատ	人差し指
Ջոն Հիքս	ジョン・ヒックス
Հաշվարկման համակարգ (ֆիզիկա)	基準系
Դեյվիդ Ֆինչեր	デヴィッド・フィンチャー
Till the World Ends	ティル・ザ・ワールド・エンズ
Ուդմուրտներ	ウドムルト人
Ռուսական հեղափոխություն (1905–1907)	ロシア第一革命
Եղանակի քերականական կարգ	法 (文法)
Լեոշ Յանաչեկ	レオシュ・ヤナーチェク
Մասնիկներ	不変化詞
Ջո Քոուլ	ジョー・コール
Ձիարշավարան	競馬場
Հեկլա (հրաբուխ)	ヘクラ山
Շումենի մարզ	シュメン州
Դիէլեկտրիկներ	誘電体
Չափավոր ցամաքային կլիմա	大陸性気候
Կալցիումի օքսիդ	酸化カルシウム
Իվան Կոնև	イワン・コーネフ
Հանճարեղություն	天才
Միջինդանուբյան դաշտավայր	カルパチア盆地
Պյարնումաա	ペルヌ県
Աֆրիկյան փղեր	アフリカゾウ属
Անգլիական եղջրափող	コーラングレ
Քրիստոֆեր Ուոքեն	クリストファー・ウォーケン
Մենդելի առաջին օրենք	メンデルの法則
Ազատ ռադիկալներ	ラジカル (化学)
Վանի թագավորություն	ウラルトゥ
Կոչական	呼格
Ար (չափման միավոր)	アール (単位)
Միջին ուղեղ	中脳
Լակմուս	リトマス
Սղերդ	スィイルト
Միգել դե Ունամունո	ミゲル・デ・ウナムーノ
Ժողովրդական կուսակցություն (Իսպանիա)	国民党 (スペイン)
Խեսուս Նավաս	ヘスス・ナバス
Ջրահովվիկ	クイナ
Համիլկար Բարկա	ハミルカル・バルカ
Հռոմեական Բրիտանիա	ブリタンニア
Ֆերնան Բրոդել	フェルナン・ブローデル
Իգոր Կուրչատով	イーゴリ・クルチャトフ
Հուստինոս Փիլիսոփա	ユスティノス
Գանձերի կղզին	宝島
Վազելին	ワセリン
Revolver (ալբոմ)	リボルバー (アルバム)
Միհրդատ VI Եվպատոր	ミトリダテス6世
Մակեդոնիայի Հանրապետության օրհներգ	今日、マケドニアの上に
Մեծ տերություններ	列強
Եվդոքս	エウドクソス
Ռոնի Ջեյմս Դիո	ロニー・ジェイムス・ディオ
Քանակական անալիզ (քիմիա)	定量分析
Աղվեսներ	キツネ属
Մանկաբարձուհի	助産師
Մանուել Ռիվերա-Օրտիս	マヌエル・リベラ＝オルティス
Դիոն Կասսիոս	カッシウス・ディオ
Սանտի Կասորլա	サンティ・カソルラ
MD5	MD5
Սարյակներ (ընտանիք)	ムクドリ科
Ստագֆլյացիա	スタグフレーション
Ճառագայթաակտիվ թափոններ	放射性廃棄物
Մաթեմատիկայի պատմություն	数学史
Պապուա Նոր Գվինեայի դրոշ	パプアニューギニアの国旗
Նաուրուի դրոշ	ナウルの国旗
Վանուատուի դրոշ	バヌアツの国旗
Կիպու (գիր)	キープ (インカ)
Եգիպտոսի պատմություն	エジプトの歴史
Ջովաննի Բատիստա Պերգոլեզի	ジョヴァンニ・バッティスタ・ペルゴレージ
Իվան I Դանիլովիչ Կալիտա	イヴァン1世
Զուգդիդ	ズグジジ
Մարկ Նոպֆլեր	マーク・ノップラー
Փոթի	ポチ (グルジア)
Ջեյհան	ジェイハン
Փուլային անցում	相転移
Մարգարտե ականջօղով աղջիկը	真珠の耳飾りの少女
Առնոլդ Թոյնբի	アーノルド・J・トインビー
Բալիական վագր	バリトラ
Ամստել (գետ)	アムステル川
Երգ Ռոլանդի մասին	ローランの歌
Եվրոպական Միության անդամ երկրներ	欧州連合加盟国
Արամեացիներ	アラム人
The Sims 3	ザ・シムズ3
Լենինի շքանշան	レーニン勲章
Յոստայն Գորդեր	ヨースタイン・ゴルデル
Ութհազարականներ	8000メートル峰
Տատանումների փուլ	位相
Հարապպա	ハラッパー
Քերովբեներ	智天使
Միկել Արտետա	ミケル・アルテタ
Կոնֆետ	キャンディ
Պարասիմպաթիկ նյարդային համակարգ	副交感神経系
Will.i.am	ウィル・アイ・アム
Բշտիկոտներ	アザミウマ
Նեմերտիններ	ヒモムシ
Լիմասոլ	リマソール
Էլեկտրական աթոռ	電気椅子
Ալեքսանդր Սկրյաբին	アレクサンドル・スクリャービン
Նայջել դե Յոնգ	ナイジェル・デ・ヨング
Ինդիանա Ջոնսը և խաչակրաց վերջին արշավանքը	インディ・ジョーンズ/最後の聖戦
Թյուրինգի մրցանակ	チューリング賞
Ֆիզիկական դաշտեր	場
Մայրիշխանություն	家母長制
Ֆրանսիական Հնդկաչին	フランス領インドシナ
Հեյֆեյ	合肥市
Ուելսի դրոշ	ウェールズの旗
Վիտեբսկի մարզ	ヴィーツェプスク州
Ալեքսանդր Կոլչակ	アレクサンドル・コルチャーク
Ֆիբի Թոնքին	フィービー・トンキン
Նեմեսիս (դիցաբանություն)	ネメシス
Պոսիդոնիոս	ポセイドニオス
Ծնկլտան գեղգեղին	チフチャフ
Զինամթերք	弾薬
Միխայիլ Կուտուզով	ミハイル・クトゥーゾフ
Իսաակ Ալբենիս	イサーク・アルベニス
Daft Punk	ダフト・パンク
Հայֆայի մարզ	ハイファ地区
Լաքրոս	ラクロス
Բառնաբաս (առաքյալ)	バルナバ
Վիկոնտ	子爵
Չեզոքություն	中立
Կարմեն (օպերա)	カルメン (オペラ)
Գեոիդ	ジオイド
Բույսերի ֆիզիոլոգիա	植物生理学
Պտույտի պարբերություն	自転周期
Եվրալիգա	ユーロリーグ
HTC	HTC (企業)
Ժամանակակից ճարտարապետություն	現代建築
Տեսողական նյարդ	視神経
Ժամանակակից պարեր	コンテンポラリー・ダンス
Fox News Channel	FOXニュース
Սթեյփլս սենթր	ステイプルズ・センター
Մագնիսահիդրոդինամիկական գեներատոր	MHD発電
Ռուսական թագավորություն	ロシア・ツァーリ国
Ջրային բուսականություն	水草
Ֆրենսիս Ֆուկույամա	フランシス・フクヤマ
Մեդիսոն Սքուեր Գարդեն	マディソン・スクエア・ガーデン
Գարդաբայր	ガルザバイル
Տրամաբանական սխալներ	誤謬
Պրոկոպիոս Կեսարացի	プロコピオス
Ընձուղտանմաններ	キリン科
Ամգա (գետ)	アムガ川
Իոնացնող ճառագայթում	放射線
Տրավիատա	椿姫 (オペラ)
Պորտալ (համացանց)	ポータルサイト
Սեյսմիկ ալիքներ	地震波
Լիտվացիներ	リトアニア人の一覧
Ջովաննի Բատիստա Տիեպոլո	ジョヴァンニ・バッティスタ・ティエポロ
Մթերքի էներգետիկ արժեք	生理的熱量
Կուպր	乾留液
Իրական արյուն	トゥルーブラッド
Մեն կղզու դրոշ	マン島の旗
Սրտամկանի բորբոքում	心筋炎
Նորադրենալին	ノルアドレナリン
Ֆերդինանդ VII	フェルナンド7世 (スペイン王)
Ալբանիայի ֆուտբոլի ազգային հավաքական	サッカーアルバニア代表
Դարիուս Միյո	ダリウス・ミヨー
Արխար	アルガリ
Վրաստանի ֆուտբոլի ազգային հավաքական	サッカーグルジア代表
Կոբո Աբե	安部公房
Լիտվայի ֆուտբոլի ազգային հավաքական	サッカーリトアニア代表
Վոդևիլ	ヴォードヴィル
Քիմ Քարդաշյան	キム・カーダシアン
Մադամ Տյուսոյի թանգարան	マダム・タッソー館
Հալո	暈
Ճարպ	トリアシルグリセロール
Բորատ. Ամերիկայի մշակութային հետազոտությունները` ի օգուտ Ղազախստանի փառահեղ երկրին	ボラット 栄光ナル国家カザフスタンのためのアメリカ文化学習
Ռյունոսկե Ակուտագավա	芥川龍之介
Մերիլին Մենսոն	マリリン・マンソン
Միկա (երգիչ)	ミーカ
Դեշիլ Հեմմեթ	ダシール・ハメット
Փայլատակում (ֆիլմ)	シャイニング (映画)
Բուժքույր	看護師
Նեոգոթիկա (ճարտարապետություն)	ゴシック・リヴァイヴァル建築
Մուտուալիզմ	相利共生
Տրուբադուր	トルバドゥール
Ձկնկիթ	キャビア
Թեոդոր Սվեդբերգ	テオドール・スヴェドベリ
Կոնտրապունկտ	対位法
Վուլվերին	ウルヴァリン
Դետեկտիվ	推理小説
Կոնկլավ	コンクラーヴェ
Տրոպոդադար	対流圏界面
Տելեկինեզ	念力
Հոնկոնգի դրոշ	香港の旗
Յուլիուս Շվինգեր	ジュリアン・シュウィンガー
Մյոնկսրոտ	メンヒスロート
Նշիկաբորբ	扁桃炎
Ultimate Fighting Championship	UFC
Լուկա Տոնի	ルカ・トーニ
Չեմպիոնների Լիգա 2007-2008	UEFAチャンピオンズリーグ 2007-08
Մեցցո-սոպրանո	メゾソプラノ
Մաթեմատիկական հաստատուն	数学定数
Հիսպանիա	ヒスパニア
Ազգային դրոշ	国旗
Մակաբույծ	寄生
Թրեոնին	トレオニン
Արժեքաբանություն	価値論
Կազանի խանություն	カザン・ハン国
ԱՄՆ-ի հիմնադիր հայրեր	アメリカ合衆国建国の父
Կասաի	カサイ川
Սկանդինավյան լեռներ	スカンディナヴィア山脈
Մոնոնոքե հիմե	もののけ姫
Ռոբերտ Պիրի	ロバート・ピアリー
Տրոյա (ֆիլմ)	トロイ (映画)
Կոլոնատ	コロナートゥス
Կամարաշար	アーケード (建築物)
Կակազություն	吃音症
Օլեգ Բլոխին	オレグ・ブロヒン
Սեթ Գրին	セス・グリーン
Այ-այ	アイアイ
Տասներեք (ֆիլմ, 2010)	ロシアン・ルーレット (2010年の映画)
Ականջակալներ	ヘッドフォン
Լոֆոտենյան կղզիներ	ロフォーテン諸島
Պրեմիեր Լիգա 2008-09 (Անգլիա)	プレミアリーグ2008-2009
Մերսենի թիվ	メルセンヌ数
Կլաուստրոֆոբիա	閉所恐怖症
Դրինա (գետ)	ドリナ川
Էստոնիայի ֆուտբոլի ազգային հավաքական	サッカーエストニア代表
Թերթաբեղիկավորներ	コガネムシ科
Պրեմիեր Լիգա 2010-11 (Անգլիա)	プレミアリーグ2010-2011
