非洲	アフリカ
耳筒	ヘッドフォン
卡累利阿－芬蘭蘇維埃社會主義共和國	カレロ＝フィン・ソビエト社会主義共和国
反胃	吐き気
加時	延長戦
大衛卡列甸	デビッド・キャラダイン
新聞紙	新聞紙
襟裳町	えりも町
史岱哲哥夫	フリスト・ストイチコフ
洛陽	洛陽市
燒杯	ビーカー
達摩	達磨
洪加達	フルガダ
中華人民共和國國徽	中華人民共和国の国章
尿片	おむつ
風癩	蕁麻疹
生態旅遊	エコツーリズム
吧	バー (酒場)
史德拉海牛	ステラーカイギュウ
豐臣秀吉	豊臣秀吉
神秘園	シークレット・ガーデン
假名 (日文)	仮名 (文字)
氧化劑	酸化剤
RuneScape	RuneScape
Citizendium	Citizendium
連接號	ダッシュ (記号)
牧童笛	リコーダー
期權	オプション取引
可汗	カガン
甴曱屎	雀卵斑
賽馬	競馬
貨櫃	コンテナ
藏族	チベット系民族
酪氨酸	チロシン
竹節蟲目	ナナフシ
石塘	採石場
盒	箱
珊翠絲	アランチャ・サンチェス・ビカリオ
檳城	ペナン州
濱崎步	浜崎あゆみ
白鱀豚	ヨウスコウカワイルカ
肥佬 (原子彈)	ファットマン
阿貝爾獎	アーベル賞
孖寶賽車系列	マリオカートシリーズ
瑪麗·羅便臣夫人	メアリー・ロビンソン
Cancer	キャンサー
1400年代	1400年代
嘌呤	プリン (化学)
布力般	ブラックバーン (イングランド)
H&M	H&M
蚊型國家	ミクロネーション
140年代	140年代
前140年代	紀元前140年代
柏文	アパート
米高揚－古利域治設計局	MiG
1410年代	1410年代
希比	アレクサンドル・フレブ
迪達	ネウソン・デ・ジェズス・シウヴァ
西番雅書	ゼファニヤ書
波希米亞人 (歌劇)	ラ・ボエーム (プッチーニ)
堅尼	ロイ・キーン
Si	SI
Game Boy Advance	ゲームボーイアドバンス
莎樂美腸	サラミ
拉巴尼	ブルハーヌッディーン・ラッバーニー
火爐	暖炉
簽名	署名
打韆鞦	ブランコ
茂伊島	マウイ島
泰國國際航空	タイ国際航空
大日本帝國	大日本帝国
連字	合字
私隱	プライバシー
迪科爾	ジャーメイン・デフォー
雞油菇	アンズタケ
變形俠醫	ハルク (マーベル・コミック)
超級英雄	スーパーヒーロー
維珍尼亞理工大學校園槍擊案	バージニア工科大学銃乱射事件
北九州市	北九州市
藤球	セパタクロー
匈奴	匈奴
義工	ボランティア
先賢祠	パンテオン (パリ)
結腸癌	大腸癌
教師節	教師の日
編碼	符号
狐狸與獵狗2	きつねと猟犬2 トッドとコッパーの大冒険
孟子	孟子
禮貌	マナー
Murphy's law	マーフィーの法則
1430年代	1430年代
吉打	ケダ州
長毛犀	ケブカサイ
霹靂州	ペラ州
橋牌	コントラクトブリッジ
B. B. King	B.B.キング
埃里伯斯火山	エレバス山
奧斯頓·湛巴麗誤	オースティン・チェンバレン
桑治	アレクサンドル・ソング
Cairns	ケアンズ
格仔自動機	セル・オートマトン
奈良時代	奈良時代
人身攻擊謬誤	人身攻撃
紐卡素 (搞清楚)	ニューカッスル
大海雀	オオウミガラス
麥卡錫	ジョセフ・マッカーシー
室樂	重奏
艾賽尼人	エッセネ派
飲筒	ストロー
蘇加	ダヴォール・シューケル
大牙	大臼歯
奮銳黨人	熱心党
軍官	士官
頸鏈	ネックレス
杜鵑花	ツツジ
波姬小絲	ブルック・シールズ
彩券	富くじ
多媒體短訊	マルチメディアメッセージングサービス
前18世紀	紀元前18世紀
角蛋白	ケラチン
珍妮花羅倫絲	ジェニファー・ローレンス
曾國藩	曽国藩
圓耳象	マルミミゾウ
增城	増城区
佩爾特	アルヴォ・ペルト
貸款	融資
礦物質	ミネラル
范德華力	ファンデルワールス力
桂林	桂林市
登嘉樓	トレンガヌ州
雪蘭莪州	セランゴール州
大衛·高帕菲 (小說)	デイヴィッド・コパフィールド
海口	海口市
懷斯	ヨン・アルネ・リーセ
最終幻想系列	ファイナルファンタジーシリーズ
1460年代	1460年代
愛麗斯夢遊仙境 (1951年電影)	ふしぎの国のアリス
扯線公仔	マリオネット
水雷	機雷
紀理歷	ニック・クレッグ
色層	彩層
𡃁	青年
湯士威路	タウンズビル
科索沃戰爭	コソボ紛争
祖曲卡	ジョー・コッカー
惡作劇	悪戯
港區 (東京都)	港区 (東京都)
鮑魚	アワビ
艾佛遜	アレン・アイバーソン
格雷 (單位)	グレイ (単位)
啤令	軸受
1470年代	1470年代
SR-71	SR-71 (航空機)
下龍灣	ハロン湾
小魚仙	リトル・マーメイド
海拔	高度
鹼粉	炭酸ナトリウム
歐洲東部時間	東ヨーロッパ時間
馬耳他騎士團	マルタ騎士団
電離	イオン化
中央極限定理	中心極限定理
道	道 (哲学)
稀土	希土類元素
滙豐控股	HSBCホールディングス
Ruby on Rails	Ruby on Rails
1480年代	1480年代
催淚彈	催涙剤
梅花鹿	ニホンジカ
辛亥革命	辛亥革命
白鶴	ソデグロヅル
特徵向量	固有値
礬	ミョウバン
Bourbaki	ニコラ・ブルバキ
芝士火鍋	フォンデュ
世界新聞報	ニュース・オブ・ザ・ワールド
歌詩達協和號	コスタ・コンコルディア
世界文維基百科	エスペラント版ウィキペディア
狙擊步槍	狙撃銃
Γ函數	ガンマ関数
私家車	セダン
計算尺	計算尺
滅火筒	消火器
美國隊長	キャプテン・アメリカ
PC	PC
1490年代	1490年代
魚生	刺身
古爾頓	グスタボ・クエルテン
沖涼房	風呂
高錳酸鉀	過マンガン酸カリウム
切爾諾梅爾金	ヴィクトル・チェルノムイルジン
草本植物	草本植物
冰河世紀2	アイス・エイジ2
亞洲四小龍	アジア四小龍
米高莊遜 (美國人)	マイケル・ジョンソン
船塢	造船所
Maximiliano Rodríguez	マキシ・ロドリゲス
星架坡元	シンガポールドル
輪盤	ルーレット
十四K	14K
熱力學第零定律	熱力学第零法則
頸巾	襟巻き
砵酒	ポートワイン
史密夫決戰史密妻	Mr.&Mrs. スミス
菲臘皮六世	フェリペ6世 (スペイン王)
里斯本地震	リスボン地震 (1755年)
法羅克朗	フェロー・クローネ
大元帥	大元帥
老人家	高齢者
類韻	類韻
公噸	トン
中村俊輔	中村俊輔
巴夫斯	ファビアン・バルテズ
捷克文維基百科	チェコ語版ウィキペディア
第一次鴉片戰爭	阿片戦争
華縣地震	華県地震
聲調	声調
彭亨	パハン州
絕食	ハンガー・ストライキ
鐘樓駝俠	ノートルダム・ド・パリ
金屬鍵	金属結合
象棋	シャンチー
米爾格倫電擊實驗	ミルグラム実験
費拿	ダビド・フェレール
路易威登	ルイ・ヴィトン
鐵礦	鉄鉱石
必勝客	ピザハット
帕洛瑪天文台	パロマー天文台
工商管理碩士	経営学修士
前25世紀	紀元前25世紀
奧米加三	Ω-3脂肪酸
紅色高棉	クメール・ルージュ
史杜素	サマンサ・ストーサー
豬肉	豚肉
挪威文維基百科	ノルウェー語版ウィキペディア
誹謗	名誉毀損
葡萄糖逆生	糖新生
花樽	花瓶
輪椅	車椅子
新元古代	新原生代
第1周期元素	第1周期元素
東方快車	オリエント急行
Sīc	ママ (引用)
遊戲王	遊☆戯☆王
150年代	150年代
Stairway to Heaven	天国への階段 (レッド・ツェッペリンの曲)
前150年代	紀元前150年代
長鼻猴	テングザル
分解反應	化学分解
尹潽善	尹ボ善
南京大屠殺	南京事件 (1937年)
知識管理	ナレッジマネジメント
古絲妮蘇娃	スベトラーナ・クズネツォワ
伊頓公學	イートン・カレッジ
越盾	ドン (通貨)
愛蔑阿干	オイミャコン
尹致昊	尹致昊
光伏	太陽光発電
未來戰士3：殲滅者TX	ターミネーター3
查戈斯群島	チャゴス諸島
霞	靄
荳漿	豆乳
牛族	ウシ族
喀秋莎火箭炮	カチューシャ (兵器)
亞洲金貓	アジアゴールデンキャット
桂多達賴左	グイード・ダレッツォ
1520年代	1520年代
貴陽	貴陽市
乳齒象	マストドン
皮米	ピコメートル
通訊社	通信社
無名指	薬指
我諗嘢，所以我喺度	我思う、ゆえに我あり
我有個夢	I Have a Dream
墨水筆	万年筆
手巾	ハンカチ
高卡車	レーシングカート
明信片	はがき
2010年世界博覽會	上海国際博覧会
穴獅	ホラアナライオン
1530年代	1530年代
吳廷琰	ゴ・ディン・ジエム
夢工廠	ドリームワークス
牛肉	牛肉
肌紅蛋白	ミオグロビン
桑加	ジョー＝ウィルフリード・ツォンガ
印度支那虎	インドシナトラ
胡禮菲臘斯	ショーン・ライト＝フィリップス
冬甩	ドーナツ
希比亞	サミ・ヒーピア
MSN	MSN
奸賊	ガントチャート
街機	アーケードゲーム
伊保爾	エマニュエル・エブエ
諾基亞	ノキア (都市)
麪	麺
整體主義	ホーリズム
海鮮	魚介類
托斯卡	トスカ
拿殊	スティーブ・ナッシュ
接種	予防接種
Ca	CA
戈特哈爾德基底隧道	ゴッタルドベーストンネル
蘇凱設計局	スホーイ
絲襪	ストッキング
亞洲冠軍盃	AFCチャンピオンズリーグ
傷	外傷
柏加	トニー・パーカー
銼	やすり
俄羅斯軍事	ロシア連邦軍
而家	現在
睏覺衫	パジャマ
跳降落傘	スカイダイビング
扇	扇子
自行	固有運動
綿羊仔	スクーター
1550年代	1550年代
靈	精神
平安時代	平安時代
天曚光	天体の出没
手塚治虫	手塚治虫
PS	PS
普世聖公宗	アングリカン・コミュニオン
HAARP	高周波活性オーロラ調査プログラム
美國短吻鱷	アメリカアリゲーター
基里地馬地島	キリスィマスィ島
啄羊鸚鵡	ミヤマオウム
火咀	点火プラグ
莫亞	カルロス・モヤ
寒帶氣候	寒帯
鵝蛋形	オーバル
拿破崙 (搞清楚)	ナポレオン (曖昧さ回避)
雜環化合物	複素環式化合物
擁躉	ファン
超對稱	超対称性
龍眼	リュウガン
客貨車	バン (自動車)
樹幹	樹幹
A Night at the Opera	オペラ座の夜
1560年代	1560年代
紅蔥頭	エシャロット
恐怖統治	恐怖政治
水楊酸	サリチル酸
中場	ミッドフィールダー
格林斯潘	アラン・グリーンスパン
澀谷區	渋谷区
東尼史葛	トニー・スコット
1570年代	1570年代
復活節起義	イースター蜂起
煙燻	燻製
古元古代	古原生代
偈油	エンジンオイル
太陽光	太陽光
電子殼	電子殻
虛數單位	虚数単位
筆刨	鉛筆削り
吊牀	ハンモック
睏覺房	寝室
窒息	窒息
觀音	聖観音
畫筆	画筆
伽利略導航系統	ガリレオ (測位システム)
梭魚	カマス
假音	ファルセット
電抗	リアクタンス
編輯	編集
解析	構文解析
主題樂園	遊園地
鳴禽	スズメ亜目
大紅斑	大赤斑
備份	バックアップ
班達拉納克夫人	シリマヴォ・バンダラナイケ
極力子	クラッチ
乾冰	ドライアイス
皺鰓鯊	ラブカ
新曼谷國際機場	スワンナプーム国際空港
雜技	ジャグリング
揚子鱷	ヨウスコウアリゲーター
人工	給与
邵陽	邵陽市
屏東縣	屏東県
深澤仁博	深澤仁博
前160年代	紀元前160年代
骷髏會	スカル・アンド・ボーンズ
蒲苔	蒲台島
南佛堂	東竜洲
金門菜刀	金門包丁
1620年代	1620年代
囤積病	ごみ屋敷
Boy	ボーイ
阿加萊加群島	アガレガ諸島
溫哥華白浪足球會	バンクーバー・ホワイトキャップス
虎甲蟲	ハンミョウ科
1630年代	1630年代
杞子	クコ
四人幫	四人組
單式反光相機	一眼レフカメラ
1640年代	1640年代
1650年代	1650年代
顯微鏡	顕微鏡
1660年代	1660年代
元旦	元日
香港郵政	香港郵政
1670年代	1670年代
𩩍骨	肋骨
雙城子	ウスリースク
1690年代	1690年代
翟志剛	テキ志剛
張愛玲	張愛玲
章太炎	章炳麟
張德江	張徳江
張高麗	張高麗
張飛	張飛
張衡	張衡 (科学者)
張遼	張遼
張怡寧	張怡寧
張作霖	張作霖
章貢區	章貢区
張家界	張家界市
張掖	張掖市
趙	趙
趙 (周)	趙 (戦国)
趙高	趙高
趙雲	趙雲
肇東	肇東市
昭平	昭平県
昭通	昭通市
肇源	肇源県
肇州	肇州県
中國共產黨中央政治局常務委員會	中国共産党中央政治局常務委員会
浙江大學	浙江大学
鄭 (周)	鄭
鄭成功	鄭成功
鄭潔	鄭潔
鄭智	鄭智
湞江	テイ江区
DC	DC
鍾會	鍾会
中華 (搞清楚)	中華
中沙	中沙諸島
鐘山	鍾山県
中衛市	中衛市
中興新村	中興新村
月餅	月餅
西多士	フレンチトースト
聯合車站 (洛杉磯)	ユニオン駅 (ロサンゼルス)
周永康 (中國)	周永康
周瑜	周瑜
周口	周口市
前170年代	紀元前170年代
朱小丹	朱小丹
1710年代	1710年代
顓頊	センギョク
諸葛均	諸葛均
諸葛瑾	諸葛瑾
諸葛亮	諸葛亮
珠海國際賽車場	珠海国際サーキット
駐馬店	駐馬店市
株洲	株洲市
淄博	シ博市
慶良間群島	慶良間諸島
之字 (形)	ジグザグ
1720年代	1720年代
澎湖縣	澎湖県
底衫	下着
熱帶雨林	熱帯雨林
南沙 (廣州)	南沙区
阿拉貢王國	アラゴン王国
綠海龜	アオウミガメ
阿富汗尼	アフガニ
1760年代	1760年代
痕	痒み
比利時國徽	ベルギーの国章
壯學	チワン学
維他命C	ビタミンC
未俾國際普遍承認嘅國家一覽	事実上独立した地域一覧
加泰羅尼亞文維基百科	カタルーニャ語版ウィキペディア
烏克蘭文維基百科	ウクライナ語版ウィキペディア
阿拉伯文維基百科	アラビア語版ウィキペディア
飛鉈	投石器
匹排	ポパイ
打金麻	タコマ (ワシントン州)
慢性阻塞性肺病	慢性閉塞性肺疾患
小泰山	ジャングル・ブック (映画)
羅馬尼亞文維基百科	ルーマニア語版ウィキペディア
1790年代	1790年代
希伯來文維基百科	ヘブライ語版ウィキペディア
日里諾夫斯基	ウラジーミル・ジリノフスキー
松山	松山市
老撾基普	キープ (通貨)
中國人民解放軍	中国人民解放軍
期望值	期待値
越南文維基百科	ベトナム語版ウィキペディア
簡單英文維基百科	シンプル英語版ウィキペディア
神武天皇	神武天皇
波子	ビー玉
負數	正の数と負の数
中醫	中国医学
納瓦拉王國	ナバラ王国
巴斯人	パールシー
民主黨 (日本)	民主党 (日本 1998-)
分米	デシメートル
世界史	世界の歴史
鴛鴦 (雀)	オシドリ
塞爾維亞文維基百科	セルビア語版ウィキペディア
自由貿易	自由貿易
越南國徽	ベトナムの国章
前180年代	紀元前180年代
180年代	180年代
梁家傑	梁家傑
前24世紀	紀元前24世紀
畢昇	畢昇
旭川市	旭川市
書局	書店
中華人民共和國憲法	中華人民共和国憲法
篋	スーツケース
世嘉Saturn	セガサターン
快富	ファイフ
沙夫幼特節	シャブオット
耶穌變面	主イエスの変容
孔雀	クジャク
提格蘭二世	ティグラネス2世
聰明笨伯	原始家族フリントストーン
松節水	テレビン油
哈馬黑拉島	ハルマヘラ島
文藝復興音樂	ルネサンス音楽
次經	第二正典
艾碧姬比絲蓮	アビゲイル・ブレスリン
珠江	珠江
愛德華威滕	エドワード・ウィッテン
丁酉	丁酉
希利威廉絲	ヘイリー・ウィリアムス
紫菜	海苔
西門菲沙大學	サイモンフレーザー大学
偽君子	偽善
片種	映画のジャンル
鈪	ブレスレット
夏菲米克的時代	ミルク (映画)
真臘	クメール王朝
三皇五帝	三皇五帝
查維·馬天尼斯	ハビ・マルティネス
伯南克	ベン・バーナンキ
不丹魯姆	ニュルタム
雙唇鼻音	両唇鼻音
白翅棲鴨	ハジロモリガモ
狙擊手	狙撃手
本田圭佑	本田圭佑
崔琦	ダニエル・ツイ
愛爾蘭各省	アイルランドの地方
洗腎	人工透析
史超活·丹寧	スチュワート・ダウニング
前23世紀	紀元前23世紀
BA	BA
米德拉什	ミドラーシュ
前22世紀	紀元前22世紀
神勇敢死隊	ビアンカの大冒険 ゴールデン・イーグルを救え!
創傷後心理壓力緊張症候群	心的外傷後ストレス障害
高積雲	高積雲
立陶宛文維基百科	リトアニア語版ウィキペディア
唐人街	中華街
英聯邦王國	英連邦王国
琦溫斯莉	ケイト・ウィンスレット
心臟驟停	心停止
紫金	紫金県
水晶宮	水晶宮
婆羅摩笈多	ブラーマグプタ
京士頓 (加拿大安大略省)	キングストン (オンタリオ州)
咆哮山莊	嵐が丘
德伏札克鍵盤	Dvorak配列
丁字褲	タンガ
軛	くびき
晏覺	シエスタ
姆茨赫塔-姆季阿涅季州	ムツヘタ＝ムティアネティ州
紅茶	紅茶
墓碑	墓石
白沙黎族自治縣	白沙リー族自治県
玳瑁	タイマイ
阿拉加茨山	アラガツ山
龐加萊猜想	ポアンカレ予想
麥絲堅娜	アナスタシア・ミスキナ
任天堂3DS	ニンテンドー3DS
爆肺	気胸
武館	道場
基米	ケミ
小藍企鵝	コガタペンギン
沒藥	没薬
占斯惠斯勒	ジェームズ・マクニール・ホイッスラー
炸魚薯條	フィッシュ・アンド・チップス
Game Boy Color	ゲームボーイカラー
屙屎	排便
戰國時代 (日本)	戦国時代 (日本)
字幕	字幕
自然對數	自然対数
瞬間轉移	瞬間移動
太空舞	ムーンウォーク
基士文	マテヤ・ケジュマン
拉夫達	パトリック・ラフター
曹操	曹操
華達拉馬	カルロス・バルデラマ
鼆	闇
雙節棍	ヌンチャク
墨西哥薄餅	トルティーヤ
刨	鉋
法蘭絲麥杜雯	フランシス・マクドーマンド
Doug Savant	ダグ・サヴァント
火山湖	火山湖
氣功	気功
基維爾	ハリー・キューウェル
蓋爾式足球	ゲーリックフットボール
禧福	ヘレフォード
長凳	ベンチ
連江縣	連江県 (中華人民共和国)
新華通訊社	新華社
法明尼	マチュー・フラミニ
雞 (發聲器)	ホイッスル
斬頭	斬首刑
量角器	分度器
聖傑氏島	セントクリストファー島
比奧科島	ビオコ島
世界音樂	ワールドミュージック
第40屆日本眾議院議員總選舉	第40回衆議院議員総選挙
國民陣線 (法國)	国民戦線 (フランス)
吉巴氏綜合症	ギラン・バレー症候群
魚勾	釣り針
亞馬遜河豚	アマゾンカワイルカ
發明家	発明家
前21世紀	紀元前21世紀
油站	ガソリンスタンド
車牌	運転免許
東洋	東洋
戊醣	ペントース
江戶幕府	江戸幕府
撥桑分佈	ポアソン分布
GB	GB
Be	BE
小步舞曲	メヌエット
鼻鼾	いびき
日子	日付
大陸	陸
大話骰	ブラフ (ゲーム)
麗江	麗江市
齊齊哈爾	チチハル市
黎曼猜想	リーマン予想
飛翔	飛翔
190年代	190年代
前190年代	紀元前190年代
𤶸	瘢痕
前26世紀	紀元前26世紀
世界人權日	世界人権デー
汶萊元	ブルネイ・ドル
魚泡	鰾
高良薑	ガジュツ
民用航空	民間機
紅河	紅河
俄文維基百科	ロシア語版ウィキペディア
肌肉萎縮性脊髓側索硬化症	筋萎縮性側索硬化症
轉速錶	タコメーター
雪碧	スプライト (炭酸飲料)
車頓咸	チェルトナム
資陽	資陽市
資源縣	資源県
春武里府	チョンブリー県
香草	ハーブ
課程	カリキュラム
波旁復辟	フランス復古王政
美式鬆餅	マフィン
應用藝術	応用美術
巴斯克文維基百科	バスク語版ウィキペディア
PL教團	パーフェクト リバティー教団
Magic: The Gathering	マジック:ザ・ギャザリング
三級會議	三部会
茅招	カンニング
史路比	スヌーピー
雲高爾	ルイ・ファン・ハール
內含子	イントロン
慳電膽	電球形蛍光灯
巧茶	チャット (麻薬)
武夷山	武夷山
譯音字	転写 (言語学)
嘧啶	ピリミジン
500	500
烏蘇里江	ウスリー川
經濟泡沫	バブル経済
Square Enix	スクウェア・エニックス
他媽哥池	たまごっち
伯爵茶	アールグレイ
Thomas Tallis	トマス・タリス
西門子	ジーメンス (曖昧さ回避)
尼維斯島	ネイビス島
欲骨查	BONES (テレビドラマ)
包裝	包装
時代年度風雲人物	パーソン・オブ・ザ・イヤー
論壇	フォーラム
牛角包	クロワッサン
美洲鱷	アメリカワニ
一氧化氮	一酸化窒素
王絨鴨	ケワタガモ
亞歷山大四世 (馬其頓)	アレクサンドロス4世
貞操	純潔
冬至	冬至
中國中央電視台	中国中央電視台
亞馬遜州	アマゾナス州 (曖昧さ回避)
風月俏佳人	プリティ・ウーマン
領事	領事
孟山都	モンサント (企業)
平水尺	水準器
杜蘭朵	トゥーランドット
唂咕豆	ココア
進軍歌	進軍歌
奧查	アンドレ・オーイェル
金黃	金色
沙比阿朗素	シャビ・アロンソ
意大利飯	リゾット
S區元素	Sブロック元素
傀儡政府	傀儡政権
社會主義勞動英雄	社会主義労働英雄
Barbarossa	バルバロッサ
百吉包	フランスパン
詩歌智慧書	諸書
快感	快感
金性洙	金性洙
天皇 (日本)	天皇
聖誕花	ポインセチア
暹羅鱷	シャムワニ
火燭車	消防車
前28世紀	紀元前28世紀
肉酸	嫌悪
鑊	中華鍋
麥酒	エール (ビール)
折射定律	スネルの法則
威式拼音	ウェード式
喉嘴	バルブ
一九八四	1984年 (小説)
開封	開封市
前27世紀	紀元前27世紀
新台幣	ニュー台湾ドル
阿爾巴尼亞文維基百科	アルバニア語版ウィキペディア
盜版黨	海賊党 (スウェーデン)
開特	カタール (単位)
羅德里格斯島	ロドリゲス島
作客入波優惠	アウェーゴール
鳥結糖	ヌガー
府中市 (東京都)	府中市 (東京都)
八王子市	八王子市
貝爾法斯特協議	ベルファスト合意
般尼	バーンリー
沙嗲串	サテ
豎琴海豹	タテゴトアザラシ
十二小時制	午前と午後
Alexandre Dumas	アレクサンドル・デュマ
古氏樹袋鼠	セスジキノボリカンガルー
凱旋門 (平壤)	凱旋門 (平壌)
異形	エイリアン (架空の生物)
舵	舵
松花江	松花江
袁世凱	袁世凱
媒體播放器	メディアプレーヤー
打井	三目並べ
世界童軍組織	世界スカウト機構
PT	PT
蝙蝠科	ヒナコウモリ科
北海 (廣西)	北海市
袋鼠島	カンガルー島
Arsenal	アーセナル (曖昧さ回避)
李素妍	李素妍 (宇宙飛行関係者)
阮福映	嘉隆帝
煙臺	煙台市
路易吉	ルイージ (ゲームキャラクター)
引渡	犯罪人引渡し条約
中元古代	中原生代
艾斯高巴	アンドレス・エスコバル
町田市	町田市
普林西比島	プリンシペ島
棕鬣狗	カッショクハイエナ
武藏野市	武蔵野市
調布市	調布市
厄利孔20毫米機炮	エリコンKA 20 mm 機関砲
中國神話	中国神話
飛鳥時代	飛鳥時代
皮雅絲	マリー・ピエルス
普通長耳蝠	ウサギコウモリ
巴黎二十區	20区 (パリ)
胃宿	胃宿
朴主永	朴主永
閹人歌手	カストラート
東方站	ボストーク基地
車剌潘治	チェラプンジ
亞歷山度·迪亞文迪	アレッサンドロ・ディアマンティ
Gene targeting	遺伝子ターゲティング
劉翔	劉翔
語態	態
韓亞航空	アシアナ航空
銀川	銀川市
石鼓洲	石鼓洲
比得包	ピタ
高速鐵路	高速鉄道
李國豪	ブランドン・リー
歸納法	誘導
萬山 (廣東)	万山諸島
前30世紀	紀元前30世紀
200年代	200年代
G3自動步槍	H&K G3
Simpson Desert	シンプソン砂漠
打比 (搞清楚)	ダービー
亞蘭島	アラン島 (スコットランド)
十二平均律鋼琴曲集	平均律クラヴィーア曲集
鑑別	認証
美聲學派	ベルカント
西班牙大鑊飯	パエリア
日本放送協會	日本放送協会
十二進制	十二進法
美國國際集團	アメリカン・インターナショナル・グループ
安東諾夫設計局	O・K・アントーノウ記念航空科学技術複合体
卵生動物	卵生
麻油	ごま油
葛蘭素史克	グラクソ・スミスクライン
控球後衛	ポイントガード
北部灣	トンキン湾
昭島市	昭島市
美杜莎之筏	メデューズ号の筏
中央區 (東京都)	中央区 (東京都)
文京區	文京区
鬧鐘	目覚し時計
茶 (草木)	ツバキ属
西布朗	ウェスト・ブロムウィッチ
回力球	バスク・ペロタ
Stephen Colbert	スティーヴン・コルベア
前20年代	紀元前20年代
亞蘭群島	アラン諸島
雷曼兄弟	リーマン・ブラザーズ
家庭電器	家電機器
松仁	松の実
毛厘士勞啤	モーリシャス・ルピー
游水衫	水着
森林反恐隊	オープン・シーズン
666	666
扒	ステーキ
Biangbiang麵	ビャンビャン麺
熊狸	ビントロング
Percy Jackson & the Olympians	パーシー・ジャクソンとオリンポスの神々
達寧頓	ダーリントン
三藩市灣區	サンフランシスコ・ベイエリア
多摩市	多摩市
小平市	小平市
大使館	在外公館
黑美洲鷲	クロコンドル
艾朗藍斯	アーロン・ラムジー
舖	店
足立區	足立区
玻璃市	プルリス州
啤啤熊	テディベア
前210年代	紀元前210年代
210年代	210年代
丙酮酸	ピルビン酸
睡眠窒息症	睡眠時無呼吸症候群
Google街景服務	Google ストリートビュー
Beatboxing	ヒューマンビートボックス
柴魚	干物
莎樂嘅網 (2006年電影)	シャーロットのおくりもの (2006年の映画)
合趾猿	フクロテナガザル
森美蘭	ヌグリ・スンビラン州
七月革命	フランス7月革命
千代田區	千代田区
江戶川區	江戸川区
金奎植	金奎植
煙灰缸	灰皿
巴米揚	バーミヤーン
施文	デビッド・シーマン
納閔	ラブアン
象鳥	エピオルニス
曉士	マーク・ヒューズ (ウェールズ人サッカー選手)
軌距	軌間
蓋茲堡演講	ゲティスバーグ演説
德州話事啤	テキサス・ホールデム
安迪威廉斯	アンディ・ウィリアムス
M4卡賓槍	M4カービン
220年代	220年代
前220年代	紀元前220年代
2010年智利礦坑意外	コピアポ鉱山落盤事故
米芝蓮指南	ミシュランガイド
規範場論	ゲージ理論
中銀大廈	中国銀行タワー
密鋪平面	平面充填
遠藤保仁	遠藤保仁
青礬	硫酸鉄(II)
阪神地震	阪神・淡路大震災
地震一覽	地震の年表
電話冧巴	電話番号
大和號	大和 (戦艦)
潑水節	ソンクラーン
正交	直交
薄血藥	抗凝固薬
江東區 (東京都)	江東区
插蘇	配線用差込接続器
富豪汽車	ボルボ・カーズ
丹尼臣	デニウソン・ペレイラ・ネヴェス
瑪麗亞·卡錢斯卡	マリア・カチンスカ
芝士蛋糕	チーズケーキ
斯蒂芬蓋特利	スティーヴン・ゲイトリー
切爾諾貝爾核電廠	チェルノブイリ原子力発電所
蟲	BUG
阿拉丁	アラジン (映画)
生意人	商人
聲帶	声帯
龍	竜
南沙群島	南沙諸島
熱島效應	ヒートアイランド
金九	金九
湘潭	湘潭市
同盟國	同盟
230年代	230年代
泰山 (中國嘅山)	泰山
芹苴	カントー
九江市	九江市
澳洲工黨	オーストラリア労働党
百貨公司	百貨店
椰油	ヤシ油
希路	ヒロ (ハワイ島)
乓	ポン (ゲーム)
茶羹	ティースプーン
北極狼	ホッキョクオオカミ
垃圾桶	ごみ箱
司機	運転手
保羅安卡	ポール・アンカ
文立彬	エド・ミリバンド
鄉村芝士	リコッタ
占婆	チャンパ王国
倒數 (數)	逆数
奧利里奧	ファビオ・アウレリオ
Deryck Whibley	デリック・ウィブリー
史譚	ヤープ・スタム
身前身後	シックス・フィート・アンダー
中華台北	チャイニーズタイペイ
Glenn Gould	グレン・グールド
高爾	アンディ・コール
老友記闖天涯	オリバー ニューヨーク子猫ものがたり
西江	西江
240年代	240年代
前240年代	紀元前240年代
德仁	皇太子徳仁親王
詠春	詠春拳
歐豬五國	PIIGS
羅德西亞	ローデシア
鐵血將軍巴頓	パットン大戦車軍団
大田區	大田区
沙漠之鷹手槍	デザートイーグル
森林反恐隊2	オープン・シーズン2 ペット vs 野生のどうぶつたち
A1	A1
波板糖	ペロペロキャンディ
PM	PM
達斡爾族	ダウール族
TB	TB
佐卡夫	ユーリ・ジョルカエフ
車打芝士	チェダーチーズ
豬籠草	ウツボカズラ
小丑 (蝙蝠俠漫畫)	ジョーカー (バットマン)
太陽眼鏡	サングラス
牡丹江市	牡丹江市
泰安	泰安市
濰坊	イ坊市
烈性黑啤酒	スタウト
250年代	250年代
A3	A3
興登堡號	LZ 129 (飛行船)
威爾遜	ウィルソン
菲臘尼維利	フィリップ・ネヴィル
AA	AA
正257邊形	二百五十七角形
俄羅斯總統	ロシア連邦大統領
契丹	契丹
簡路迪	フレデリック・カヌーテ
吋	インチ
丙氨酸	アラニン
五行	五行思想
PD	PD
笠包	ラバウル
蘇炳文	蘇炳文
安娜塔西亞 (搞清楚)	アナスタシア
千年蟲	2000年問題
