აფრიკა	アフリカ
ხაიფა	ハイファ
მიხეილ III (ბიზანტია)	ミカエル3世
ნიკიფორე II ფოკა	ニケフォロス2世フォカス
.to	.to
იოანე II (ბიზანტია)	ヨハネス2世コムネノス
.lv	.lv
ფსიქოანალიზი	精神分析学
ბიგასებრნი	トガリネズミ
აპოლონი (პეპელა)	アポロウスバシロチョウ
.gh	.gh
კონსტანტინე V (ბიზანტია)	コンスタンティノス5世
.mm	.mm
ტიბერიუს III (ბიზანტია)	ティベリオス3世
.hk	.hk
მიხეილ II (ბიზანტია)	ミカエル2世
ლეონ V (ბიზანტია)	レオーン5世
ფინიკია	フェニキア
ისააკ I კომნენოსი	イサキオス1世コムネノス
ვარშავის პაქტი	ワルシャワ条約機構
ლეონ IV (ბიზანტია)	レオーン4世
რომანოზ I ლაკაპენოსი	ロマノス1世レカペノス
ძვ. წ. 81	紀元前81年
მიხეილ I (ბიზანტია)	ミカエル1世ランガベー
მიხეილ IV (ბიზანტია)	ミカエル4世
ძვ. წ. 62	紀元前62年
რომანოზ III არგირუსი	ロマノス3世アルギュロス
ძვ. წ. 95	紀元前95年
კონსტანტინე X დუკა	コンスタンティノス10世ドゥーカス
კონსტანტინე VI (ბიზანტია)	コンスタンティノス6世
რამადანი	ラマダーン
კონსტანტინე VIII	コンスタンティノス8世
თეოდორა (ბიზანტია)	テオドラ (東ローマ女帝)
ძვ. წ. 71	紀元前71年
გველხოკერა	バルカンヘビガタトカゲ
ძვ. წ. 97	紀元前97年
ინდოეთის დროშა	インドの国旗
ვებ-მასტერი	ウェブマスター
გინესის მსოფლიო რეკორდების წიგნი	ギネス世界記録
სქოლასტიკა	スコラ学
დიონისე	ディオニューソス
მიხეილ VI სტრატონიკე	ミカエル6世ストラティオティコス
თუკიდიდე	トゥキディデス
სტიუარტის კუნძული	スチュアート島
ნიკიფორე III (ბიზანტია)	ニケフォロス3世ボタネイアテス
ოქროს კვეთა	黄金比
ჯორი	ラバ
პატიმრის დილემა	囚人のジレンマ
კასტრი	カストリーズ
ფუძიანი	福建省
ეთნოსი	民族
ემილიანო საპატა	エミリアーノ・サパタ
ჰიპოთეზა	仮説
.kg	.kg
მასონობა	フリーメイソン
.as	.as
ირლანდიის ზღვა	アイリッシュ海
თრაკია	トラキア
აქილევსი	アキレウス
იოზეფ გებელსი	ヨーゼフ・ゲッベルス
კლაგენფურტი	クラーゲンフルト
.gm	.gm
.gn	.gn
.iq	.iq
.ir	.ir
.gt	.gt
.ga	.ga
.mh	.mh
.ls	.ls
.lu	.lu
წინადადება	文
გრამი	グラム
ძვ. წ. 86	紀元前86年
ძვ. წ. 80	紀元前80年
კანზას-სიტი	カンザスシティ (ミズーリ州)
.tm	.tm
ანდრონიკე I (ბიზანტია)	アンドロニコス1世コムネノス
შაჰადა	シャハーダ
ბასილი II	バシレイオス2世
რომანოზ IV დიოგენე	ロマノス4世ディオゲネス
.lb	.lb
თეოდოსიოს III (ბიზანტია)	テオドシオス3世
ადენის ყურე	アデン湾
მიხეილ V (ბიზანტია)	ミカエル5世
.ph	.ph
.zm	.zm
ბეერ-შევა	ベエルシェバ
.uz	.uz
რომანოზ II (ბიზანტია)	ロマノス2世
.uy	.uy
ალექსი II (ბიზანტია)	アレクシオス2世コムネノス
.sg	.sg
ჰერაკლე (ბიზანტია)	ヘラクレイオス
.kr	.kr
.mt	.mt
ბანფის ეროვნული პარკი	バンフ国立公園
იუსტინიანე I (ბიზანტია)	ユスティニアヌス1世
პოლ ნიუმენი	ポール・ニューマン
ვარსკვლავთშორისი სივრცე	星間物質
რეიმსი	ランス (マルヌ県)
ძვ. წ. 74	紀元前74年
ძვ. წ. 64	紀元前64年
ძვ. წ. 99	紀元前99年
ძვ. წ. 76	紀元前76年
ძვ. წ. 79	紀元前79年
ძვ. წ. 61	紀元前61年
მანმოჰან სინგჰი	マンモハン・シン
ოსკარის 55-ე დაჯილდოება	第55回アカデミー賞
იოდლი (სიმღერა)	ヨーデル
.la	.la
ბაბილონის დაკიდებული ბაღები	バビロンの空中庭園
ძვ. წ. 50	紀元前50年
.jm	.jm
.pa	.pa
.pe	.pe
პანდა	レッサーパンダ
ენა (მდინარე)	エーヌ川
შრი-ჯაიავარდენეპურა-კოტე	スリジャヤワルダナプラコッテ
ურალის ფედერალური ოკრუგი	ウラル連邦管区
ზემო ავსტრია	オーバーエスターライヒ州
შორეული აღმოსავლეთის ფედერალური ოკრუგი	極東連邦管区
პიატიგორსკი	ピャチゴルスク
მონღოლები	モンゴル系民族
ციმბირის ფედერალური ოკრუგი	シベリア連邦管区
ატომური ენერგიის საერთაშორისო სააგენტო	国際原子力機関
მაასი	マース川
.bi	.bi
ფლამინგო	フラミンゴ
ტაიტი	タヒチ島
იუდაისტიკა	ユダヤ学
სომბატჰეი	ソンバトヘイ
სუვერენიტეტი	主権
ანვარ ალ-სადათი	アンワル・アッ＝サーダート
.nz	.nz
.mc	.mc
იუსტინიანე II (ბიზანტია)	ユスティニアノス2世
.ml	.ml
.ki	.ki
ზედა დონის ეროვნული დომენი	国別コードトップレベルドメイン
.tj	.tj
.ly	.ly
ჟან-მარი გუსტავ ლე კლეზიო	ジャン＝マリ・ギュスターヴ・ル・クレジオ
გამოცხადება იოანესი	ヨハネの黙示録
შამანიზმი	シャーマニズム
მაგმური ქანები	火成岩
აფთარი	ハイエナ
დიდებული ბიჭები	グッドフェローズ
ბალმორალის ციხესიმაგრე	バルモラル城
.im	.im
ვარსკვლავური ომები, ეპიზოდი III: სითების შურისძიება	スター・ウォーズ エピソード3/シスの復讐
ისპაანი	エスファハーン
ძვ. წ. 399	紀元前399年
გობის უდაბნო	ゴビ砂漠
დენზელ ვაშინგტონი	デンゼル・ワシントン
სინონიმები	類義語
ტომას ტრანსტრიომერი	トーマス・トランストロンメル
მოქალაქეობა	市民
ანრი ბერგსონი	アンリ・ベルクソン
კლერმონ-ფერანი	クレルモン＝フェラン
.kp	.kp
ბაკინგემის სასახლე	バッキンガム宮殿
ვიგების პარტია (აშშ)	ホイッグ党 (アメリカ)
ძვ. წ. 82	紀元前82年
დემოკრატიულ-რესპუბლიკური პარტია (აშშ)	民主共和党 (アメリカ)
აბელ ტასმანი	アベル・タスマン
ფედერალისტური პარტია (აშშ)	連邦党
.cc	.cc
ისიქ-ქოლი	イシク・クル
გუთები	ゴート族
ლურჯი ვეშაპი	シロナガスクジラ
შერკინება (1995 წლის ფილმი)	ヒート (映画)
ხაინანი	海南省
ავე მარია	アヴェ・マリア
კარავაჯო	ミケランジェロ・メリージ・ダ・カラヴァッジオ
ვანდალები	ヴァンダル族
ძვ. წ. 149	紀元前149年
ძვ. წ. 101	紀元前101年
პინ-ინი	ピン音
შორეული აღმოსავლეთი	極東
მელ გიბსონი	メル・ギブソン
ნამგალი	鎌
ბზობა	聖枝祭
კეფალისებრნი	ボラ科
რიბოსომა	リボソーム
სიული პრიუდომი	シュリ・プリュドム
ჰიდროლოგია	水文学
მირანტე-დუ-ვალე	ルックアウトバレー
ევროპული კოსმოსური სააგენტო	欧州宇宙機関
ესპანეთის ეროვნული საფეხბურთო ნაკრები	サッカースペイン代表
.ck	.ck
Google Earth	Google Earth
მაგმა	マグマ
FTP	File Transfer Protocol
.zw	.zw
ფარენჰაიტი	華氏
ნეკერჩხალი	カエデ
ბუჩქი	低木
ბერნჰარდ რიმანი	ベルンハルト・リーマン
თიხა	粘土
რიჩარდ I	リチャード1世 (イングランド王)
ხარკოვი	ハルキウ
ნორმანდიის კუნძულები	チャンネル諸島
სავანა	サバナ (地理)
პიუს XI	ピウス11世 (ローマ教皇)
მატყლი	ウール
მარტინ ვაინეკი	マルティン・バイネク
ძვ. წ. 83	紀元前83年
ძვ. წ. 92	紀元前92年
ძვ. წ. 93	紀元前93年
ძვ. წ. 94	紀元前94年
ძვ. წ. 78	紀元前78年
მარანიანი	マラニョン州
ძველი ინგლისური ენა	古英語
კანის კინოფესტივალი	カンヌ国際映画祭
ნისლეულები	星雲
.va	.va
კაკაო	カカオ
სიონიზმი	シオニズム
განსუ	甘粛省
ლეიკოციტები	白血球
ანდრეა ბოჩელი	アンドレア・ボチェッリ
ინგლისელები	イングランド人
ევო მორალესი	エボ・モラレス
.gi	.gi
თალიბანი	ターリバーン
ძვ. წ. 66	紀元前66年
ძვ. წ. 85	紀元前85年
ძვ. წ. 89	紀元前89年
ძვ. წ. 72	紀元前72年
ძვ. წ. 73	紀元前73年
პოლონეთის დროშა	ポーランドの国旗
ძვ. წ. 68	紀元前68年
ანატოლ ფრანსი	アナトール・フランス
შეფილდი	シェフィールド
ძვ. წ. 75	紀元前75年
ბიორკი	ビョーク
ანაქსიმანდრე	アナクシマンドロス
იორკი	ヨーク (イングランド)
დევიზი	標語
პერლი	Perl
აირონ მეიდენი	アイアン・メイデン
ასტერიქსი	アステリックス
კეტი პერი	ケイティ・ペリー
ქვემო ავსტრია	ニーダーエスターライヒ州
საწვავი	燃料
უკანასკნელი დღეების წმინდანთა იესო ქრისტეს ეკლესია	末日聖徒イエス・キリスト教会
რორაიმა	ロライマ州
ჰერბერტ უელსი	ハーバート・ジョージ・ウェルズ
კარტოგრაფია	地図学
ატოლი	環礁
ტროპიკები	熱帯
ინდის ცივილიზაცია	インダス文明
აშშ-ის დროშა	アメリカ合衆国の国旗
ტომას მორი	トマス・モア
ვისლავა შიმბორსკა	ヴィスワヴァ・シンボルスカ
ჯეიმზ კამერონი	ジェームズ・キャメロン
კირა ნაიტლი	キーラ・ナイトレイ
გონძაგა (ლომბარდია)	ゴンザーガ
MP3	MP3
ფრედერიკ მისტრალი	フレデリック・ミストラル
მცირე კატები	ネコ亜科
მღვდელი	司祭
სიამის კატა	シャム (ネコ)
ამენჰოტეპ III	アメンホテプ3世
პალესტინის ეროვნული ადმინისტრაცია	パレスチナ自治政府
ლელიანის კატა	ジャングルキャット
.fk	.fk
ბენგალური კატა	ベンガルヤマネコ
.jo	.jo
შოტლანდიური ფოლდი	スコティッシュフォールド
.li	.li
.lc	.lc
.mr	.mr
.je	.je
.sv	.sv
.kw	.kw
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
სერვალი	サーバル
.vu	.vu
სენტ-ეტიენი	サン＝テティエンヌ
თურქული ანგორა	ターキッシュアンゴラ
პიაუი	ピアウイ州
ფერნანდო ტორესი	フェルナンド・トーレス
ჩინელები	漢民族
რიტა ჰეივორთი	リタ・ヘイワース
ჰაინრიხ ბიოლი	ハインリヒ・ベル
პალიკირი	パリキール
.za	.za
.na	.na
მოჯაჰიდი	ムジャーヒディーン
.ve	.ve
უოტერგეიტის სკანდალი	ウォーターゲート事件
ბიოსფერო	生物圏
.gp	.gp
ჯონი კეში	ジョニー・キャッシュ
.sy	.sy
.mg	.mg
ოდრი ჰეპბერნი	オードリー・ヘプバーン
.gf	.gf
.mq	.mq
ლამანტინისებრნი	マナティー
ბორობუდური	ボロブドゥール遺跡
ბელუ-ორიზონტი	ベロオリゾンテ
ნიმი	ニーム (フランス)
ჰავრი	ル・アーヴル
ეტა (ორგანიზაცია)	バスク祖国と自由
ლიგურიის ზღვა	リグリア海
მატუ-გროსუ	マットグロッソ州
გრიგოლ I (პაპი)	グレゴリウス1世 (ローマ教皇)
ივანე ტურგენევი	イワン・ツルゲーネフ
დასავლეთ რომის იმპერია	西ローマ帝国
ლეიფ ერიქსონი	レイフ・エリクソン
.ye	.ye
.km	.km
დეპრესია	うつ病
.lr	.lr
აბდულა გიული	アブドゥラー・ギュル
წინასწარმეტყველი	預言者
.tg	.tg
.vc	.vc
.ws	.ws
ნიკოლას კეიჯი	ニコラス・ケイジ
.mn	.mn
იტალიის დროშა	イタリアの国旗
ტიროლი	チロル州
გერმანელები	ドイツ人
კლემენტ I	クレメンス1世 (ローマ教皇)
კრიშნა	クリシュナ
ძვ. წ. 201	紀元前201年
ძვ. წ. 202	紀元前202年
დიმა ბილანი	ジーマ・ビラーン
ჰანზა	ハンザ同盟
მუტაცია	突然変異
ნირვანა	涅槃
დასტინ ჰოფმანი	ダスティン・ホフマン
კუბიზმი	キュビスム
ტროის ომი	トロイア戦争
ბრონისლავ კომოროვსკი	ブロニスワフ・コモロフスキ
აგრა	アーグラ
ატომური კვლევების ევროპული ორგანიზაცია	欧州原子核研究機構
თორი (მითოლოგია)	トール
ხარბინი	ハルビン市
მუსონები	モンスーン
საერთაშორისო ამნისტია	アムネスティ・インターナショナル
არქიტექტორი	建築士
ოქტომბრის რევოლუცია	十月革命
ალერგია	アレルギー
ივანე პავლოვი	イワン・パブロフ
ტოპოლოგია	位相幾何学
გოლდა მეირი	ゴルダ・メイア
1600-იანები	1600年代
ორკესტრი	オーケストラ
ძვ. წ. 146	紀元前146年
ანიმიზმი	アニミズム
ტატუირება	入れ墨
კვარცი	石英
საბიონეტა	サッビオネータ
ფინანსები	金融
ეფესოს ტაძარი	アルテミス神殿
თურქული ყავა	トルココーヒー
მოკლეტექსტური შეტყობინების სერვისი	ショートメッセージサービス
ედუინ ჰაბლი	エドウィン・ハッブル
ძვ. წ. 356	紀元前356年
დეზმონდ ტუტუ	デズモンド・ムピロ・ツツ
ელექტროტექნიკა	電気工学
ჯორჯ ბუში	ジョージ・ブッシュ
ჰემოგლობინი	ヘモグロビン
დემი მური	デミ・ムーア
როდოსი	ロドス島
ბემბი	バンビ (映画)
ნეირონი	神経細胞
ღერძი ბერლინი-რომი-ტოკიო	枢軸国
გვალვა	旱魃
ფრანც ფერდინანდი	フランツ・フェルディナント・フォン・エスターライヒ＝エステ
ჭვირნიშანი	透かし
ჰაინრიხ ჰიმლერი	ハインリヒ・ヒムラー
დონეცკი	ドネツィク
.mw	.mw
.mu	.mu
.td	.td
ლალი	ルビー
ორთოგრაფია	正書法
.sm	.sm
.tk	.tk
ქაშმირი	カシミール
.sr	.sr
იალბუზი	エルブルス山
ზამბეზი	ザンベジ川
დიოკლეტიანე	ディオクレティアヌス
რეფერენდუმი	住民投票
აიკიდო	合気道
წმინდანი	聖人
.qa	.qa
.tt	.tt
დახმარება:ხშირი შეკითხვები	Wikipedia:FAQ
.ug	.ug
.my	.my
.mz	.mz
.om	.om
.th	.th
კევინ რადი	ケビン・ラッド
სოფია როტარუ	ソフィーヤ・ロタール
.cx	.cx
.sc	.sc
.gu	.gu
ლიქენები	地衣類
სარა პეილინი	サラ・ペイリン
.kn	.kn
.pg	.pg
.sz	.sz
.pk	.pk
.ng	.ng
.tl	.tl
.gs	.gs
.ne	.ne
.tz	.tz
.py	.py
.tn	.tn
სამზარეულო	台所
ნამდვილი ნიანგები	クロコダイル科
ინკვიზიცია	異端審問
იაპონიის დროშა	日本の国旗
ქლოროფილი	クロロフィル
ელენ ჯონსონ-სირლიფი	エレン・ジョンソン・サーリーフ
ერატოსთენე	エラトステネス
დაზღვევა	保険
ძვ. წ. 110	紀元前110年
საფრანგეთის დროშა	フランスの国旗
იუნანი	雲南省
ცინცინატი	シンシナティ
დელტა	三角州
ომაჰა	オマハ
ბისექსუალობა	両性愛
კლინტ ისტვუდი	クリント・イーストウッド
ბურგენლანდი	ブルゲンラント州
ეპიკურე	エピクロス
ძვ. წ. 106	紀元前106年
ესპირიტუ-სანტუ	エスピリトサント州
რონდონია	ロンドニア州
მარცვლოვანნი	イネ科
ძვ. წ. 480	紀元前480年
ალექსანდრიის შუქურა	アレクサンドリアの大灯台
ინგრიდ ბერგმანი	イングリッド・バーグマン
მორფემა	形態素
გესტაპო	ゲシュタポ
სოფი ლორენი	ソフィア・ローレン
რიუ-გრანდი-დუ-ნორტი	リオグランデ・ド・ノルテ州
No Doubt	ノー・ダウト
მრავალწევრი	多項式
ჰორიზონტი	地平線
ტუნდრა	ツンドラ
რუსეთის ფედერალური მოწყობა	ロシア連邦の地方区分
მანუელ დე ოლივეირა	マノエル・ド・オリヴェイラ
მორავია	モラヴィア
The Jackson 5	ジャクソン5
სულიას შტატი	スリア州
პიტერ ბრეიგელი (უფროსი)	ピーテル・ブリューゲル
ბარინასის შტატი	バリナス州
ჩარლზი (უელსის პრინცი)	チャールズ (プリンス・オブ・ウェールズ)
ვიქტორია (ჩანჩქერი)	ヴィクトリアの滝
Kerrang!	ケラング!
მოგაოს მღვიმეები	莫高窟
გერმანიის იმპერია	ドイツ帝国
ძვ. წ. 331	紀元前331年
თალმუდი	タルムード
სულთანი	スルターン
უეიკი	ウェーク島
ტაიმი (ჟურნალი)	タイム (雑誌)
კომში	マルメロ
ფრესნო	フレズノ
ქარენერგეტიკა	風力発電
მალკოლმ იქსი	マルコム・X
მარჩელო ლიპი	マルチェロ・リッピ
ძვ. წ. 200	紀元前200年
გერმანიის ეროვნული საფეხბურთო ნაკრები	サッカードイツ代表
მატუ-გროსუ-დუ-სული	マットグロッソ・ド・スル州
ზალცბურგის მხარე	ザルツブルク州
მოტაუნი	モータウン
მიხეილ სააკაშვილი	ミヘイル・サアカシュヴィリ
პომპეი	ポンペイ
სპარტანული აღზრდა	スパルタ教育
ბაზალტი	玄武岩
ხალხური მუსიკა	民族音楽
არისტოფანე	アリストパネス
MTV	MTV
ჰარი პოტერი და ფილოსოფიური ქვა	ハリー・ポッターと賢者の石
ყვავი	カラス属
1700-იანები	1700年代
ფოცხვერი	ヨーロッパオオヤマネコ
ედირნე	エディルネ
რობერტ ბოილი	ロバート・ボイル
ანდრია მოციქული	アンデレ
ექსჰიბიციონიზმი	露出症
შანდუნი	山東省
მოციქულები	使徒
კიანუ რივზი	キアヌ・リーブス
ეზოპე	アイソーポス
ძვ. წ. 322	紀元前322年
ძვ. წ. 336	紀元前336年
ჯასტინ ტიმბერლეიკი	ジャスティン・ティンバーレイク
ჩანდიგარჰი	チャンディーガル
მარგალიტი	真珠
ჯოზუე კარდუჩი	ジョズエ・カルドゥッチ
გიუსტავ ფლობერი	ギュスターヴ・フローベール
ტუჩფეხიანები	ムカデ
ბრიტანეთის ინდოეთის ოკეანის ტერიტორია	イギリス領インド洋地域
Creative Commons	クリエイティブ・コモンズ
ტანვარჯიში	体操
პლზენი	プルゼニ
ეთნოლოგია	民族学
ფირდოუსი	フェルドウスィー
ფორტალეზა	フォルタレザ
ინდოჩინეთი	インドシナ半島
ანგკორ-ვატი	アンコール・ワット
ამედეო ავოგადრო	アメデオ・アヴォガドロ
ბუნებრივი გადარჩევა	自然選択説
ფრანკები	フランク人
შავარდენი (გვარი)	ハヤブサ属
დესიდერიუს ერასმუსი	デジデリウス・エラスムス
ზოოპარკი	動物園
Nightwish	ナイトウィッシュ
დიდი კამა	フェンネル
კ2	K2
ზურმუხტი	エメラルド
ფარდობითობის თეორია	相対性理論
ოკეანოლოგია	海洋学
გეოქრონოლოგიური სკალა	地質時代
ანტონ ვან ლევენჰუკი	アントニ・ファン・レーウェンフック
გერჰარტ ჰაუპტმანი	ゲアハルト・ハウプトマン
მჯდომარე ხარი	シッティング・ブル
კრისტალი	結晶
.mo	.mo
ტყის კატა	ヤマネコ (種)
.np	.np
.ms	.ms
.rw	.rw
კოტონუ	コトヌー
მათე მახარებელი	マタイ
საფრანგეთის ღია პირველობა	全仏オープン
ოდინი	オーディン
მუმია	ミイラ
ბუნებრივი გარემო	自然環境
კოლიბრები	ハチドリ
ლეიდენი	ライデン
კივი (ფრინველი)	キーウィ (鳥)
ნახშირწყალბადი	炭化水素
აპოლო 11	アポロ11号
წინდა	靴下
თომას მიულერი	トーマス・ミュラー
ლუისვილი	ルイビル
თომა მოციქული	トマス (使徒)
.me	.me
ფილიპე მოციქული	フィリポ
ფილიპ ლამი	フィリップ・ラーム
ხენანი	河南省
ამბროსი მედიოლანელი	アンブロジウス
ბურსის პროვინცია	ブルサ県
ტოკანტინსი	トカンティンス州
ჟან რენო	ジャン・レノ
ფედერაციული სახელმწიფო	連邦
იოანე ოქროპირი (მრავალმნიშვნელოვანი)	金口イオアン
ბერმუდის სამკუთხედი	バミューダトライアングル
ვლად III ცეპეში	ヴラド・ツェペシュ
ნიკოლოზ გოგოლი	ニコライ・ゴーゴリ
პიუს IX	ピウス9世 (ローマ教皇)
ბინიამინ ნეთანიაჰუ	ベンヤミン・ネタニヤフ
ლეო XII	レオ12世 (ローマ教皇)
ანდრეს ინიესტა	アンドレス・イニエスタ
გრიგოლ XVI	グレゴリウス16世 (ローマ教皇)
კავაბატა იასუნარი	川端康成
პიუს X	ピウス10世 (ローマ教皇)
ოაზისი	オアシス
გერდ მიულერი	ゲルト・ミュラー
ართვინის პროვინცია	アルトヴィン県
.mv	.mv
NGC 32	NGC 32
.sd	.sd
.sl	.sl
.st	.st
NGC 33	NGC 33
სერჟიპი	セルジッペ州
მადისონი (უისკონსინი)	マディソン (ウィスコンシン州)
ინდაური	シチメンチョウ属
ჭიპი	へそ
უხერხემლოები	無脊椎動物
პასპორტი	パスポート
.hm	.hm
NGC 36	NGC 36
.tw	.tw
.sb	.sb
ედი მერფი	エディ・マーフィ
NGC 38	NGC 38
.ky	.ky
.mp	.mp
.ps	.ps
არიენ რობენი	アリエン・ロッベン
.pf	.pf
ოტო I დიდი	オットー1世 (神聖ローマ皇帝)
ლეო XIII	レオ13世 (ローマ教皇)
ადიამანის პროვინცია	アドゥヤマン県
ანდრეა პირლო	アンドレア・ピルロ
ლიაონინი	遼寧省
აზავადი	アザワド
ანსელმ კენტერბერიელი	アンセルムス
ჰამიდ ქარზაი	ハーミド・カルザイ
იუდა იაკობისი	タダイ
ლეო I	レオ1世 (ローマ教皇)
სიდ კამპეადორი	エル・シッド
ჯეკ მფატრავი	切り裂きジャック
მუჰამედ იუნუსი	ムハマド・ユヌス
1740-იანები	1740年代
ლუი I ღვთისმოსავი	ルートヴィヒ1世 (フランク王)
იან ჰუსი	ヤン・フス
ლიტვის სახელმწიფო ჰიმნი	国民賛歌
ბართლომე მოციქული	バルトロマイ
ფრინველის გრიპი	鳥インフルエンザ
გრიგოლ რასპუტინი	グリゴリー・ラスプーチン
იაკობ ზებედესი	ヤコブ (ゼベダイの子)
თეოდორ ჰერცლი	テオドール・ヘルツル
პაულ კლეე	パウル・クレー
გრიგოლ ღვთისმეტყველი	ナジアンゾスのグレゴリオス
იოანე ღვთისმეტყველი	ヨハネ (使徒)
მატათა მოციქული	マティア
ათანასე I (ალექსანდრიის პატრიარქი)	アレクサンドリアのアタナシオス
ეგონ შილე	エゴン・シーレ
ლუდვიგ II (ბავარია)	ルートヴィヒ2世 (バイエルン王)
გერმანიის ეროვნული ჰიმნი	ドイツの歌
იაკობ ალფესი	ヤコブ (アルファイの子)
ძვ. წ. 384	紀元前384年
ძვ. წ. 264	紀元前264年
ათასწლეულის ხიდი	ミレニアム・ブリッジ (ロンドン)
ლა-პლატა	ラプラタ (アルゼンチン)
ვასილი ლეონტიევი	ワシリー・レオンチェフ
რიზ უიზერსპუნი	リース・ウィザースプーン
ნერკა	ベニザケ
ძვ. წ. 185	紀元前185年
დირკ ნოვიცკი	ダーク・ノヴィツキー
იური ანდროპოვი	ユーリ・アンドロポフ
ჯესიკა ალბა	ジェシカ・アルバ
კირილე I (ალექსანდრიის პატრიარქი)	アレクサンドリアのキュリロス
.pw	.pw
ძვ. წ. 169	紀元前169年
ძვ. წ. 119	紀元前119年
მარკო ბორიელო	マルコ・ボリエッロ
ძვ. წ. 195	紀元前195年
Dangerous (ალბომი)	デンジャラス (アルバム)
ძვ. წ. 115	紀元前115年
დიდპირა ყაპყაპი	ブッポウソウ
კირენა	キュレネ
ძვ. წ. 120	紀元前120年
ქლიავი	セイヨウスモモ
ჯანგო რეინჰარდტი	ジャンゴ・ラインハルト
იშტვან შანდორფი	イシュトヴァーン・サンドルフィ
სერვერი (კომპიუტერი)	サーバ
ვერნერ ჰერცოგი	ヴェルナー・ヘルツォーク
თეთრი ზღვა	白海
1500-იანები	1500年代
Bad (ალბომი)	バッド (アルバム)
მეზოლითი	中石器時代
ტულონი	トゥーロン
სან-ფერნანდო-დელ-ვალიე-დე-კატამარკა	サン・フェルナンド・デル・バジェ・デ・カタマルカ
ეგნატე ღმერთშემოსილი	アンティオキアのイグナティオス
ძვ. წ. 156	紀元前156年
ძვ. წ. 129	紀元前129年
Ben (ალბომი)	ベンのテーマ
კირილე I (მოსკოვის პატრიარქი)	キリル1世 (モスクワ総主教)
Radiohead	レディオヘッド
მაქსიმილიან რობესპიერი	マクシミリアン・ロベスピエール
კრონოსი	クロノス
რესისტენსია	レシステンシア
რავსონი	ラウソン
Music and Me (მაიკლ ჯექსონის ალბომი)	ミュージック・アンド・ミー
კორდოვა (არგენტინა)	コルドバ (アルゼンチン)
კორიენტესი	コリエンテス
პარანა (არგენტინა)	パラナ (アルゼンチン)
ფორმოსა (ქალაქი)	フォルモーサ (アルゼンチン)
სანტა-როსა	サンタローサ (アルゼンチン)
სან-სალვადორ-დე-ხუხუი	サン・サルバドール・デ・フフイ
ანდერს ბერინგ ბრეივიკი	アンネシュ・ベーリング・ブレイビク
შონ პენი	ショーン・ペン
ძვ. წ. 104	紀元前104年
ლეონიდასი	レオニダス1世
მთვარის დაბნელება	月食
ლა-რიოხა (არგენტინა)	ラ・リオハ (アルゼンチン)
მენდოსა (ქალაქი)	メンドーサ
პოსადასი (ქალაქი)	ポサーダス (アルゼンチン)
ნეუკენი	ネウケン
ვიედმა	ビエドマ
სან-ხუანი (არგენტინა)	サンフアン (アルゼンチン)
რიო-გალიეგოსი	リオ・ガジェゴス
სან-ლუისი (არგენტინა)	サン・ルイス (アルゼンチン)
სანტა-ფე (არგენტინა)	サンタフェ (アルゼンチン)
Forever, Michael	フォーエヴァー・マイケル
ძვ. წ. 139	紀元前139年
სანტიაგო-დელ-ესტერო	サンティアゴ・デル・エステロ
უშუაია	ウシュアイア
სან-მიგელ-დე-ტუკუმანი	サン・ミゲル・デ・トゥクマン
ბასილი დიდი	カイサリアのバシレイオス
ძვ. წ. 122	紀元前122年
ძვ. წ. 206	紀元前206年
ნიკოლოზ საკვირველთმოქმედი	ミラのニコラオス
მიშელ ფუკო	ミシェル・フーコー
იერგ ჰაიდერი	イェルク・ハイダー
ოლივერ კრომველი	オリバー・クロムウェル
იგნატიუს ლოიოლა	イグナチオ・デ・ロヨラ
ძვ. წ. 323	紀元前323年
Off the Wall (ალბომი)	オフ・ザ・ウォール (アルバム)
Ford Motor Company	フォード・モーター
ბასტიან შვაინშტაიგერი	バスティアン・シュヴァインシュタイガー
კოიოტი	コヨーテ
ჯიმ მორისონი	ジム・モリソン
მთიანი ყარაბაღი	ナゴルノ・カラバフ
სალმან რაშდი	サルマン・ラシュディ
დანიელ ვან ბეიტენი	ダニエル・ファン・ブイテン
ტერორისტული აქტი ალექსანდრიაში (2011)	アレクサンドリア自爆テロ
მაქსიმილიან I (ბავარია)	マクシミリアン1世 (バイエルン王)
Thriller (ალბომი)	スリラー (アルバム)
ძვ. წ. 203	紀元前203年
ონტოლოგია	存在論
ბოჰემიის მმართველთა სია	ボヘミア君主一覧
მატრიცა (მათემატიკა)	行列
თქმულება	伝説
HIStory: Past, Present and Future, Book I	ヒストリー パスト、プレズント・アンド・フューチャー ブック1
ძვ. წ. 102	紀元前102年
ცარი	ツァーリ
ფერმიონი	フェルミ粒子
ვალენტინა ტერეშკოვა	ワレンチナ・テレシコワ
Invincible (მაიკლ ჯექსონის ალბომი)	インヴィンシブル (アルバム)
გვირაბი	トンネル
კამერონ დიასი	キャメロン・ディアス
ჰეფესტოსი	ヘーパイストス
ლეონტიოსი	レオンティオス
დარიოს I	ダレイオス1世
ბერნდ შუსტერი	ベルント・シュスター
პასკალი	パスカル
კაიენა	カイエンヌ
ჰაინრიხ ჰაინე	ハインリヒ・ハイネ
თეოკრატია	神権政治
ჰალსტუხი	ネクタイ
ჯოვანი ტრაპატონი	ジョバンニ・トラパットーニ
ქიმიური ბმა	化学結合
ჯონ სინა	ジョン・シナ
