IAfrika	アフリカ
Module:Footnotes	モジュール:Footnotes
Template:Location map South Africa Gauteng Greater Johannesburg	Template:Location map South Africa Gauteng Greater Johannesburg
Template:MedalGold	Template:MedalGold
Template:MedalBronze	Template:MedalBronze
Template:MedalSilver	Template:MedalSilver
Template:P1	Template:P1
Template:Wayback	Template:Wayback
Template:MutopiaComposer	Template:MutopiaComposer
Template:Sigfig	Template:Sigfig
Template:MedalCountry	Template:MedalCountry
Template:Discogs artist	Template:Discogs artist
Template:S-ach	Template:S-ach
Template:S-inc	Template:S-inc
Template:Longitem	Template:Longitem
Template:Dec to frac	Template:Dec to frac
Template:Wikiquote-inline	Template:WikiquoteN
Template:Xpda	Template:Xpda
Template:Birth year and age	Template:Birth year and age
Template:Sfnp	Template:Sfnp
Template:Style/IPA	Template:Style/IPA
Template:Style/yid	Template:Style/yid
Template:Xpd/url	Template:Xpd/url
Template:Xpd/w	Template:Xpd/w
Module:Yesno	モジュール:Yesno
Module:Arguments	モジュール:Arguments
Special:RecentChanges	特別:最近の更新
Module:List	モジュール:List
Module:Math	モジュール:Math
Module:InfoboxImage	モジュール:InfoboxImage
Hinako Sano	佐野ひなこ
Module:Check for unknown parameters	モジュール:Check for unknown parameters
