ཨ་ཧྥེ་རི་ཁ།	アフリカ
རོལ་རྩེད།	ゲーム
མིག་མངས་སྒོར་སྒོར།	囲碁
ཁ་ར་ཏེ།	空手道
འབོལ་འཇུ།	柔道
རྩེད་ཆས།	玩具
གློག་བརྙན།	映画
འགུལ་རིས་གློག་བརྙན།	アニメーション
སོ་ནམ།	農業
སྒྲ་	音
དྲོད་ཚད་	温度
དུས་ཚོད།	時間
ཤོག་བུ།	紙
གྲངས་ཀ།	数
སྟོང་ཁེའུ།	キログラム
སྨི།	メートル
སྐར་ཆ།	秒
ཨ་ཤོམ།	トウモロコシ
ནས།	オオムギ
ཁེལ།	ケルビン
སྤྱི་ཧྲན།	リットル
རི་མོ།	絵画
འོད་པར་རྒྱབ་ཐབས།	写真
ཟློས་གར།	演劇
ཞབས་བྲོ།	ダンス
ཁྲུང་ཆིན་གྲོང་ཁྱེར།	重慶市
ཐན་ཅིན ་གྲོང་ཁྱེར།	天津市
ཝུའུ་ཧན་གྲོང་ཁྱེར།	武漢市
རྒྱལ་ཁབ་དག་གི་མིང་།	国の一覧
ལོ་རྒྱུས་བྱུང་གོང་གི་དུས་མཚམས།	先史時代
རྡོ་ཆས་སྤྱོད་པའི་དུས་རབས།	石器時代
ཟངས་ཆས་སྤྱོད་པའི་དུས་རབས།	青銅器時代
ལྕགས་ཆས་སྤྱོད་པའི་དུས་རབས།	鉄器時代
གནའ་རབས་ཀེ་རི་སི།	古代ギリシア
དོམ།	クマ
༄༅།། གངས་དཀར་སྲས་མོ།	白雪姫
༄༅།། ཞྭ་མོ་དམར་ཆུང་།	赤ずきん
མིག་གིའི་ཙི་ཙི།	ミッキーマウス
མིན་ནིའི་ཙི་ཙི།	ミニーマウス
མངལ་སྦུམ་པ།	妊娠
བེ་ཤིང་།	オーク
ཐང་ཤིང་།	マツ
འབྲས་སྐྲན།	悪性腫瘍
སྐྱུག་ཤལ་འགོས་ནད།	コレラ
གྲོ་ནག	ライムギ
གྲི་རྩེད།	フェンシング
ཡུག་པོ།	エンバク
གྲོ།	コムギ
འབྲུ་རིགས།	穀物
འོན་པ	ろう者
ན་ཚ།	病気
བེ་རེ་སི་ཊི། (ཧྥ་རན་སི།)	ブレスト (フランス)
གློ་གཅོང་གི་ནད།	結核
མ་ཅང་།	麻雀
ཁང་རྩིག་བཟོ་རིག	建築
ཟམ་པ།	橋
མོ་ན་ལི་ས།	モナ・リザ
ལྕགས་རི་རིང་པོ།	万里の長城
གློག་རིག་པ།	電気
དཔའ་དམ།	剣
ཝོ་ཁ་ལུ་ཟེ།	ヴォクリューズ県
ཨུམ་བེར་ཏོ་ཨེ་ཀོ།	ウンベルト・エーコ
ཁྲབ་ལྡན་འཁོར་ལོ།	戦車
ཕོ་ལོ་ཁོའེ་ལོ།	パウロ・コエーリョ
མ་ཇུ་རོ།	マジュロ
མ་རིན་ལེ་པེན།	マリーヌ・ル・ペン
འབྲུག་ཚགས།	レイシ
བེ་ཏ།	ココナッツ
སེ་འབྲུ།	ザクロ
ཁམ་བུ།	モモ
ཚ་ལུ་མ།	オレンジ
སྤྲེལ་ཁམ།	キウイフルーツ
ཀྲོང་སྐད།	チワン語
ཡུལ་གོར་སྐད།	ウイグル語
ཀ་རཱ་ར།	カッラーラ
འབུར་མདའ།	カムシャフト
ཐའེ་པོ་ཆུ་བོ།	テヴェレ川
ནུ་ཤུབ།	ブラジャー
ཨན་ཇེ་ལི་ནའ་ཇོའོ་ལི།	アンジェリーナ・ジョリー
ཨ་རབ་སྐད།	アラビア語
ཧོན་ཤུ།	本州
སྲུང་ཤུབས།	コンドーム
ཥིང་ཏ་ལ་	ヤシ
མོ་ཟ་རེལ་ལ། (ཆུར་བ།)	モッツァレッラ
ཁོར་སི་ཁ་གླིང་ཕྲན།	コルシカ島
པིས་ཐ།	Β
གྷེ་མ།	Γ
དེལ་ཐ།	Δ
ཨེ་ཕི་སེ་ལོན།	Ε
ཟེས་ཐ།	Ζ
ཨིས་ཐ།	Η
ཐིས་ཐ།	Θ
ཨའོ་ཐ།	Ι
ཁེ་ཕི།	Κ
ནིའུ།	Ν
ཁི་སའེ།	Ξ
ཨོ་མི་ཁི་རོན།	Ο
རོའུ།	Ρ
སིག་མ།	Σ
ཐོ།	Τ
ཡུབ་སི་ལོན།	Υ
ཁའེ།	Χ
ཕི་སའེ།	Ψ
ཀླུ་ཥིང་	サボテン
གོ་རེ་ཤིང་འབྲས།	パンノキ
སྒྲོག་སྟེང་རྐང་རྩེད་སྤོ་ལོ།	テーブル・フットボール
ཧུའུ་ཅིན་ཐོའོ།	胡錦濤
ཞིས་ཅིན་ཕིང་།	習近平
ཤ་བ་སྐེ་རིང་།	キリン
ཕོ་རོའོ་ཝང་སི་ཝལ་ཕེས་ཁོ་ཏེ་ད་ཟུར།	プロヴァンス＝アルプ＝コート・ダジュール地域圏
མཆུ།	唇
ཀོང་ཏུང་ཞིང་ཆེན།	広東省
ཀོའོང་ཤི་ཀྲོང་རིགས་རང་སྐྱོང་ལྗོངས།	広西チワン族自治区
པར་ཆས།	カメラ
སྲམ་ངང་མཆུ་ཅན།	カモノハシ
རུ་པོལ།	ルーブル
དུ་ཅིའོ།	ドゥッチョ・ディ・ブオニンセーニャ
རྩིགས་རྨིགས།	ヤモリ科
རྩངས་པ།	トカゲ
ཁ་ཏ་ཉ། (ཞིང་ཆེན།)	カターニア県
མེ་སི་ན། (ཞིང་ཆེན།)	メッシーナ県
ཕ་ལེར་མོ། (ཞིང་ཆེན།)	パレルモ県
དཔུང་པ།	肩
མི་དི་ཕི་རེ་ནེ།	ミディ＝ピレネー地域圏
ལི་ཞོའོ་ལུང་།	ブルース・リー
Template:Link FA	Template:Link FA
ཁྲིམས་དཔོན།	裁判官
ཀོང་ཀྲོའུ་གྲོང་ཁྱེར།	広州市
ཅང་རྩེ་མིན།	江沢民
ཨུ་རུམ་ཆི་གྲོང་ཁྱེར།	ウルムチ市
ཅང་སུའུ་ཞིང་ཆེན།	江蘇省
ཀྲེ་ཅང་ཞིང་ཆེན།	浙江省
ཨེཏ་ན་རི་བོ།	エトナ火山
རེ་འབྱམས་མཆུ་རིང་།	インドガビアル
ཇི་ཡོ་ཝ་ནི་བེལ་ལི་ནི།	ジョヴァンニ・ベリーニ
བོད་ཡུལ།	チベット
བོད་རང་སྐྱོང་ལྗོངས།	チベット自治区
བསྟན་འཛིན་རྒྱ་མཚོ།	ダライ・ラマ14世
ཨར་ལེ་ཀི་ནོ།	アルレッキーノ
ལག་ཐོག་ཁ་དཔར།	携帯電話
འགག་བརྡར་གྱི་སྒྲ།	破擦音
ཨོག་དཀར།	ミンク
ཁང་ཞི། (གོང་མ།)	康熙帝
བགྲེས་སོང་གི་ལོ་ཚོད།	成年
ཧོ་ནོ་ལུ་ལུ།	ホノルル
ཀོ་རི་ཡ།	朝鮮
ཀོའོ་ཤིན་ཅན།	高行健
སྤྱང་ཀི	オオカミ
ཕོང་ཡང་།	平壌
ཡེ་དེན་གྱི་ལདུམ་རའི་སྐོར།	エデンの園
༩ (གྲངས་ཀ།)	9
ཆན་ལུང་། (གོང་མ།)	乾隆帝
ཧའེ་ལུང་ཅང་ཞིང་ཆེན།	黒竜江省
ཁྱུ་དགའ།	ペリカン属
པོ་དོལ་སིག	ポドリスク
བོ་ནོ་བོ།	ボノボ
པུ་ཁ་རེ་སིད།	ブカレスト
ཨཱལ་གྷོར།	アル・ゴア
ལུའུ་བུ་ཝི་ཕོ་བྲང་།	ルーヴル美術館
ཐེམ་ཟི་གཙང་པོ།	テムズ川
ཐིས་རན།	ティラナ
བོང་བུ།	ロバ
སི་ཁྲོན་ཞིང་ཆེན།	四川省
ཡེ་ཤུའི་འཁྲུངས་སྐར།	クリスマス
ལ་ཊིན་ནས་ཆད་པའི་ཡུལ་སྐད།	ロマンス諸語
སེ་ཏེའི་ཧྥུ་འོ་པོ་སེ།	スティーブ・ジョブズ
ཧིན་རྡུ་དང་ཡོ་རོབ་ཀྱི་སྐད།	インド・ヨーロッパ語族
སྟག	トラ
ཅི་སི་ནའུ།	キシナウ
རང་བྱུང་གྲངས།	自然数
སྤྱི་ཚོགས་རིག་པ།	社会学
རྒྱལ་སྤྱིའི་སྒྲ་རྟགས།	国際音声記号
ཧའོ་པེ་ཞིང་ཆེན།	河北省
ཨོ་རི་ས།	オリッサ州
པན་ཇབ།	パンジャーブ州 (インド)
མེ་ཊི་ཛི།	メス (フランス)
རི་འཛེག་ལུས་རྩལ།	ロッククライミング
ཚྭ་མཚོའི་གྲོང་ཁྱེར།	ソルトレイクシティ
༧ (གྲངས་ཀ།)	7
༨ (གྲངས་ཀ།)	8
Jean Auguste Dominique Ingres	ドミニク・アングル
གཟའ་འཁོར།	週
ཤ་བ།	シカ
སྒོག་ལོག	ニンニク
མིའི་རིགས་དཔྱད་པའི་རིག་པ།	人類学
རྡོ་ཀུབ།	キュウリ
ཝུ་ལན་བ་ཐུར	ウランバートル
ཨ་ཧྲི་ཁ་པད།	アシガバート
དཀར་པོ།	白
ནག་པོ།	黒
ཙོང་རིལ།	タマネギ
༦ (གྲངས་ཀ།)	6
ལྡུམ་སྒོང་།	トマト
ཨ་ཊི་ལཱན་ཊཱ།	アトランタ
ཝེ་ལིང་ཐོན།	ウェリントン
ཇི་མི་ཀར་ཀྲར།	ジミー・カーター
ཝ་ལེ་ཐ།	バレッタ
༡༠ (གྲངས་ཀ།)	10
ཇོའོར་ཇེ་ཁ་ལོན་ནེ།	ジョージ・クルーニー
ཨིལ་དཨཱཨུཥ	リラ・ダウンズ
ཤ་གཟིག	チーター
ནམ་དུས།	季節
ཝན་ཁུ་ཝེར།	バンクーバー (ブリティッシュコロンビア州)
འུག་པ།	フクロウ目
ཝ་ཐི།	ワット
རྒྱལ་བ་ཐུབ་བསྟན་རྒྱ་མཚོ།	ダライ・ラマ13世
མཁས་གྲུབ་རྒྱ་མཚོ་	ダライ・ラマ11世
ཤིང་སྟག་པ།	カバノキ属
ཚུལ་ཁྲིམ་རྒྱ་མཚོ་	ダライ・ラマ10世
ལུང་རྟོགས་རྒྱ་མཚོ་	ダライ・ラマ9世
པུ་ཤུད།	ヤツガシラ
བྱམས་སྤེལ་རྒྱ་མཚོ་	ダライ・ラマ8世
ཝོལ།	ボルト (単位)
ངག་དབང་བློ་བཟང་རྒྱ་མཚོ་	ダライ・ラマ5世
ཡོན་ཏན་རྒྱ་མཚོ་	ダライ・ラマ4世
དགེ་འདུན་གྲུབ།	ダライ・ラマ1世
གནམ་གཤིས་རིག་པ།	気象学
སེ་དྲོད།	セルシウス度
ཅོལ།	ジュール
པི་རི་སི་ཊི་ན།	プリシュティナ
ཨམ་ཕེར།	アンペア
སྐྱ་ཀ།	カササギ
སྣ་མའི་མེ་ཏོག	ラン科
བསེ་སྦྲང་།	ゴキブリ
སོམ་ཤིང་།	モミ属
ཕོ་རོག	ワタリガラス
ན་གི།	センザンコウ
ཁུ་ལོམ།	クーロン
ཁུ་བྱུག	カッコウ科
རྒྱལ་མོ་རྔུལ་ཆུ།	サルウィン川
གཡག	ヤク
ལི་ཤི།	クローブ
བྱང་སྣེའི་སྐྱར་རྟ།	キョクアジサシ
གོ་སྙོད།	キャラウェイ
༄༅།། ཨོ་སེ་ལོ།	オセロ (シェイクスピア)
སྟག་ཆུ་སྲིན།	シャチ
ཁོ་ཁེ་གླིང་ཚོམ།	クック諸島
གྲུམ་བ།	アナグマ
སྐྱར་མོ།	カモメ科
མི་ཁ་ཨིལ་ཕ་ཁུ་ནིན།	ミハイル・バクーニン
ཨའི་ནུ་སྐད།	アイヌ語
ལྕ་ཚལ།	セロリ
འདམ་མྱུག	アスパラガス
ཟེ་མོ་སེར་པོ།	イタチ
གནའ་རབས་མ་ཡ།	マヤ文明
ལས་རིགས།	専門職
དྲི་ཞིམ་སོན་ཅན།	アニス
ཁང་བྱིའུ།	スズメ科
ཧན་ཧྥེ།	韓非
ཧོང་ཏི།	黄帝
མེར་ཁྲེས་ཨ་ཁྲེ་ས་རེས།	マルッティ・アハティサーリ
ཆུ་ལྷ།	スイセン属
རྒྱ་ནག	中国
ཅོ་ཀ།	ヒバリ科
ཆུ་སྲམ།	ユーラシアカワウソ
གསའ་གཟིག	ユキヒョウ
མཚོ་གཟིག	鰭脚類
སེལ་འོ་སུ་འན་གྱི་སྐད	シレジア語
ཨོ་སི་ཀར་ཝེལ་ཌེ།	オスカー・ワイルド
ཡ་རེན།	ヤレン地区
༩༣ (གྲངས་ཀ།)	93
ཡོ་ས་བུ་སོན།	与謝蕪村
མར་ཀུས།	マルコ (福音記者)
ཁུར་འཛིང་།	ボクシング
གྲི།	ナイフ
རྐྱང་ཁྲ།	シマウマ
ཁ་ཆེའི་ཆོས་ཁང་།	モスク
འབྲུག་པའི་སྐད།	ゾンカ語
ཆུ་ཤིང་	バショウ
ཡུལ་སྐད།	方言
ལི་ཡོན་ཁྲོའོ་ཚི་ཁི།	レフ・トロツキー
སུག་སྨེལ།	カルダモン
ཤུག་པ་	コノテガシワ
འགྲེམས་སྟོན་ཁང་།	博物館
སྐྲན་	癌腫
སི་མ་ཀོང་།	司馬光
དོམ་ཁྲ།	ジャイアントパンダ
བྱང་སྣེའི་དོམ་དཀར།	ホッキョクグマ
གཞུ་ཚད།	ラジアン
ལག་པ།	手
ཏུའུ་ཧྥུ།	杜甫
བལ་པོའི་སྐད།	ネパール語
པེ་ཏྲོ།	ペトロ
ལོ་མ།	葉腋
སི་ཅི་ལིའི་སྐད།	シチリア語
བལྤ་རཨིསོ	バルパライソ
གའཀ	オアハカ州
ཕུ་ན་ཕུ་ཊི།	フナフティ島
ལྷ་ཆོས་རིག་པ།	神学
པ་བུ་ལོ་ནེ་རུ་དཱ།	パブロ・ネルーダ
བརྡ སྐད	手話
ཨོ་ཀི་ན་ལྦ་སྐད།	沖縄方言
པོ་རོ་ཊི་ཨའུ་པི་རིན་སི།	ポルトープランス
བོད་ཀྱི་སྐད་ཡིག།	チベット語
ཐ་སི་མ་ནི་ཡཱ།	タスマニア州
རོལ་ཆ།	楽器
ངང་དཀར།	ハクチョウ属
མའ་མའོ་སྒྲི་ཨ་མ་སྒྲེན་ཅ་ཊི།	マフムード・アフマディーネジャード
ཧི་རོ་ཧི་ཐོ།	昭和天皇
ཆུ་རྟ།	カバ
ཁེཡོ་ཐྲོ།	京都市
ཨལ་བྷེར་ཀ་མུས།	アルベール・カミュ
རྒྱ་སེ།	バラ
ཁིང་སི་ཐོན། (ཇ་མའི་ཀ།)	キングストン (ジャマイカ)
གཟིག	ヒョウ
བསེ་རུ།	サイ
ཤིན་ཅང་ཡུ་གུར་རང་སྐྱོང་ལྗོངས།	新疆ウイグル自治区
སཱན་ཏོ་ཌོ་མིང་གོ	サントドミンゴ
Windows Phone 8	Windows Phone 8
སེ་ཡབ།	パパイア
རི་བོ་ཁ་ཕི་ཐུའོ་ཉི།	カンピドリオ
པད་ལོག	キャベツ
གཏམ་དཔེ།	ことわざ
ཨ་ངྷི་སེའུ།	オデュッセイア
ཁུ་ཝི་ཐི། (རྒྱལ་ས།)	クウェート市
ཀྲོའུ་རྒྱལ་རབས།	周
པ་རའི་པི་ཏ།	ブラッド・ピット
ཏི་ཏི་ཁ་ཁ་མཚེའུ།	チチカカ湖
ཁོ་ལུམ་པོ།	コロンボ
ཨཱལ་མ་ཊི།	アルマトイ
ཤ་བ་ནོག་ལྡན།	ヘラジカ
ཉེན་རྟོག་པ།	警察
ཧོ་ཁའི་དོ།	北海道
བཅའ་ལྒ།	ショウガ
ནོར་བྷེལ་བྱ་དགའ།	ノーベル平和賞
དངོས་པོ།	物質
ཧེག་ཐ།	ヘクタール
དགོད་བྲོ།	ユーモア
སྨུག་མ།	竹
རྒྱལ་སྤྱིའི་སྐད།	インターリングア
སུའུ་ཧྲི།	蘇軾
ཧོང་ཧྲན་རི་བོ།	黄山
ལྕང་མ།	ヤナギ
མེ་ཏོག་མེད་པའི་ཤིང་ཏོག	イチジク
པུ་རུའི་ཀྲི་ཐོན།	ブリッジタウン
རྩོམ་པ་པོ།	著作家
དབྱངས་ཡིག	母音
ཨ་པི་ཡ།	アピア
སེནཊི་ཇཱོན་སི། (ཨེན་ཊི་གུའ་དང་བར་བུ་ཌ།)	セントジョンズ
རུ་ཟོ།	ロゾー
དྲེད་མོང་།	ヒグマ
ཧན་ཉི་པ།	ハンニバル
པོ་རོ་ཊི་མོ་རེ་སི་བི།	ポートモレスビー
སྨད་འཚོང་མ།	売春
ཀྲོང་མི།	チワン族
ཨང་སན་སུའུ་ཁེའི།	アウンサンスーチー
༄༅།། ཡོ་ཧ་ནན་གྱིས་བྲིས་པའི་འཕྲིན་བཟང་བཞུགས་སོ།།	ヨハネによる福音書
ཧྥ་རན་སི་ཡི་ས་ཁུལ་།	フランスの地域圏
མཛེ་ནད།	ハンセン病
རྔོན་པ།	狩猟
གྲེང་ལུང་།	ジャッキー・チェン
༡༢ (གྲངས་ཀ།)	12
དར་ཁྱབ་ཆེ་བའི་རོལ་དབྱངས།	ポップ・ミュージック
ལྕགས་འཛེར།	釘
ཤ་ལོ་མོ།	ソロモン
ཨ་ཧྥན་ན།	アテーナー
༡༡ (གྲངས་ཀ།)	11
༡༣ (གྲངས་ཀ།)	13
དགེ་རྒན།	教員
༼ར་མ་ཡ་ན།༽	ラーマーヤナ
ཨ་པོ་ལུའོ།	アポローン
རྒྱལ་དབང་སྐུ་འཕྲེང་རིམ་བྱོན།	ダライ・ラマ
ཧྥ་རན་སི་ཨི་སི་བྷེ་ཀན།	フランシス・ベーコン (哲学者)
༡༠༠ (གྲངས་ཀ།)	100
པུས་མོ།	膝
པོལ.ཀའོ་ཀེང་།	ポール・ゴーギャン
ཧའི་གུ།	俳句
ཝེ་ལ་གྲུ་ཁ།	ポートビラ
མཚོ་འགག	水道 (地理)
ཞོག་མངར།	サツマイモ
ཡང་ཀོང་།	ヤンゴン
གསལ་བྱེད།	子音
ཀའོ་ལུའུ།	ガリア
ས་མུ་རའི།	侍
ཡོ་ཀོ་ཧ་མ།	横浜市
༡༤ (གྲངས་ཀ།)	14
ཆུ་ཀུབ།	スイカ
༡༥ (གྲངས་ཀ།)	15
༡༨ (གྲངས་ཀ།)	18
སུ་ཝ།	スバ
ནུ་ཁུ་ཨ་ལོ་ཧྥ།	ヌクアロファ
རོ་མའི་ཨང་ཀི།	ローマ数字
པེའུ་ས་མཚོད་རྟེན་གསེག་མ།	ピサの斜塔
ཕྲ་མཐོང་དཔལ་འབྱོར།	ミクロ経済学
པོ་རོ་ཊི་ཨོཕ་སི་པེ་ན།	ポートオブスペイン
ཙི་ཙི།	ハツカネズミ属
དོ་ཁྱི།	チベタン・マスティフ
ལི་ཝང།	オレンジ色
ཧེར་ཚི།	ヘルツ
ལག་ཆ།	道具
སྨན་པ།	医師
ཆེ་མཐོང་དཔལ་འབྱོར།	マクロ経済学
ལའོ་ཨག	ラオアグ
༡༩ (གྲངས་ཀ།)	19
༄༅།། ལུ་ཀཱ་ཡིས་བྲིས་པའི་འཕྲིན་བཟང་བཞུགས་སོ།།	ルカによる福音書
ཨ་ཇཀ་སིའོ།	アジャクシオ
༡༧ (གྲངས་ཀ།)	17
ཆུ་སྲིན་ལག་བརྒྱད།	タコ
ཧོ་སྦར་ཐེ།	ホバート
མ་ལ་སུང་རྒྱུགས་འགྲན།	マラソン
༡༦ (གྲངས་ཀ།)	16
༢༠ (གྲངས་ཀ།)	20
Radio Free Asia	ラジオ・フリー・アジア
སི་པི་རིང་ཧྥིལ་ཌི། (ཨོ་ཧེའོ།)	スプリングフィールド (オハイオ州)
ཁྲིམས་རྩོད་པ།	弁護士
སུ་མོ་སྦེ་ག	相撲
འཐབ་རྒྱུག་རིམ།	対流圏
ནཱན་སི།	ナンシー
ཧོ་ཉི་ཡ་ར།	ホニアラ
སྨོན་ལམ།	祈り
ཨན་ཧུའེ་ཞིང་ཆེན།	安徽省
མཚོ་གླང་།	セイウチ
སྤྲ།	オランウータン
དཔྲལ་བ།	額
ནང་སོག་རང་སྐྱོང་ལྗོངས།	内モンゴル自治区
ཤོ་ཏོ་ཀན་ཁ་ར་ཏེ།	松濤館流
གི་ཆིན་ཧྥུ་ན་ཀོ་ཤི།	船越義珍
ཐང་ཆེན་དམར་པོ།	赤の広場
ཧེ་རཱ་ཁི་ལེ་ཁྲི་ཟི།	ヘラクレイトス
ཟླ་ཆུ།	メコン川
པིན་ཆེན་ཆུ་ཚོད།	ビッグ・ベン
པ་སི་ཐེར།	バセテール
དུས་དེབ།	雑誌
དཱ་བིད། (གསུང་རབ།)	ダビデ
ཁིན་སི་ཐོན།	キングスタウン
རྩ་བ།	根
ཞུ་མཁན།	ビワ
མོལ།	モル
སན་ཐ་ཇོར་ཇི། (གི་རི་ན་ཌ།)	セントジョージズ
༄༅།། ཧམ་ལེ་ཐྲི།	ハムレット
ཉི་གདུགས་	傘
འུ་སུ།	コリアンダー
ལིའུ་ཞ་པོ།	劉暁波
དྲེལ།	ラバ
ཁ་སི་ཐྲིས།	カストリーズ
ཧྥུའུ་ཅན་ཞིང་ཆེན།	福建省
བྱི་ལ་དོམ་ཆུང་།	レッサーパンダ
སོག་པོ།	モンゴル系民族
ཞོན་ཙང་།	玄奘三蔵
ཧའེ་ནན་ཞིང་ཆེན།	海南省
ཨིལ་ཁས་ར་ཝ་ཇིའོ།	ミケランジェロ・メリージ・ダ・カラヴァッジオ
གཡའ་ཤིང་།	カエデ
༤༠ (གྲངས་ཀ།)	40
ཀན་སུའུ་ཞིང་ཆེན།	甘粛省
དབྱིན་ཇིའི་མི།	イングランド人
སྦེ་ག	レスリング
གྲུ་མོ།	肘
ཆོས་དཔོན།	司祭
རི་ཞི།	ベンガルヤマネコ
ཝུའུ་ཞི།	無錫市
མ་ཧེ།	スイギュウ
རྒྱ་མི།	漢民族
༣༠ (གྲངས་ཀ།)	30
ཤོག་བྱ།	凧
བདེ་བར་གཤེགས་པའི་གནས།	涅槃
ཐོ་ཕུ་རིག་པ།	位相幾何学
པགས་གཙགས་རི་མོ།	入れ墨
ཌེ་སི་མོན་ཌི་ཏུ་ཏུ།	デズモンド・ムピロ・ツツ
ཙན་པི་ཞི་གཙང་པོ།	ザンベジ川
ཨའི་ཁི་དོ།	合気道
ཝེ་ཁེ་རིག་མཛོད་ནང་འཕྲད་སྲིད་པའི་དཀའ་རྙོག་སེལ་ཐབས།	Wikipedia:FAQ
ཨེ་ར་ཐོ་སི་ཐེ་ནེ་སི།	エラトステネス
ཡུན་ནན་ཞིང་ཆེན།	雲南省
ས་ངོས་སྙོམས་ཐིག	地平線
མོའོ་ཀའོ་བྲག་ཕུག	莫高窟
པོམ་པེ་ཡི།	ポンペイ
དམངས་ཁྲོད་རོལ་དབྱངས།	民族音楽
སྐྱེས་ཆེན་དམ་པ་ཨན་དྲི་ཡཱ།	アンデレ
ཧྲན་ཏུང་ཞིང་ཆེན།	山東省
འདོད་ཆགས་ཀྱི་མནར་གཅོད་བཏང་བ།	性的虐待
རྟ་བླ།	ムカデ
མིའི་རིགས་རྒྱུད་རིག་པ།	民族学
སྦྲོ་སྦྲོ།	ドードー
སྐྱེས་ཆེན་དམ་པ་མད་ཐཱ།	マタイ
རང་བྱུང་ཁོར་ཡུག	自然環境
རྐང་ཤུབས།	靴下
ཧའོ་ནན་ཞིང་ཆེན།	河南省
མིག་གི་རྫི་མ།	眉毛
ལའུ་ཉིང་ཞིང་ཆེན།	遼寧省
ཧ་མའེ་སྒྲི་ཁར་སའེ།	ハーミド・カルザイ
མས་ཋ་ཀ་རོའེ་ནིང་།	マット・グレイニング
ཡ་ཀོབ་ནི་ཟེ་བད་ཡཱ་ཞེས་བྱ་བའིབུ།	ヤコブ (ゼベダイの子)
ལྗེས་ཧ་སྒྲིའམ།	ジハード
ཕ་སི་ཁལ།	パスカル
ལྷ་དབང་ཆབ་སྲིད་ལམ་ལུགས།	神権政治
སྐྲག་པ།	恐怖
ཐར་ཤི་ཤ།	タルシシュ
ཡེ་སེ།	エッサイ
གཤིན་རྗེ།	閻魔
སིད་ནེ་ཟློས་གར་ཁང་།	シドニー・オペラハウス
ཅི་ལིན་ཞིང་ཆེན།	吉林省
ཡར་ཀླུང་གཙང་པོ་	ブラマプトラ川
གཡུང་དྲུང་།	卍
པ་ར་མི་ཏ།	パラミツ
ཧུའུ་ནན་ཞིང་ཆེན།	湖南省
མཚོ་སྔོན་ཞིང་ཆེན།	青海省
ཡུལ་གོར་མི།	ウイグル
ཧྲོའུ་སི།	寿司
ཨུ་སའེ་ལི་སི།	オシリス
རང་དབང་ཁྲོམ་ར་	自由市場
ཝང་གྷ་རི་མཱ་ཐཱི།	ワンガリ・マータイ
སོར་གདུབ།	指輪
ཧུའུ་པེ་ཞིང་ཆེན།	湖北省
ཧྲན་ཞི་ཞིང་ཆེན།	山西省
མཁུར་ཆོས།	頬
ཨོ་མུ།	オーム
བཙན་གཡེམ།	強姦
ཀུད་ཀྲོའུ་ཞིང་ཆེན།	貴州省
ཕེ་ཐིར་ནེའུ་སི།	ペトロニウス
འཁྲུངས་སྐར།	誕生日
ཨེག་སི་-ཨེན་-ཕོ་རོའོ་ཝང་སི།	エクス＝アン＝プロヴァンス
ཨ་མའི་དུས་ཆེན།	母の日
གྲོག་ཆུ།	渓流
ཨན་ནུའུ་པེ་སི།	アヌビス
ཌི་ཛི་ཨ་ནོ་ཝ་ཅེ་ལི་ཡོ།	ティツィアーノ・ヴェチェッリオ
ལྷ་མོ་ཝེ་ནུ་སི།	ウェヌス
ལྦུ་སིམ་ཁུ་ནག	ペプシコーラ
མེ་ཚལ་ལྗང་ཁུ།	ブロッコリー
ཀྲོའང་ཙེ།	荘子
རྩ་འཁུམ་ནད།	破傷風
རྒྱལ་ཡུམ་ཚི་ཞི།	西太后
ཧྲའན་ཞི་ཞིང་ཆེན།	陝西省
༢༣ (གྲངས་ཀ།)	23
སློབ་ཕྲུག་	在籍者 (学習者)
མ་ལིའུ་ཅ་མཚོ་འགག	マラッカ海峡
ཐེག་པ་ཆེན་པོ།	大乗仏教
མེ་ཀྲི་ལོན་མཚོ་འགག	マゼラン海峡
ལུའོ་སའེ་རྡོ་རིང་།	ロゼッタ・ストーン
སན་པི་ཏི་པོག (ཧྥོ་ལོ་རི་ཌ།)	セントピーターズバーグ (フロリダ州)
མིང་ལྡོག	愛称
འཁྱོག་མདའ།	クランクシャフト
སྙན་ངག་མཁན།	詩人
ཅི་ཅོ་ལི་ན།	シュターッレル・イロナ
ཨི་ཏ་ལིའི་མི།	イタリア人
ཀེའུ།	チャイブ
ཁ་འབུད།	ハーモニカ
གླང་དམར།	レッドブル
འགག་སྒྲ།	破裂音
ཨན་ན་ཐོའོ་ལི་ཡ།	アナトリア半島
ཨ་རོན།	アロン
ཆེང་མྰེ།	テーサバーンナコーン・チエンマイ
Template:Taxobox	Template:生物分類表
ཧར་རྗེར།	エルジェ
Category:རྒྱལ་སྲིད།	Category:君主制
Category:བརྩེ་དུང་།	Category:愛
Category:ཕོ་ལན་གྱི་ཙུང་ཐུང་།	Category:ポーランドの大統領
ལུ་མེ་ཨེར་གཅེན་གཅུང་།	リュミエール兄弟
ཅང་ཤིའི་ཞིང་ཆེན།	江西省
སྡེར་མ།	皿
ཉིང་ཤ་ཧུའི་རིགས་རང་སྐྱོང་ལྗོངས།	寧夏回族自治区
འབྲུག་གྲུ།	ドラゴンボート
ཡྰང་ཀྲོའུ།	揚州市
ཀྲེན་ཅང་།	鎮江市
ཨ་མོན།	アメン
སྣོལ་རྒྱུ་གློག་འདོན་འཕྲུལ།	オルタネーター
མི་ལ་རས་པ་	ミラレパ
ཕག་རྒོད།	イノシシ
འཁོར་གཡུགས་གཙོག་སྐྱོན།	公害
