អាហ្វ្រិក	アフリカ
ទក្សិណ ជិនវ័ត្រ	タクシン・チナワット
ប្រធាន	主語
អ៊ែង​ហ្គ្រី បឺដ	Angry Birds
អ៊ីពែបូល	双曲線
វិសមភាពស្វ័យគុណ	不等式
ប៊ិច	ペン
ចេក​	プランテン
XHTML	Extensible HyperText Markup Language
គ្រោះទុរ្ភិក្ស	飢饉
អរិយសច្ច៤	四諦
ស្តាទិច	静力学
ខេត្តណាហ្គាសាគី	長崎県
វិគីភីឌាភាសាស្វីស	スウェーデン語版ウィキペディア
ភ្លើងឆេះព្រៃ	山火事
ទ្រឹស្តីបទស៊ីនុស	正弦定理
ច្បាប់ហ៊ូក	フックの法則
ក្រុមបាល់ទាត់ជម្រើសជាតិ ជប៉ុន	サッカー日本代表
រោគឈឺចាប់ក្នុងសន្លាក់ឆ្អឹង	関節炎
ប្លុកហ្គឺ (Blogger)	Blogger
ធម្មនុញ្ញនៃអង្គការសហប្រជាជាតិ	国際連合憲章
Boeing AH-64 Apache	AH-64 アパッチ
រោគហើមសួត	気管支炎
អេមីល្យូ ហ្គីណូ សេហ្គ្រែ	エミリオ・セグレ
Sukhoi Su-27	Su-27 (航空機)
ម៉ាស៊ីនត្រជាក់	空気調和
កាំ	半径
អភិសិទ្ធិ វេជ្ជាជីវៈ	アピシット・ウェーチャチーワ
HAL Tejas	テジャス (航空機)
លីមីត	極限
អ៊ីដ្រូស្តាទិច	流体静力学
វិគីភីឌាភាសាជប៉ុន	ウィキペディア日本語版
គោលនយោបាយរូបិយវត្ថុ	金融政策
យានដឹកជញ្ជូនសាធារណៈ	公共交通機関
ការសំភាសន៏	インタビュー
ពាណិជ្ជកម្មអន្តរជាតិ	貿易
ចក្រភពអាណានិគមបារាំង	フランス植民地帝国
ពន្ធលើប្រាក់ចំណូល	所得税
HTML tag	HTML要素
រូបចំលាក់	塑像
នាឡិកាខ្សាច់	砂時計
ពុយមីស	軽石
FM	周波数変調
សង្គមស៊ីវិល	市民社会
សមុទ្របូហៃ	渤海 (海域)
ការិយាល័យ	オフィス
ការបង្រៀនដែនដីបរិសុទ្ធ	Eラーニング
ម៉ែត្រក្នុងមួយវិនាទី	メートル毎秒
រូបមន្តហេរុង	ヘロンの公式
ទន្សោង	バンテン
វីតាមីន B	ビタミンB群
គណៈកម្មាធិការជាតិអូឡាំពិក	国内オリンピック委員会
ប៉មតូក្យូ	東京タワー
ទិវាទឹកអន្តរជាតិ	世界水の日
រូបមន្តអយល័រ	オイラーの公式
ស៊ីយ៉ាញួរ	シアン化物
អរិយដ្ឋង្គិកមគ្គ	八正道
សហភាពឥណ្ឌូចិន	フランス領インドシナ
ចន្ទគតិ	太陰暦
សំទុះមុំ	角加速度
អាស៊ីហ្គេមឆ្នាំ១៩៧០	1970年アジア競技大会
គោលនយោបាយសារពើពន្ធ	財政政策
ឡាហ្គូន	ラグーン
អប់សិន (ហិរញ្ញវត្ថុ)	オプション取引
អង្កត់ធ្នូ	弦 (数学)
អាយុសង្ឃឹម	平均余命
ខុទ្ទកាល័យ	取締役会
សីដក់	セパタクロー
ធនាគារអភិវឌ្ឍន៍អាស៊ី	アジア開発銀行
បញ្ជីរដ្ឋមានអាវុធនុយក្លេអ៊ែរ	核保有国の一覧
ទីផ្សារអ៊ីធើណែត	インターネットマーケティング
សៀវភៅ	ジャングル・ブック (小説)
បារីអេឡិចត្រូនិច	電子たばこ
Eagles (ក្រុមភ្លេង)	イーグルス
កំណើនសេដ្ឋកិច្ច	経済成長
យន្តសាស្រ្តរថយន្ត	自動車産業
អាឌាម លេមបឺត	アダム・ランバート
រូបមន្តដឺម័រ	ド・モアブルの定理
អនុគមន៍ហ្គាំម៉ា	ガンマ関数
ច្បាប់ប៉ាស្កាល់	パスカルの原理
សញ្ញាជាតិបង់ក្លាដែស្ស	バングラデシュの国章
នាង​សីតា	シーター
សូរ (​ភាសាសាស្ត្រ​)	声調
ខ្មែរក្រហម	クメール・ルージュ
ម៉ូឌុល​យ៉ាំង	弾性率
យុន ជីមិ-ហូ	尹致昊
កែវម៉ាស៊ីនថត	写真レンズ
ទីភ្នាក់ងារសារព័ត៌មាន	通信社
ថេរហ្វារ៉ាដេយ	ファラデー定数
ប្រវត្តិអ៊ីនធើណេត	インターネットの歴史
សមភាពគួរកត់សំគាល់	二項式
ខូប្រា	コプラ
ទ្រឹស្តីបទមេនេឡូស	メネラウスの定理
អត្ថបទ(ប្រើបា្រស់ភាសា)	コンテクスト
ជូគ័រលាង	諸葛亮
បំលែងឡាប្លាស	ラプラス変換
សញ្ញាជាតិតួរគី	トルコの国章
បឹងទន្លេសាប	トンレサップ
Dassault Mirage 2000	ミラージュ2000 (戦闘機)
ចំនួនអវិជ្ជមាន	正の数と負の数
វិសុទ្ធិមគ្គ	清浄道論
សញ្ញាជាតិវៀតណាម	ベトナムの国章
ខ្មែរ (ជនជាតិ)	クメール人
សញ្ញាជាតិកូរ៉េខាងត្បូង	大韓民国の国章
សញ្ញាជាតិឡាវ	ラオスの国章
សញ្ញាជាតិប៉ាគីស្ថាន	パキスタンの国章
Tigranes the Great	ティグラネス2世
អាណាចក្រខ្មែរ	クメール王朝
ត្រីពណ៌	三色旗
សញ្ញាជាតិប៊្រុយណេ	ブルネイの国章
រង្វង់ត្រីកោណមាត្រ	単位円
ចំរៀករង្វង់	扇形
អនុគមន៍ដឺក្រេទី៣	三次関数
អនុគមន៍អ៊ីពែបូលីក	双曲線関数
ឆាវ ឆាវ	曹操
Sukhoi Su-30	Su-30 (航空機)
កម្មវិធីស្បៀងអាហារពិភពលោក	国際連合世界食糧計画
រៀល	リエル
សមុទ្រស្ទើរបិទ	縁海
ច្រកសិង្ហបុរី	シンガポール海峡
វិគីភីឌាភាសារុស្ស៊ី	ロシア語版ウィキペディア
សញ្ញាជាតិអូម៉ង់	オマーンの国章
ភាសាកម្មវិធី Lua	Lua
សញ្ញាជាតិប៊ូតាន	ブータンの国章
ភ្លេងជាតិថៃ	タイの国歌
ព្រះរតនត្រ័យ	三宝
អាហារនៅប្រទេសម៉ិចស៊ិក	メキシコ料理
ច្រកឡាប៉េរូស	宗谷海峡
ខ្នាតកំលាយនៅក្នុងប្រព័ន្ធខ្នាតអន្តរជាតិ	SI組立単位
ផ្សារហិរញ្ញវត្ថុ	金融市場
ញ៉ែ	コケットリー
ព្រះឆាយាល័ក្ខកម្ពុជា	カンボジアの国章
ខ្សែទឹកអាត្លង់ទិកខាងជើង	北大西洋海流
ប្រវត្តិសាស្ត្រវៀតណាម	ベトナムの歴史
ខ្សែទឹកខាណារី	カナリア海流
ទ្រឹស្តីបទឆិវ៉ា	チェバの定理
LinkedIn	LinkedIn
ព្រះត្រៃបិដក	パーリ語経典
បុណ្យវិសាខបូជា	ウェーサーカ祭
ទីក្រុងព្រែកឫស្សី	カントー
ជនជាតិចាម	チャンパ王国
រីស្ស៉ាត កាពុសស៊ីនស្គី	リシャルト・カプシチンスキ
ស៊ាន ឃីងស្តន	ショーン・キングストン
កងទ័ពជើងទឹកបារាំង	フランス海軍
ពហុកីឡាដ្ឋានសុផាចាឡាសៃ	スパチャラサイ国立競技場
អនុគមន៍បេសែ្សល	ベッセル関数
លោក អាប់ឌូ ឌីអោហ្វ	アブドゥ・ディウフ
វិធីហ្វៃណៃថ៍អ៊េលម៉ិន	有限要素法
ច្បាប់អគ្គីសនីវិភាគរបស់ហ្វារ៉ាដេយ	ファラデーの電気分解の法則
ខេត្តព្រះសីហនុ	シアヌークビル
មានប្រ	アングン
និកាយនៃព្រះពុទ្ធសាសនា	宗派
ដុនបូស្កូសាឡេស៊ាន្ត	サレジオ会
ខ្នាតគោលនៅក្នុងប្រព័ន្ធខ្នាតអន្តរជាតិ	SI基本単位
អង្គរធំ	アンコール・トム
Kara	カラ
១៤១	141
ព្រះបាទសុទ្ធោទន	浄飯王
វិទ្យុសម្លេងសហរដ្ឋអាមេរិក	ボイス・オブ・アメリカ
ជេឃ្វីរី	JQuery
ទិវាពិភពលោកគ្មានថ្នាំជក់	世界禁煙デー
គម្ពីរបញ្ចតន្ត្រ	パンチャタントラ
មេដ្យាន	中線
ផ្លាយ អាស់	フライアッシュ
T-80	T-80
សញ្ញាជាតិកាតារ	カタールの国章
ភាសាចាម	チャム語
សត្វព្រៃ	野生動物
មីហ៊្គោ	MeeGo
វិភាគចិត្តវិទ្យា	分析心理学
លីវ ប៉ី	劉備
ម៉ាត្សឹស៊ីតា ខូណុស្កិ	松下幸之助
សង្គ្រាមគ្រីមៀ	クリミア戦争
ក្ងោកបៃតង	マクジャク
Pinterest	Pinterest
អាស៊ីហ្គេមឆ្នាំ១៩៦២	1962年アジア競技大会
អៀង ធីរិទ្ធ	イエン・チリト
ភ្នំសេមេរូ	スメル山
កោះសមុយ	サムイ島
ថវិការដ្ឋាភិបាល	官庁会計
អាំងតេក្រាលដោយផ្នែក	部分積分
ផ្សោតក្បាលត្រឡោក	カワゴンドウ
Near Field Communication	近距離無線通信
ខៀវ ពណ្ណារី	キュー・ポナリー
ហិរញ្ញវត្ថុសាធារណៈ	財政
សាលាសំណាក់	パビリオン
ខ្សែទឹកកាលីហ្វរនៀ	カリフォルニア海流
រូបមន្តអយល័រ-ម៉ាក្លូរីន	オイラーの和公式
១៤៨	148
នគរឆាវ	曹 (春秋)
AIDC F-CK-1 Ching-kuo	F-CK-1 (航空機)
OSM	OSM
ខេត្តសាឡៈវ៉ាន់	サーラワン県
ប្រាសាទមេបុណ្យខាងកើត	東メボン
ទិន្នន័យបើកចំហ	オープンデータ
ទិន ហ្វី	周星馳
ហាំង ង៉ោ	ハイン・S・ニョール
ព្រះបាទសូរ្យវរ្ម័នទី២	スーリヤヴァルマン2世
ហ្គោស ចុកតុង	ゴー・チョクトン
ហិនរី វីលសុន	ヘンリー・ウィルソン
ហុងដា សូអ៊ិជិរ៉ូ	本田宗一郎
ស៊ុន ឈាន	孫権
ឆាវ ភី	曹丕
ម៉ាស៊ីនថតវីឌីអូ	ビデオカメラ
សមុទ្រកូរ៉ូ	コロ海
ពិម្ពិសារ	ビンビサーラ
ដូមីនិក សាវីយ៉ូ	ドミニコ・サヴィオ
ក្រុមបាល់ទាត់ជម្រើសជាតិកម្ពុជា	サッカーカンボジア代表
Seo Jae-pil	徐載弼
ព្រះសារីបុត្រ	舎利弗
ទ្រឹស្តីបទគ្រីន	グリーンの定理
ប្រាសាទអូសាកា	大坂城
ការប្រើប្រាស់ភាសា	応用言語学
គោព្រៃ	コープレイ
VCD	ビデオCD
ថ្ងៃបាស់ស្ទីល	パリ祭
កម្ពុជាប្រជាធិបតេយ្យ	民主カンプチア
សាលាក្ដីខ្មែរក្រហម	カンボジア特別法廷
ស៊ុនធិ បុណ្យ រ័តក្លិន	ソンティ・ブンヤラットカリン
ខេត្តផុងសាលី	ポンサーリー県
ខេត្តបកែវ	ボーケーオ県
ខេត្តចំប៉ាសក្តិ	チャンパーサック県
ព្រះបាទជ័យវរ្ម័នទី៧	ジャヤーヴァルマン7世
កស្សបៈ	大迦葉
កាំង ហ្កិច អ៊ាវ	カン・ケク・イウ
វិសមភាពរវាងមធ្យម	不平等
ស៊ឺ ម៉ាអ៉ី	司馬懿
ចំនុចហ្គែរហ្គោន	内接円
ប្រវត្តិសាស្រ្តនៃរូបថត	写真史
ឋានន្តរសក្ដិរាជវង្សនិងអភិជន	爵位
ក្រុមហ៊ុនអាកាសចរណ៍ជាតិ កម្ពុជាអង្គរអ៊ែរ	カンボジア・アンコール航空
មហាបរិនិព្វានសូត្រ	大般涅槃経 (上座部)
ហេង សំរិន	ヘン・サムリン
ខៀវ សំផន	キュー・サムファン
ជេកខប រីស	ジェイコブ・リース
ព្យែរ វ៉ារីញ៉ុង	ピエール・ヴァリニョン
នួន ជា	ヌオン・チア
អៀង សារី	イエン・サリ
អជាតសត្តុ	アジャータシャトル
បន្ទាត់អយល័រ	オイラー線
ប្រវត្តិសាស្ត្រថៃ	タイの歴史
បុណ្យសែនព្រះខែ	月見
មហាមោគ្គលាន	目連
ប្រេម ទីនសូឡានុន្ទ	プレーム・ティンスーラーノン
គុណកិរិយា	副詞
ឌីណាមិក HTML	ダイナミックHTML
នូហាក់ ភូមសៈវ៉ាន់	ヌーハック・プームサワン
កុំផ្លិចឆ្លាស់	複素共役
ប្រវត្តិសាស្ត្រលាវ	ラオスの歴史
ព្រះបរមរាជវាំង	王宮 (プノンペン)
ប្រាសាទតាកែវ	タ・ケウ
សម្ដេចប៉ាបហ្វ្រង់សូ័រ	フランシスコ (ローマ教皇)
ទ្រឹស្តីបទតូលេមី	トレミーの定理
Regional Internet registry	地域インターネットレジストリ
ខ្វែងជ័យបុរី	サイニャブーリー県
ខ្វែងជើងខ្វែង	シエンクワーン県
ខេត្តឧត្តមជ័យ	ウドムサイ県
ខេត្តកោះកុង	ココン州
ខេត្តកណ្ដាល	カンダル州
ម៉ារី ដូមីនិក ម៉ាសារីលូ	マリア・マザレロ
ព្រះនាងយសោធរា	耶輸陀羅
អនុគមន៍បែតា	ベータ関数
ទ្រឹស្តីបទតង់សង់	正接定理
លិង្គ	リンガ (シンボル)
ឌិត ប្រន	ディス・プラン
មធ្យមនព្វន្ធ-ធរណីមាត្រ	算術幾何平均
កូម៌ៈ	クールマ
អាស៊ីហ្គេមឆ្នាំ១៩៧៤	1974年アジア競技大会
អាកាសយានដ្ឋានអន្តរជាតិតានសូនណាត្ត	タンソンニャット国際空港
KAI T-50 Golden Eagle	T-50 (航空機)
ឧបទ្វីបកូរ៉េ	朝鮮半島
វីគីប្រជុំ	ウィキマニア
អាស៊ីហ្គេម	アジア競技大会
ទង់ជាតិសិង្ហបុរី	シンガポールの国旗
បង្អួចឆ្នាំ 2000	Microsoft Windows 2000
តារាងអាំងតេក្រាលនៃអនុគមន៍សនិទាន	有理関数の原始関数の一覧
តារាងអាំងតេក្រាលនៃអនុគមន៍អ៊ីពែបូលីក	双曲線関数の原始関数の一覧
សមីការដឺក្រេទី១	一次方程式
តារាងអាំងតេក្រាលនៃអនុគមន៍ច្រាស់អ៊ីពែបូលីក	逆双曲線関数の原始関数の一覧
សញ្ញាជាតិអាហ្វហ្គានីស្ថាន	アフガニスタンの国章
E-commerce	電子商取引
Sukhoi Superjet 100	スホーイ・スーパージェット100
អ្នក​មាន​ជាង​គេ​លើ​ពិភពលោក	世界長者番付
គណកម្មាធិការអូឡាំពិកកូរ៉េ	大韓体育会
កីឡាអាស៊ីខាងកើតឆ្នាំ១៩៩៧	1997年東アジア競技大会
ច្រកខាន់ម៉ុង	関門海峡
ផ្លាកសញ្ញាចរាចរណ៍នៅកូរ៉េខាងត្បូង	韓国の道路標識
អាស៊ីហ្គេមឆ្នាំ២០០២	2002年アジア競技大会
T-ARA	T-ARA
អាស៊ីហ្គេមឆ្នាំ១៩៨៦	1986年アジア競技大会
អាណាស្រុកម៉ូបាល (អាល់ឡាបាម៉ា)	モービル郡 (アラバマ州)
កូរ៉េ	大韓民国の教育
បារខែម	BarCamp
ដើមត្នោត	オウギヤシ
ខេត្តកំពង់ធំ	コンポントム州
ខេត្តព្រះវិហារ	プレアヴィヒア州
ខេត្ត ហួ ផាន់	フアパン県
ខ្វែងអាចម៍ក្រពើ	アッタプー県
បញ្ជីទីក្រុងនិងទីប្រជុំជននៅកម្ពុជា	カンボジアの都市の一覧
ខេត្តខាំមួន	カムムアン県
ខេត្តប៉ៃលិន	パイリン
ឆាយាលក្សសារព័ត៌មាន	報道写真
ស៊ីសុវត្ថិ មុនីវង្ស	シソワット・モニヴォン
អង្គឌួង	アン・ドゥオン
រូបមន្តប្រេឆ្នៃដឺ	ブレートシュナイダーの公式
ក្រុមបាល់ទាត់ជម្រើសជាតិ កូរ៉េខាងត្បូង	サッカー大韓民国代表
សុញ្ញតា	空 (仏教)
គោលនយោបាយសាធារណៈ	公共政策
Xian MA60	MA60 (航空機)
ប្រមា	マレーヤマアラシ
នរោត្តម	ノロドム
ព្រះបាទយសោវរ្ម័នទី១	ヤショヴァルマン1世
Chengdu J-20	J-20 (戦闘機)
ស៊ីឡាត	シラット
ទ្រឹស្តីបទវ្យែត	根と係数の関係
ប្រាសាទភ្នំបាខែង	プノン・バケン寺院
តារាងអាំងតេក្រាលនៃអនុគមន៍អិចស្ប៉ូណង់ស្យែល	指数関数の原始関数の一覧
តារាងអាំងតេក្រាលនៃអនុគមន៍អសនិទាន	無理関数の原始関数の一覧
តារាងអាំងតេក្រាលនៃអនុគមន៍លោការីត	対数関数の原始関数の一覧
អាំងតេក្រាលហ្វ្រេនែល	フレネル積分
គោលនយោបាយសេដ្ឋកិច្ច	経済政策
ប្រាសាទភិមានអាកាស	ピミアナカス
Baskin​-Robbins បាន	バスキン・ロビンス
ទិវាសេរីភាពសារព័ត៌មានពិភពលោក	世界報道自由デー
ប្រាសាទតាព្រហ្ម	タ・プローム
អាជ្ញាធរអន្តរកាលសហប្រជាជាតិនៅកម្ពុជា	国際連合カンボジア暫定統治機構
ប្រាសាទធម្មនន្ទ	トマノン
អាំងតេក្រាលផ្ទៃ	面積分
ប្រាសាទមេបុណ្យខាងលិច	西メボン
ប្រាសាទបន្ទាយក្តី	バンテアイ・クデイ
ប្រាសាទបន្ទាយសំរែ	バンテアイ・サムレ
រួបថតនៅក្នុងសង្គ្រាម	戦争写真
មជ្ឈិមនិកាយ	中部 (パーリ)
ស្រះស្រង់	スラ・スラン
ខេត្តតាកែវ	タケオ州
បជាបតិគោតមី	摩訶波闍波提
លានស្តេចគំលង់	ライ王のテラス
ខេត្តហ៊ីរ៉ូស៊ីម៉ា	広島県
បន្ទប់រៀន	教室
ជំរំជនភៀសខ្លួន	難民キャンプ
ទីភ្នាក់ងារសហប្រតិបត្តការអន្តរជាតិកូរ៉េ	韓国国際協力団
ខេត្តឧត្ដរមានជ័យ	ウドンメンチェイ州
ប្រភេទស្រាទំពាំងបាយជូរពីប្រទេសបារាំង	フランスワイン
អុក	マークルック
បទនគររាជ	王国 (国歌)
សង្គ្រាមកម្ពុជា-វៀតណាម	カンボジア・ベトナム戦争
អនុគមន៍អ៊ីពែបូលីកច្រាស់	逆双曲線関数
១៥០	150
ISO 3166-2:KH	ISO 3166-2:KH
ទ្រឹស្តីបទពីក	ピックの定理
ខេត្តសៀមរាប	シェムリアップ州
ខេត្តមណ្ឌលគិរី	モンドルキリ州
ខេត្តកំពង់ស្ពឺ	コンポンスプー州
ប្រាសាទបាយ័ន	バイヨン
អុនសេន	温泉
ឧត្តមស្នងការអង្គការសហប្រជាជាតិទទួលបន្ទុកសិទ្ធិមនុស្ស	国際連合人権高等弁務官事務所
សម រង្ស៊ី	サム・ランシー
ត្រីតុកកែជ្រូក	サラサハタ
ជាតក	ジャータカ
ក្រុងហាកុណិ (ខេត្តកាណាហ្គាវ៉ា)	箱根町
អនុគមន៍ត្រីកោណមាត្រច្រាស់	逆三角関数
ប្រវត្តិសាស្ត្រខ្មែរ	カンボジアの歴史
ម៉ាជូ ពីជូ	マチュ・ピチュ
ខ្សែទឹកប្រេស៊ីល	ブラジル海流
ក្រុមអសនិក (អាកាសចរណ៍)	飛行隊
Pilatus PC-7	ピラタス PC-7
អម្ពបាលី	アンバパーリー
ត្រកៀតប៉ោង	ホテイアオイ
ជ្រោយណុតុ	能登半島
១៣៨	138
គីឡូម៉ែត្រការ៉េ	平方キロメートル
ចេននី រីវឺរ៉ា	ジェニー・リヴェラ
ពហុកោណនិយ័ត	正多角形
ប្រទេសនៅអាស៊ី	アジアの主権国家及び属領の一覧
១៤៤	144
រលួស	デイゴ
១៤០	140
១៤៣	143
១៤៧	147
១៤៦	146
១៤៩	149
១៤២	142
១៣៩	139
១៤៥	145
ប្រទេសមួយ ប្រព័ន្ធពីរ	一国二制度
ត្រកៀត	ミズアオイ科
បណ្តាញផ្លូវហាយវេអាស៊ី	アジアハイウェイ
អាស៊ីហ្គេមឆ្នាំ១៩៥៤	1954年アジア競技大会
អាស៊ីហ្គេមឆ្នាំ១៩៥៨	1958年アジア競技大会
អាស៊ីហ្គេមឆ្នាំ១៩៦៦	1966年アジア競技大会
អាស៊ីហ្គេមឆ្នាំ១៩៧៨	1978年アジア競技大会
អាស៊ីហ្គេមឆ្នាំ១៩៨២	1982年アジア競技大会
អាស៊ីហ្គេមឆ្នាំ១៩៩០	1990年アジア競技大会
អាស៊ីហ្គេមឆ្នាំ១៩៩៤	1994年アジア競技大会
អាស៊ីហ្គេមឆ្នាំ១៩៩៨	1998年アジア競技大会
Hongdu JL-8	JL-8 (航空機)
ច្រកចូហរ	ジョホール海峡
នគរលូ	魯
ត្រីរាជ	メコンオオナマズ
ទ្រឹស្តីបទស្តេអាត	スチュワートの定理
Yeghishe Charents	イェギシェ・チャレンツ
CAC/PAC JF-17 Thunder	FC-1 (航空機)
ខេត្តរតនគិរី	ラタナキリ州
បញ្ចក្ខន្ធ	五蘊
Gloomy Sunday	暗い日曜日
ខេត្តហ្លួងព្រះបាង	ルアンパバーン県
ខេត្តកំពត	カンポット州
សង្គ្រាមឥណ្ឌូចិនលើកទី១	第一次インドシナ戦争
ខេត្តស្វាយរៀង	スヴァイリエン州
សង្គាយនា	結集
ISO 9362	ISO 9362
ប៉ាកាយ៉ា	パカヤ
ខ្លែងប្រម៉ង់	モモアカヒメハヤブサ
ទិវាអក្ខរកម្មអន្តរជាតិ	国際識字デー
ទ្រឹស្ដីបទការ៉េទាំង៤របស់ឡាហ្គ្រង់	四平方定理
សុត្តន្តបិដក	経蔵
ខេត្តអូគីណាវ៉ា	沖縄県
លានជល់ដំរី	象のテラス
មឹង អ៊ី	蒙毅
គណបក្សប្រជាជនកម្ពុជា	カンボジア人民党
អាស៊ីខាងត្បូង	南アジア
ខេត្តក្រចេះ	クラチエ州
ប្រាសាទបាគង	バコン
ប្រាសាទបក្សីចាំក្រុង	バクセイ・チャムクロン
ប្រាសាទបន្ទាយស្រី	バンテアイ・スレイ
ប្រាសាទបាពួន	バプーオン
ខេត្តបាត់ដំបង	バタンバン州
តំបន់ត្រីកោណមាស	黄金の三角地帯
ប្រាសាទបឹងមាលា	ベンメリア
សង្គ្រាមផ្ទៃក្នុងកម្ពុជា	カンボジア内戦
ESET	Eset
អាស៊ីហ្គេមរដូវរងារ	アジア冬季競技大会
ក្រុងយ៉ាណៃ	柳井市
កុសិនារា	クシナガラ
KM	キロメートル
បញ្ជីព្រះមហាក្សត្រកម្ពុជា	カンボジア君主・国家元首一覧
ផ្លូវកណ្ដាល	中道
ជម្រើសអ្នកប្រើប្រាស់	消費者行動分析
ខេត្តពោធិ៍សាត់	ポーサット州
វិស័យអប់រំនៅប្រទេសជប៉ុន	日本の教育
ខេត្តស្ទឹងត្រែង	ストゥントレン州
ក្រុមប្រឹក្សាអូឡាំពិកអាស៊ី	アジアオリンピック評議会
McDonnell Douglas F-15E Strike Eagle	F-15E (航空機)
២៤២	242
តារាងអាំងតេក្រាលនៃអនុគមន៍ត្រីកោណមាត្រ	三角関数の原始関数の一覧
ច្រកកាលីម៉ាតា	カリマタ海峡
បញ្ជី ប្រទេស មានចំនួនអ្នកអានសៀវភៅ	識字率による国順リスト
សារមន្ទីរទួលស្លែង	S21 (トゥール・スレン)
ខេត្តកែប	ケップ
ទ្រឹស្តីបទវីវីអានី	ヴィヴィアーニの定理
VietJet Air	ベトジェットエア
ក្រុងសិរីសោភ័ណ	シソポン
ក្រុងកំពង់ចាម	コンポンチャム
សាកលវិទ្យាល័យ ចុឡាលុងករណ៍	チュラーロンコーン大学
Gallery of dependent territory flags	海外領土・自治領の旗一覧
អនុគមន៍ស៊ីនុសកាឌីណាល់	Sinc関数
ខេត្តព្រៃវែង	プレイベン州
អនុគមន៍ពហុហ្គាំម៉ា	ポリガンマ関数
ទ្រឹស្តីបទកូស៊ី-អាដាម៉ា	コーシー-アダマールの定理
កប្ប	劫
ខ្សែទឹកអេក្វាទ័រខាងជើង	北赤道海流
សាធារណរដ្ឋប្រជាមានិតកម្ពុជា	カンプチア人民共和国
នគរវ្នំ	扶南国
ក្រុងកំពត	カンポット
ខេត្តកំពង់ឆ្នាំង	コンポンチュナン州
ស៊ីហ្គេម	東南アジア競技大会
ISO 3166-3	ISO 3166-3
ព្រះនាងមាយា	摩耶夫人
ស៊ីសុវត្ថិ	シソワット1世
ពោធិបក្ខិយធម៌	三十七道品
ពោជ្ឈង្គ៧	七覚支
ព្រហ្មវិហារធម៌	四無量心
ការ​បញ្ចាំង​ស្លាយ	スライドショー
វីគីភីឌាភាសាខ្មែរ	揮発性有機化合物
ប្រទេសនៅអាមេរិកខាងត្បូង	南アメリカの主権国家及び属領の一覧
ជំនួយ:មាតិកា	Help:目次
ច្បាប់ប្រលេឡូក្រាម	中線定理
ចំនុចប៊្រូការ	ブロカール点
AgustaWestland Apache	WAH-64 アパッチ
ភ្នំភ្លើងអ៊ីស៊ាឡឺកធ្វើអោយខកខានការហោះហើរនៅអឺរ៉ុប	2010年のエイヤフィヤトラヨークトルの噴火による交通麻痺
មីក្រូម៉ែត្រការ៉េ	面積の比較
ធនធានដែលមិនកកើតឡើងវិញ	枯渇性資源
ខ្សែទឹកអៀមីងហ្គើរ	イルミンガー海流
ជួរភ្នំដងរែក	ダンレク山地
ប្រាសាទព្រះខ័ន	プリヤ・カーン
រូបមន្តញូតុន-កូត្ស	ニュートン・コーツの公式
កបិលវត្ថុ	カピラ城
ភ្នំគូលេន	プノン・クーレン
ទីភ្នាក់ងារសហប្រតិបត្តិការអន្តរជាតិជប៉ុន	国際協力機構
Nanchang Q-5	Q-5 (航空機)
ប្រដាល់សេរី	プラダル・セレイ
សុន សេន	ソン・セン
គណកម្មាធិការអូឡាំពិកជប៉ុន	日本オリンピック委員会
ចំនួនតេត្រាអែក	三角錐数
ឧបាលិ	優波離
អាំងតេក្រាលអយល័រ	オイラー積分
ព្រះពុទ្ធសាសនា​នៅ​ស្រីលង្កា	スリランカの仏教
ចំណុចរំពុះ	沸点
Coats of arms of dependent territories	海外領土・自治領の紋章一覧
ក្រុងប៉ោយប៉ែត	ポイペト
តារាងលីមីត	極限の一覧
តារាងអាំងតេក្រាលនៃអនុគមន៍ច្រាស់ត្រីកោណមាត្រ	逆三角関数の原始関数の一覧
អាកាសយានដ្ឋានអន្តរជាតិភ្នំពេញ	プノンペン国際空港
ព្រះនិព្វាន៤ថ្នាក់	四向四果
វិសមភាពអូណូ	オノの不等式
សាធារណរដ្ឋខ្មែរ	クメール共和国
អក្សរខ្មែរ	クメール文字
អាកាសយានដ្ឋានអន្តរជាតិសៀមរាបអង្គរ	シェムリアップ国際空港
ក្មេងទំនើង	非行少年
ចេនឡា	真臘
ប្រកែកនយោបាយថៃ ស.ក.២០១០	暗黒の土曜日
ស្ដេចចក្រពត្តិ	転輪聖王
តថាគត	如来
ប្រាសាទនាគព័ន្ធ	ニャック・ポアン
ជា ស៊ីម	チア・シム
នគរឆឹន	陳 (春秋)
កម្មវីធីសូនីវីហ្គាស	Sony Vegas
ខ្សែទឹកអេក្វាទ័រខាងត្បូង	南赤道海流
សិក្ខាបទ៥	五戒
ការប្រកួតកីឡាជើងឯកចុងបូព៌ា	極東選手権競技大会
កងទ័ពអេហ្ស៊ីប	エジプト軍
ប្រាសាទប្រែរូប	プレループ
ប្រាសាទក្រវាន់	プラサット・クラヴァン
ការប្រកួតកីឡា កម្ពុជា	カンボジア・リーグ
ប្រាសាទព្រះគោ	プリア・コー
ប្រាសាទលលៃ	ロレイ
ក្បាលស្ពាន	クバール・スピアン
ប្រាសាទតាសោម	タ・ソム
ស្ពានថ្ម	スピアン・トマ
CAIC Z-10	WZ-10 (航空機)
សមីការឌីផេរ៉ងស្យែលក្លែរ៉ូ	クレローの方程式
ទ្រឹស្តីបទផលគុណកត្តា	因数定理
