Afrig	アフリカ
Wàll:Leeral Biibël	Category:聖書
Wàll:Weeri at mi	Category:月 (暦)
Royuwaay:Babel	Template:Babel
Royuwaay:Commons	Template:Commons
Royuwaay:Lien BA	Template:Link GA
Wàll:Xaralaymbëj	Category:電気工学
Royuwaay:ANG	Template:AGO
Royuwaay:Junj	Template:Stub
Royuwaay:Jëfandikukat af-1	Template:User af-1
Royuwaay:Jëfandikukat ar-1	Template:User ar-1
Royuwaay:Jëfandikukat eo-1	Template:User eo-1
Royuwaay:Jëfandikukat da	Template:User da
Royuwaay:Jëfandikukat da-1	Template:User da-1
Royuwaay:Jëfandikukat eo-3	Template:User eo-3
Royuwaay:Jëfandikukat eu	Template:User eu
Royuwaay:Jëfandikukat et-1	Template:User et-1
Royuwaay:Jëfandikukat es	Template:User es
Royuwaay:Jëfandikukat en-3	Template:User en-3
Royuwaay:Jëfandikukat el-1	Template:User el-1
Royuwaay:Jëfandikukat en-1	Template:User en-1
Royuwaay:Jëfandikukat en-2	Template:User en-2
Royuwaay:Jëfandikukat eo-2	Template:User eo-2
Royuwaay:Jëfandikukat en-4	Template:User en-4
Royuwaay:Jëfandikukat fi	Template:User fi
Royuwaay:Jëfandikukat en-0	Template:User en-0
Royuwaay:Jëfandikukat es-4	Template:User es-4
Royuwaay:Jëfandikukat en	Template:User en
Royuwaay:Jëfandikukat es-1	Template:User es-1
Royuwaay:Jëfandikukat fr-1	Template:User fr-1
Wàll:Dundat yi	Category:生命
Royuwaay:Jëfandikukat ia-2	Template:User ia-2
Royuwaay:Jëfandikukat hi-1	Template:User hi-1
Royuwaay:Jëfandikukat hu	Template:User hu
Royuwaay:Jëfandikukat id-3	Template:User id-3
Royuwaay:Jëfandikukat io-3	Template:User io-3
Royuwaay:Jëfandikukat it-3	Template:User it-3
Royuwaay:Jëfandikukat ja-4	Template:User ja-4
Royuwaay:Jëfandikukat sk	Template:User sk
Royuwaay:Jëfandikukat tr	Template:User tr
Royuwaay:Jëfandikukat ja	Template:User ja
Royuwaay:Jëfandikukat ja-1	Template:User ja-1
Royuwaay:Jëfandikukat it-1	Template:User it-1
Royuwaay:Jëfandikukat fr	Template:User fr
Wàll:Fewirie	Category:2月
Wàll:Gunóor	Category:昆虫
Wàll:Moldaawi	Category:モルドバ
Royuwaay:HRV	Template:HRV
Wàll:Aserbayjaan	Category:アゼルバイジャン
Wàll:Asi	Category:アジア
Wàll:Ciili	Category:チリ
Wàll:Lesoto	Category:レソト
Wàll:Jëfandikukat uk	Category:User uk
Wàll:Jëfandikukat uk-N	Category:User uk-N
Wàll:Maleesi	Category:マレーシア
Wàll:Football	Category:サッカー
Royuwaay:Mod	Template:Mod
Royuwaay:Jëfandikukat sv	Template:User sv
Royuwaay:Jëfandikukat it	Template:User it
Royuwaay:Jëfandikukat uk	Template:User uk
Royuwaay:Jëfandikukat es-2	Template:User es-2
Wàll:Jimbulang	Category:百科事典
Royuwaay:Bataaxalu dalal-jàmm	Template:Welcome
Royuwaay:USA	Template:USA
Royuwaay:ITA	Template:ITA
Royuwaay:GEO	Template:GEO
Royuwaay:BOL	Template:BOL
Royuwaay:MEX	Template:MEX
Wàll:Jëfandikukat fr-1	Category:User fr-1
Royuwaay:MAR	Template:MAR
Royuwaay:MDK	Template:MDG
Royuwaay:SVK	Template:SVK
Royuwaay:EGY	Template:EGY
Royuwaay:KGZ	Template:KGZ
Royuwaay:MYT	Template:MYT
Royuwaay:Infobox Réew	Template:基礎情報 国
Royuwaay:Max	Template:Max
Royuwaay:STP	Template:STP
Royuwaay:VEN	Template:VEN
Royuwaay:UKR	Template:UKR
Royuwaay:ROU	Template:ROU
Royuwaay:TUR	Template:TUR
Royuwaay:JBT	Template:DJI
Royuwaay:Jëfandikukat es-0	Template:User es-0
Wàll:Gana	Category:ガーナ
Wàll:Jëfandikukat en-4	Category:User en-4
Wàll:Togóo	Category:トーゴ
Wàll:Jëfandikukat en	Category:User en
Wàll:Jëfandikukat zh	Category:User zh
Wàll:Korwaasi	Category:クロアチア
Wàll:Jëfandikukat zh-N	Category:User zh-N
Wàll:Jëfandikukat en-2	Category:User en-2
Royuwaay:Jëfandikukat zh	Template:User zh
Royuwaay:Jëfandikukat ru-4	Template:User ru-4
Royuwaay:Coord/URL	Template:座標URL
Royuwaay:Jëfandikukat nl-1	Template:User nl-1
Royuwaay:Jëfandikukat nl-2	Template:User nl-2
Wàll:Jëfandikukat hi	Category:User hi
Royuwaay:Jëfandikukat ru	Template:User ru
Wàll:Aamerig	Category:アメリカ
Royuwaay:Boyutu Babel N	Template:User language
Royuwaay:Boyutu Babel 1	Template:User language-1
Royuwaay:KPW	Template:CPV
Royuwaay:Jëfandikukat pt-1	Template:User pt-1
Wàll:Samwie	Category:1月
Royuwaay:Jëfandikukat pl	Template:User pl
Royuwaay:Jëfandikukat nl	Template:User nl
Royuwaay:TJK	Template:TJK
Royuwaay:Jëfandikukat no-2	Template:User no-2
Royuwaay:Coord	Template:Coor title dms
Royuwaay:GAN	Template:GHA
Royuwaay:GAM	Template:GMB
Royuwaay:IDN	Template:INA
Royuwaay:AFB	Template:ZAF
Royuwaay:CcTLD	Template:CcTLD
Royuwaay:POL	Template:POL
Royuwaay:BOA	Template:BWA
Royuwaay:URY	Template:URY
Royuwaay:CUB	Template:CUB
Royuwaay:KMR	Template:CMR
Royuwaay:KOS	Template:COD
Royuwaay:BIH	Template:BIH
Royuwaay:GIN	Template:GIN
Royuwaay:FIN	Template:FIN
Wàll:Cuub	Category:絵画
Royuwaay:CAN	Template:CAN
Royuwaay:DNK	Template:DNK
Royuwaay:Jëfandikukat	Template:Userpage
Royuwaay:DEU	Template:DEU
Royuwaay:BEN	Template:BEN
Royuwaay:SWE	Template:SWE
Saeid Marouf	サイード・マルーフ
Aynon	アイノン
Royuwaay:Boyutu Babel 4	Template:User language-4
Royuwaay:Jëfandikukat pl-1	Template:User pl-1
Royuwaay:Boyutu Babel 0	Template:User language-0
Royuwaay:Jëfandikukat fr-3	Template:User fr-3
Wàll:Tiniisi	Category:チュニジア
Royuwaay:JPN	Template:JPN
Royuwaay:SOM	Template:SOM
Royuwaay:VAT	Template:VAT
Royuwaay:SWL	Template:SWZ
Wàll:Suti	Category:機器
Royuwaay:ISL	Template:ISL
Royuwaay:Coord/link	Template:Coord/link
Royuwaay:MOR	Template:MUS
Royuwaay:COL	Template:COL
Royuwaay:GIB	Template:GNB
Royuwaay:ERT	Template:ERI
Royuwaay:GAR	Template:MRT
Royuwaay:GAB	Template:GAB
Royuwaay:IRN	Template:IRN
Royuwaay:MAL	Template:MLI
Royuwaay:SUD	Template:SDN
Royuwaay:NAM	Template:NAM
Royuwaay:RDA	Template:CAF
Royuwaay:MKD	Template:MKD
Royuwaay:GNY	Template:GNQ
Royuwaay:KOM	Template:COM
Royuwaay:SAM	Template:ZMB
Royuwaay:MLW	Template:MWI
Royuwaay:TAN	Template:TZA
Royuwaay:KAZ	Template:KAZ
Royuwaay:NIS	Template:NER
Royuwaay:KON	Template:COG
Royuwaay:SMR	Template:SMR
Royuwaay:PER	Template:PER
Royuwaay:MOS	Template:MOZ
Royuwaay:GUY	Template:GUY
Royuwaay:ECP	Template:ETH
Royuwaay:NIA	Template:NGA
Royuwaay:SRB	Template:SRB
Royuwaay:NIC	Template:NIC
Royuwaay:LIA	Template:LBR
Royuwaay:TKM	Template:TKM
Royuwaay:LIB	Template:LBY
Royuwaay:LES	Template:LSO
Royuwaay:BUK	Template:BFA
Royuwaay:CAD	Template:TCD
Royuwaay:PRY	Template:PRY
Royuwaay:ECU	Template:ECU
Royuwaay:SEY	Template:SYC
Royuwaay:SIR	Template:SLE
Royuwaay:LTU	Template:LTU
Royuwaay:IND	Template:IND
Royuwaay:Jëfandikukat is-1	Template:User is-1
Royuwaay:Jëfandikukat en-5	Template:User en-5
Wàll:Poortorikoo	Category:プエルトリコ
Wàll:Jëfandikukat ja-N	Category:User ja-N
Wàll:Royuwaay jëfëndikookat	Category:利用者ページ用テンプレート
Royuwaay:CHE	Template:CHE
Wàll:Suwaasilaand	Category:スワジランド
Wàll:Infobox	Category:基礎情報テンプレート
Royuwaay:Jëfandikukat yi-2	Template:User yi-2
Royuwaay:ATG	Template:ATG
Royuwaay:GRC	Template:GRC
Royuwaay:PRT	Template:PRT
Royuwaay:SIM	Template:ZWE
Royuwaay:CZE	Template:CZE
Royuwaay:LVA	Template:LVA
Royuwaay:AZE	Template:AZE
Royuwaay:Xam-xam	Template:科学
Royuwaay:MNE	Template:MNE
Royuwaay:NLD	Template:NLD
Royuwaay:GBR	Template:GBR
Royuwaay:LIE	Template:LIE
Royuwaay:MDA	Template:MDA
Royuwaay:Boyutu Babel 3	Template:User language-3
Royuwaay:KOR	Template:KOR
Royuwaay:Jëfandikukat it-2	Template:User it-2
Royuwaay:SVN	Template:SVN
Royuwaay:LBN	Template:LBN
Royuwaay:FRA	Template:FRA
Wàll:Mongoli	Category:モンゴル国
Royuwaay:Gox	Template:大州横
Royuwaay:Jëfandikukat pt-3	Template:User pt-3
Royuwaay:Jëfandikukat pt-2	Template:User pt-2
Royuwaay:Jëfandikukat lb-1	Template:User lb-1
Royuwaay:Jëfandikukat fr-4	Template:User fr-4
Royuwaay:Jëfandikukat lv	Template:User lv
Royuwaay:Jëfandikukat la-1	Template:User la-1
Wàll:Réewum Maseduwaan	Category:マケドニア共和国
Wàll:Jëfandikukat sk	Category:User sk
Wàll:Jëfandikukat eo	Category:User eo
Wàll:Jëfandikukat et	Category:User et
Wàll:Jëfandikukat fr	Category:User fr
Wàll:Jëfandikukat hu-N	Category:User hu-N
Wàll:Jëfandikukat id	Category:User id
Wàll:Jëfandikukat ia	Category:User ia
Wàll:Jëfandikukat ja	Category:User ja
Wàll:Jëfandikukat la	Category:User la
Wàll:Jëfandikukat li	Category:User li
Wàll:Jëfandikukat pt	Category:User pt
Wàll:Jëfandikukat ro	Category:User ro
Wàll:Jëfandikukat sv	Category:User sv
Wàll:Jëfandikukat sw	Category:User sw
Wàll:Jëfandikukat fr-3	Category:User fr-3
Wàll:Jëfandikukat it-3	Category:User it-3
Wàll:Jëfandikukat da-1	Category:User da-1
Wàll:Jëfandikukat et-1	Category:User et-1
Wàll:Jëfandikukat hi-1	Category:User hi-1
Wàll:Jëfandikukat li-1	Category:User li-1
Wàll:Jëfandikukat nl-1	Category:User nl-1
Wàll:Jëfandikukat pl-1	Category:User pl-1
Wàll:Jëfandikukat ar-1	Category:User ar-1
Wàll:Jëfandikukat fr-4	Category:User fr-4
Wàll:Jëfandikukat it-4	Category:User it-4
Wàll:Jëfandikukat ar-4	Category:User ar-4
Wàll:Jëfandikukat fr-2	Category:User fr-2
Wàll:Jëfandikukat ia-2	Category:User ia-2
Wàll:Jëfandikukat it-2	Category:User it-2
Wàll:Jëfandikukat la-2	Category:User la-2
Wàll:Jëfandikukat nl-2	Category:User nl-2
Wàll:Jëfandikukat cs-N	Category:User cs-N
Wàll:Jëfandikukat fr-N	Category:User fr-N
Wàll:Jëfandikukat it-N	Category:User it-N
Wàll:Jëfandikukat lv-N	Category:User lv-N
Wàll:Jëfandikukat li-N	Category:User li-N
Wàll:Jëfandikukat nl-N	Category:User nl-N
Wàll:Jëfandikukat ru-N	Category:User ru-N
Wàll:Jëfandikukat sw-N	Category:User sw-N
Wàll:Jëfandikukat fr-5	Category:User fr-5
Wàll:Jëfandikukat eu-N	Category:User eu-N
Wàll:Jëfandikukat af	Category:User af
Wàll:Jëfandikukat af-1	Category:User af-1
Wàll:Jëfandikukat ar	Category:User ar
Wàll:Jëfandikukat ca	Category:User ca
Wàll:Jëfandikukat cs	Category:User cs
Wàll:Jëfandikukat da	Category:User da
Wàll:Jëfandikukat sk-N	Category:User sk-N
Wàll:Jëfandikukat de	Category:User de
Wàll:Jëfandikukat de-2	Category:User de-2
Wàll:Jëfandikukat de-3	Category:User de-3
Wàll:Jëfandikukat de-4	Category:User de-4
Wàll:Jëfandikukat de-N	Category:User de-N
Wàll:Jëfandikukat el	Category:User el
Wàll:Jëfandikukat el-1	Category:User el-1
Wàll:Jëfandikukat en-3	Category:User en-3
Wàll:Jëfandikukat en-5	Category:User en-5
Wàll:Jëfandikukat en-N	Category:User en-N
Wàll:Jëfandikukat eo-1	Category:User eo-1
Wàll:Jëfandikukat eo-2	Category:User eo-2
Wàll:Jëfandikukat eo-3	Category:User eo-3
Wàll:Jëfandikukat es	Category:User es
Wàll:Jëfandikukat es-1	Category:User es-1
Wàll:Jëfandikukat es-2	Category:User es-2
Wàll:Jëfandikukat es-3	Category:User es-3
Wàll:Jëfandikukat es-4	Category:User es-4
Wàll:Jëfandikukat es-N	Category:User es-N
Wàll:Jëfandikukat eu	Category:User eu
Wàll:Jëfandikukat fi	Category:User fi
Wàll:Jëfandikukat fi-N	Category:User fi-N
Wàll:Jëfandikukat hu	Category:User hu
Wàll:Jëfandikukat id-3	Category:User id-3
Wàll:Jëfandikukat io	Category:User io
Wàll:Jëfandikukat io-1	Category:User io-1
Wàll:Jëfandikukat io-3	Category:User io-3
Wàll:Jëfandikukat is	Category:User is
Wàll:Jëfandikukat is-1	Category:User is-1
Royuwaay:Jëfandikukat la-3	Template:User la-3
Wàll:Jëfandikukat pt-3	Category:User pt-3
Wàll:Jëfandikukat pl-N	Category:User pl-N
Wàll:Jëfandikukat pt-1	Category:User pt-1
Wàll:Jëfandikukat ka-1	Category:User ka-1
Wàll:Jëfandikukat it	Category:User it
Wàll:Jëfandikukat it-1	Category:User it-1
Wàll:Jëfandikukat ja-1	Category:User ja-1
Wàll:Jëfandikukat ka	Category:User ka
Wàll:Jëfandikukat ko	Category:User ko
Wàll:Jëfandikukat ko-3	Category:User ko-3
Wàll:Jëfandikukat ksh	Category:User ksh
Wàll:Jëfandikukat la-1	Category:User la-1
Wàll:Jëfandikukat la-3	Category:User la-3
Wàll:Jëfandikukat lb	Category:User lb
Wàll:Jëfandikukat lb-1	Category:User lb-1
Royuwaay:NOR	Template:NOR
Royuwaay:BRA	Template:BRA
Wàll:Nowembar	Category:11月
Wàll:Jëfandikukat ru-1	Category:User ru-1
Royuwaay:Jëfandikukat sv-1	Template:User sv-1
Wàll:Maars	Category:3月
Wàll:Sattumbar	Category:9月
Wàll:Jëfandikukat lv	Category:User lv
Royuwaay:TNI	Template:TUN
Wàll:Oktoobar	Category:10月
Royuwaay:Boyutu Babel 2	Template:User language-2
Wàll:Xam-xamu nosukaay	Category:情報学
Wàll:Géej	Category:海
Wàll:Disambar	Category:12月
Wàll:Ut	Category:8月
Wàll:Mee	Category:5月
Wàll:Awril	Category:4月
Royuwaay:Boyutu Babel 5	Template:User language-5
Wàll:Angila	Category:アンギラ
Royuwaay:LUX	Template:LUX
Royuwaay:Coord/dms2dec	Template:Coord/dms2dec
Wàll:Endustri	Category:工業
Wàll:Ndox	Category:水
Wàll:Taariixu Aamerig	Category:アメリカ大陸史
Bunt:Diine	Portal:宗教
Wàll:Xay	Category:文明
Wàll:Belaarus	Category:ベラルーシ
Royuwaay:MCO	Template:MCO
Royuwaay:Jëfandikukat cs	Template:User cs
Royuwaay:Jëfandikukat ru-2	Template:User ru-2
Royuwaay:Jëfandikukat es-3	Template:User es-3
Royuwaay:Jëfandikukat ko-3	Template:User ko-3
Wàll:Jëfandikukat pt-2	Category:User pt-2
Wàll:Jëfandikukat pt-4	Category:User pt-4
Wàll:Jëfandikukat pt-N	Category:User pt-N
Wàll:Jëfandikukat ro-2	Category:User ro-2
Wàll:Jëfandikukat ru	Category:User ru
Wàll:Jëfandikukat ru-2	Category:User ru-2
Wàll:Jëfandikukat ru-4	Category:User ru-4
Wàll:Jëfandikukat sk-1	Category:User sk-1
Wàll:Jëfandikukat sv-1	Category:User sv-1
Wàll:Jëfandikukat sv-N	Category:User sv-N
Wàll:Jëfandikukat tr	Category:User tr
Wàll:Jëfandikukat tr-N	Category:User tr-N
Wàll:Jëfandikukat wo	Category:User wo
Wàll:Jëfandikukat wo-1	Category:User wo-1
Wàll:Jëfandikukat wo-2	Category:User wo-2
Wàll:Jëfandikukat wo-4	Category:User wo-4
Wàll:Jëfandikukat wo-N	Category:User wo-N
Wàll:Jëfandikukat yi	Category:User yi
Wàll:Jëfandikukat yi-2	Category:User yi-2
Royuwaay:IRL	Template:IRL
Royuwaay:ALB	Template:ALB
Royuwaay:AND	Template:AND
Royuwaay:ARG	Template:ARG
Royuwaay:ARM	Template:ARM
Royuwaay:Jëfandikukat ca	Template:User ca
Royuwaay:BUR	Template:BDI
Royuwaay:BGR	Template:BGR
Royuwaay:BHS	Template:BHS
Royuwaay:BLR	Template:BLR
Royuwaay:KOD	Template:CIV
Royuwaay:CYP	Template:CYP
Wàll:Melosuufug Tugal	Category:ヨーロッパの地理
Royuwaay:Xóotal	Template:Main
Royuwaay:EST	Template:EST
Royuwaay:RUS	Template:RUS
Royuwaay:TOG	Template:TGO
Royuwaay:Mbàmbulaan	Template:五大洋
Royuwaay:AUT	Template:AUT
Royuwaay:CHL	Template:CHL
Wàll:Diiwaani dott	Category:極地
Royuwaay:PD-self	Template:PD-self
Royuwaay:CHN	Template:CHN
Wàll:Angolaa	Category:アンゴラ
Wàll:Bene	Category:ベナン
Wàll:Botswana	Category:ボツワナ
Wàll:Burkinaa Faaso	Category:ブルキナファソ
Wàll:Buruundi	Category:ブルンジ
Wàll:Jibuti	Category:ジブチ
Wàll:Gineg yamoo	Category:赤道ギニア
Wàll:Eritere	Category:エリトリア
Wàll:Gaboŋ	Category:ガボン
Wàll:Gàmbi	Category:ガンビア
Wàll:Kamerun	Category:カメルーン
Wàll:Keeñaa	Category:ケニア
Wàll:Komoor	Category:コモロ
Wàll:Libi	Category:リビア
Wàll:Madagaskaar	Category:マダガスカル
Wàll:Malawi	Category:マラウイ
Wàll:Marok	Category:モロッコ
Wàll:Gànnaar	Category:モーリタニア
Wàll:Mosambik	Category:モザンビーク
Wàll:Namibi	Category:ナミビア
Wàll:Ruwandaa	Category:ルワンダ
Royuwaay:IRQ	Template:IRQ
Wàll:Taariixu senegaal	Category:セネガルの歴史
Wàll:Melosuufug Afrig gu Bëj-saalum	Category:南アフリカ共和国の地理
Wàll:Melosuufug Alseeri	Category:アルジェリアの地理
Royuwaay:Jëfandikukat la-2	Template:User la-2
Royuwaay:Jëfandikukat li-1	Template:User li-1
Royuwaay:Jëfandikukat pt	Template:User pt
Royuwaay:Jëfandikukat ro-2	Template:User ro-2
Royuwaay:Jëfandikukat ru-1	Template:User ru-1
Royuwaay:Jëfandikukat sk-1	Template:User sk-1
Royuwaay:Jëfandikukat zh-1	Template:User zh-1
Royuwaay:Jëfandikukat zh-2	Template:User zh-2
Royuwaay:Jëfandikukat zh-4	Template:User zh-4
Wàll:Saambi	Category:ザンビア
Wàll:Senegaal	Category:セネガル
Wàll:Seysel	Category:セーシェル
Wàll:Simbaawee	Category:ジンバブエ
Wàll:Melosuufug Kamerun	Category:カメルーンの地理
Wàll:Somali	Category:ソマリア
Wàll:Cadd	Category:チャド
Wàll:Ugandaa	Category:ウガンダ
Wàll:Réewum Diggu Afrig	Category:中央アフリカ
Wàll:Filipiin	Category:フィリピン
Wàll:Jëfandikukat nl	Category:User nl
Wàll:Jëfandikukat no-2	Category:User no-2
Wàll:Jëfandikukat no	Category:User no
Wàll:Jëfandikukat zh-1	Category:User zh-1
Wàll:Jëfandikukat zh-4	Category:User zh-4
Wàll:Jëfandikukat zh-2	Category:User zh-2
Wàll:Doolerandu	Category:力学
Wàll:Armeeni	Category:アルメニア
Wàll:Bahrayni	Category:バーレーン
Wàll:Siri	Category:シリア
Wàll:Melosuufug Senegaal	Category:セネガルの地理
Wàll:Jeoorji	Category:グルジア
Wàll:Jamayka	Category:ジャマイカ
Wàll:Kataar	Category:カタール
Wàll:Maldiif	Category:モルディブ
Wàll:Nepaal	Category:ネパール
Wàll:Omaan	Category:オマーン
Wàll:Usbekistaan	Category:ウズベキスタン
Wàll:Taariixu Tugal	Category:ヨーロッパ史
Wàll:San Marino	Category:サンマリノ
Wàll:Jordaani	Category:ヨルダン
Wàll:Nikaraaguwa	Category:ニカラグア
Wàll:Bosni	Category:ボスニア・ヘルツェゴビナ
Wàll:Noorwees	Category:ノルウェー
Wàll:Paraguwaay	Category:パラグアイ
Wàll:Liechtenstein	Category:リヒテンシュタイン
Wàll:Onduras	Category:ホンジュラス
Wàll:Uruguwaay	Category:ウルグアイ
Wàll:Andoor	Category:アンドラ
Wàll:Seerbi	Category:セルビア
Wàll:Salbadoor	Category:エルサルバドル
Wàll:Ayiti	Category:ハイチ
Wàll:Ekwadoor	Category:エクアドル
Wàll:Yaman	Category:イエメン
Wàll:Peru	Category:ペルー
Wàll:Boliibi	Category:ボリビア
Wàll:Albaani	Category:アルバニア
Wàll:Monaako	Category:モナコ
Wàll:Cosaan	Category:伝統
Wàll:Jén	Category:魚類
Wàll:Làkki Afrig	Category:アフリカの言語
Wàll:Dëkki Benesuwela	Category:ベネズエラの都市
Royuwaay:ESP	Template:ESP
Wàll:Rab	Category:動物
Wàll:Nauru	Category:ナウル
Wàll:Antigua ak Barbuda	Category:アンティグア・バーブーダ
Wàll:Guyaana	Category:ガイアナ
Wàll:Koloombi	Category:コロンビア
Wàll:Hip Hop	Category:ヒップホップ
Wàll:Alxuraan	Category:クルアーン
Wàll:Mbëj	Category:電気
Wàll:Jëfandikukat pl	Category:User pl
Royuwaay:Coord/dec2dms/d	Template:Coord/dec2dms/d
Wàll:Oseyaani	Category:オセアニア
Wàll:Montenegro	Category:モンテネグロ
Wàll:Moto	Category:輸送機器
Wàll:Dëkki Senegaal	Category:セネガルの都市
Wàll:Làkki senegaal	Category:セネガルの言語
Wàll:Royuwaay raaya réew	Category:各国の国旗と国名テンプレート
Ngelaw	空気
Wàll:Koom-koomu Afrig	Category:アフリカの経済
Royuwaay:UGA	Template:UGA
Royuwaay:UZB	Template:UZB
Royuwaay:Coord/dec2dms	Template:Coord/dec2dms
Royuwaay:Coord/display/inline,title	Template:Coord/display/inline,title
Wàll:Tundi Senegaal	Category:セネガルの県
Trojany	トロヤニ (マゾフシェ県)
Royuwaay:Jëfandikukat sw	Template:User sw
Royuwaay:Jëfandikukat it-4	Template:User it-4
Royuwaay:Jëfandikukat io-1	Template:User io-1
Royuwaay:RUW	Template:RWA
Royuwaay:MLT	Template:MLT
Royuwaay:Kña	Template:KEN
Royuwaay:JAM	Template:JAM
Wàll:Wallis ak Futuna	Category:ウォリス・フツナ
Wàll:Aakimoo jawwu ji	Category:宇宙探査
Wàll:Mbëjbijjaakon	Category:電磁気学
Wàll:Kàttan	Category:エネルギー
Royuwaay:Precision1	Template:Precision1
Wàll:Kër	Category:住宅
Royuwaay:MNG	Template:MNG
Royuwaay:BEL	Template:BEL
Wàll:Melo	Category:色
Wàll:Jamono	Category:時間の単位
Wàll:Nit ñi ci Téere Linjiil	Category:新約聖書の人物
Wàll:Jëfandikukat wo-3	Category:User wo-3
Wàll:Làkki Niseer-Cóngoo	Category:ニジェール・コンゴ語族
Wàll:Njëkk-taariix	Category:先史時代
Wàll:Saari alxuraan	Category:スーラ (クルアーン)
Royuwaay:HUN	Template:HUN
Nguri	ハチ
Royuwaay:Coord/display/title	Template:Coord/display/title
Wàll:Jëfandikukat en-1	Category:User en-1
Wàll:Jëfandikukat de-1	Category:User de-1
Wàll:Jëfandikukat da-N	Category:User da-N
Wàll:Taariixu Afrig	Category:アフリカ史
Royuwaay:Jëfandikukat li	Template:User li
Fajar	明け方
Royuwaay:Style/IPA	Template:Style/IPA
Royuwaay:Style/yid	Template:Style/yid
Jagleel:Coppite yu mujj	特別:最近の更新
Wàll:Jëfandikukat ja-4	Category:User ja-4
