阿非利加洲	アフリカ
前二〇五年	紀元前205年
鮨	寿司
前二〇八年	紀元前208年
湖北省	湖北省
山西省	山西省
魔方	ルービックキューブ
伊洛瓦底省	エーヤワディ地方域
貴州省	貴州省
京都議定書	京都議定書
聯合國大會	国際連合総会
乙酸	酢酸
安達曼海	アンダマン海
前二〇四年	紀元前204年
胡適	胡適
莊子	荘子
清孝欽顯皇后	西太后
陝西省	陝西省
Template:共享類	Template:Commonscat
三八三年	383年
德文維基大典	ドイツ語版ウィキペディア
拋物線	放物線
尿素	尿素
平假名	平仮名
波斯文維基大典	ペルシア語版ウィキペディア
質數	素数
五七二年	572年
南北朝	南北朝時代 (中国)
劉宋	宋 (南朝)
吾世	Minecraft
罷工	ストライキ
都羅山車驛	都羅山駅
李舜臣汝諧	李舜臣
泰國地方	チャンワット
中華人民共和國地方	中華人民共和国の行政区分
日本都道府縣	都道府県
氧化物	酸化物
合數	合成数
因數	約数
口琴	ハーモニカ
朝鮮灣	西朝鮮湾
Template:Taxobox	Template:生物分類表
繩文時代	縄文時代
魔法少女小圓	魔法少女まどか☆マギカ
太極	太極
平行	平行
周宣王	宣王 (周)
百家姓	百家姓
臺北城	台北城
極品飛車	ニード・フォー・スピード
海鳥	海鳥
琉球語	琉球語
閩語	ビン語
莆仙語	ホ仙語
江西省	江西省
阿卜杜拉·本·阿卜杜勒-阿齊茲·沙特	アブドゥッラー・ビン・アブドゥルアズィーズ
寧夏回族自治區	寧夏回族自治区
揚州市	揚州市
鎮江市	鎮江市
哈薩克文維基大典	カザフ語版ウィキペディア
嘉興市	嘉興市
金華市	金華市
衢州市	衢州市
台州市	台州市
舟山市	舟山市
石家莊市	石家荘市
亞當與夏娃	アダムとエバ
珠海	珠海市
韶關市	韶関市
東莞市	東莞市
箜篌	箜篌
俄羅斯正教會	ロシア正教会
鯢	チュウゴクオオサンショウウオ
空師	空軍
大名	大名
智永	智永
南齊	斉 (南朝)
苗栗縣	苗栗県
色盲檢測圖	石原式色覚異常検査表
哈布斯堡氏	ハプスブルク家
中央銀行	中央銀行
福州市	福州市
南平市	南平市
莆田市	ホ田市
三明市	三明市
泉州市	泉州市
廈門市	廈門市
漳州市	ショウ州市
龍岩市	竜岩市
寧德市	寧徳市
北京城門	北京の城門
西寧市	西寧市
西遊記	西遊記
三國演義	三国志演義
水滸傳	水滸伝
鄂州市	鄂州市
福島縣	福島県
豬油	ラード
新竹縣	新竹県
鞍山市	鞍山市
羅馬治世	パクス・ロマーナ
克羅內克	レオポルト・クロネッカー
康托爾	ゲオルク・カントール
戴德金	リヒャルト・デーデキント
寒武紀	カンブリア紀
十六元數	十六元数
神聖羅馬皇帝腓特烈一世	フリードリヒ1世 (神聖ローマ皇帝)
前三八七年	紀元前387年
盲文	点字
千葉縣	千葉県
賽珍珠	パール・S・バック
聯合國秘書長	国際連合事務総長
龐加萊	アンリ・ポアンカレ
西北水道	北西航路
十進制	十進法
烯烴	アルケン
皇祚	君が代
氣壓	気圧
箸	箸
南投縣	南投県
標點符號	句読点
英格蘭王表	イングランド君主一覧
片假名	片仮名
民之旨	ジャナ・ガナ・マナ
臺北一零一	台北101
化學式	化学式
波斯	ペルシア
群 (代數)	群 (数学)
三十六計	兵法三十六計
天安門	天安門
波蘭球	ポーランドボール
水星領航員	ARIA (漫画)
三角函數	三角関数
六四事件	六四天安門事件
趙紫陽	趙紫陽
胡耀邦	胡耀邦
安樂死	安楽死
姓氏	姓
醛	アルデヒド
規	コンパス
物質之量	物質量
平安北道	平安北道
咸鏡南道	咸鏡南道
島國	島国
華山	華山
桃園市	桃園市
尺規作圖	定規とコンパスによる作図
耶律楚材	耶律楚材
京都府	京都府
絕對值	絶対値
羅賓漢	ロビン・フッド
表數法	命数法
大阪府	大阪府
瑪瑙	メノウ
愛媛縣	愛媛県
圓錐曲線	円錐曲線
海平面	海面
玄武	玄武
羅馬皇帝表	ローマ皇帝一覧
矢量空間	ベクトル空間
距	距離
臺灣海峽	台湾海峡
山口縣	山口県
市盈率	株価収益率
神奈川縣	神奈川県
中國地方	中国地方
長野縣	長野県
殷商	殷
色諾芬	クセノポン
兵庫縣	兵庫県
廣州恆大淘寶蹴鞠會	広州恒大淘宝足球倶楽部
關係 (數學)	二項関係
等價	同値関係
主格	主格
泰國灣	タイランド湾
螳螂	カマキリ
維基大典:書海	Wikipedia:書籍情報源
征夷大將軍	征夷大将軍
春節	春節
切腹	切腹
色盲	色覚異常
彰化縣	彰化県
阿什莫爾島與卡捷島	アシュモア・カルティエ諸島
農曆	中国暦
可樂	コーラ (飲料)
高知縣	高知県
道德經	老子道徳経
萬有引力	万有引力
坐標幾何	解析幾何学
芬瑟島	フレーザー島
蹴鞠	蹴鞠
臺南市	台南市
阮籍	阮籍
與格	与格
摩爾質量	モル質量
滿洲族	満州民族
義大利半島	イタリア半島
袁枚	袁枚
汽水	ソフトドリンク
天象館	プラネタリウム
微積分	微分積分学
岳陽市	岳陽市
東寧	鄭氏政権 (台湾)
李斯	李斯
雲林縣	雲林県
碗	ボウル
全等	合同
維多利亞港	ビクトリア・ハーバー
義勇軍進行曲	義勇軍進行曲
數理物理	数理物理学
紅花	ベニバナ
庖人	調理師
大正天皇	大正天皇
主義	主義
毛納洛峰	マウナ・ロア山
富牌國際機場	フバイ国際空港
修道院	修道院
符節	パスワード
環 (代數)	環 (数学)
環球小姐	ミス・ユニバース
香川縣	香川県
曲線	曲線
白求恩	ノーマン・ベチューン
牽牛花	アサガオ
中日戰爭	中日戦争
平面幾何	ユークリッド幾何学
葉問	イップ・マン
基數	基数
二元運算	二項演算
餘弦定理	余弦定理
新幹線	新幹線
雙曲線	双曲線
星際爭霸	スタークラフト
反射	反射
嘉義縣	嘉義県
形意拳	形意拳
近視	近視
代數數	代数的数
笮融	サク融
夏后氏	夏 (三代)
連續	連続写像
教廷諸屬國	教皇領
濟南市	済南市
十一月革命	ドイツ革命
中國抗日戰爭	日中戦争
青島市	青島市
PSP	PlayStation Portable
葛利斯五八一丙	グリーゼ581c
官能團	基
世氣公會	世界気象機関
見即所得	WYSIWYG
新西班牙代王領	ヌエバ・エスパーニャ
織田信長	織田信長
向日葵	ヒマワリ
南昌市	南昌市
中壢區	中レキ区
玫瑰之名	薔薇の名前
幾何原本	ユークリッド原論
米高·哥連斯	マイケル・コリンズ (政治家)
金本位	金本位制
直積	直積集合
艾狄胥	ポール・エルデシュ
四元數	四元数
長沙市	長沙市
有機化合物	有機化合物
明治天皇	明治天皇
源實朝	源実朝
蜉蝣	カゲロウ
伊藤博文	伊藤博文
絞刑	絞首刑
門:史	Portal:歴史
電極	電極
阿拉伯數字	アラビア数字
股骨	大腿骨
子集	部分集合
海東青	シロハヤブサ
日文維基大典	ウィキペディア日本語版
繁體字	繁体字
甲午戰爭	日清戦争
哈丹格爾小提琴	ハーディングフェーレ
克里希那穆提	ジッドゥ・クリシュナムルティ
宦官	宦官
選擇公理	選択公理
行星環	環 (天体)
青藏高原	チベット高原
拓撲空間	位相空間
古文書	古文書
數學符表	数学記号の表
錫克金廟	ハリマンディル・サーヒブ
查良鏞	金庸
袁安	袁安
卡奔塔利亞灣	カーペンタリア湾
度量空間	距離空間
千分比	パーミル
交換群	アーベル群
高雄市	高雄市
華盛頓歐文	ワシントン・アーヴィング
易經	易経
弩	クロスボウ
渤海	渤海 (海域)
甑帶瘡	帯状疱疹
西楚霸王	項籍
人魚	人魚
海倫公式	ヘロンの公式
昆明市	昆明市
天氣預報	天気予報
人蔘	オタネニンジン
回族	回族
蘭州市	蘭州市
期貨	先物取引
鰂	コウイカ目
林則徐	林則徐
三國	三国時代 (中国)
春秋時代	春秋時代
戰國	戦国時代 (中国)
名偵探柯南	名探偵コナン
區間	区間 (数学)
清宣統帝	愛新覚羅溥儀
併集	和集合
簡化字	簡体字
合肥市	合肥市
交集	共通部分 (数学)
常染色體	常染色体
啓	啓
簡歷	履歴書
蝴蝶效應	バタフライ効果
豐臣秀吉	豊臣秀吉
假名	仮名 (文字)
民律大全	ローマ法大全
白鱀豚	ヨウスコウカワイルカ
弦	弦 (数学)
平昌郡	平昌郡
泰國國際航空	タイ国際航空
北九州市	北九州市
匈奴	匈奴
孟子	孟子
曾國藩	曽国藩
桂林市	桂林市
海口市	海口市
無機化合物	無機化合物
域 (代數)	体 (数学)
海拔	高度
挪威廣播公司	ノルウェー放送協会
中原	中原
道	道 (哲学)
世界語維基大典	エスペラント版ウィキペディア
刺身	刺身
中泰國	タイ中部
高錳酸鉀	過マンガン酸カリウム
鴉片戰爭	阿片戦争
魔鬼之詩篇	悪魔の詩
有序對	順序対
金屬鍵	金属結合
書面挪威語維基大典	ノルウェー語版ウィキペディア
序數	順序数
南京大屠殺	南京事件 (1937年)
吳廷琰	ゴ・ディン・ジエム
複式記帳	複式簿記
麵	麺
路易斯安那購地案	ルイジアナ買収
扇	扇子
平安時代	平安時代
旦	天体の出没
韓信點兵	中国の剰余定理
梅涅勞斯定理	メネラウスの定理
無窮小	無限小
屏東縣	屏東県
彰化市	彰化市
單鏡筒反光相機	一眼レフカメラ
雙城子	ウスリースク
章炳麟	章炳麟
張飛	張飛
張郃	張コウ
張紘	張紘
張角	張角
張衡	張衡 (科学者)
張居正	張居正
憲法十七條	十七条憲法
張遼	張遼
張騫	張騫
張三丰	張三豊
張載	張載
張昭	張昭
張仲景	張機
趙 (釋義)	趙
趙	趙 (戦国)
趙雲	趙雲
浙江大學	浙江大学
鄭成功	鄭成功
鄭玄	鄭玄
鎮海區	鎮海区 (寧波市)
鍾會	鍾会
中和區	中和区
周敦頤	周敦頤
周公亶父	古公亶父
周泰	周泰
周瑜	周瑜
周作人	周作人
朱治	朱治
帝顓頊	センギョク
諸葛誕	諸葛誕
諸葛瑾	諸葛瑾
諸葛恪	諸葛恪
諸葛瞻	諸葛瞻
諸葛亮	諸葛亮
慶良間群島	慶良間諸島
大漢溪	大漢渓
壯學	チワン学
烏克蘭語維基大典	ウクライナ語版ウィキペディア
阿拉伯文維基大典	アラビア語版ウィキペディア
金孟加拉	我が黄金のベンガルよ
希伯來文維基大典	ヘブライ語版ウィキペディア
洞里薩湖	トンレサップ
賈姆謝德布爾	ジャムシェードプル
越南文維基大典	ベトナム語版ウィキペディア
負數	正の数と負の数
中醫	中国医学
高松市	高松市
中華人民共和國憲法	中華人民共和国憲法
王粲	王粲
提格兰二世	ティグラネス2世
珠江	珠江
泰西格致史	科学史
五帝	三皇五帝
瑪格麗特一世	マルグレーテ1世
日本國會	国会 (日本)
先哥倫布	先コロンブス期
英聯邦王國	英連邦王国
彼得一世島	ピョートル1世島
墓碑	墓石
十二銅表法	十二表法
李商隱	李商隠
漢魏武王	曹操
牛窗町	牛窓町
連江縣	連江県 (中華人民共和国)
斬首	斬首刑
垂直	垂直
冪集	冪集合
魚鉤	釣り針
齊齊哈爾市	チチハル市
椰蟹	ヤシガニ
俄文維基大典	ロシア語版ウィキペディア
平行公理	平行線公準
資治通鑒	資治通鑑
春武里府	チョンブリー県
西線無戰事	西部戦線異状なし
嘧啶	ピリミジン
泰王國歌	タイの国歌
冬至	冬至
中國中央電視臺	中国中央電視台
圖蘭朵	トゥーランドット
巴列維王朝	パフラヴィー朝
天皇	天皇
熱帶雨林氣候	熱帯雨林気候
袁世凱	袁世凱
北海市	北海市
袋鼠島	カンガルー島
阮世祖	嘉隆帝
君士坦丁堡普世宗主教區	コンスタンディヌーポリ総主教庁
辛普生沙漠	シンプソン砂漠
雷曼兄弟公司	リーマン・ブラザーズ
娜塔莎·北鼎斐	ナターシャ・ベディングフィールド
開集	開集合
測地線	測地線
塞瓦定理	チェバの定理
健陀羅	ガンダーラ
愛爾蘭共和國總統	アイルランドの大統領
內積空間	計量ベクトル空間
金奎植	金奎植
江戶	江戸
金九	金九
泰山	泰山
荀況	荀子
九江市	九江市
反氫	反水素
占婆	チャンパ王国
倒數	逆数
黃道兇賊	ゾディアック事件
陰陽五行	五行思想
盧溝橋事變	盧溝橋事件
關羽	関羽
龜	カメ
阮福晪	バオ・ダイ
元 (釋義)	元
空集	空集合
祖茂	祖茂
祖沖之	祖沖之
羅馬 (釋義)	ローマ (曖昧さ回避)
左氏春秋	春秋左氏伝
連通	連結グラフ
瀨戶內海	瀬戸内海
自由民主黨	自由民主党 (日本)
環	ループ
利瑪竇	マテオ・リッチ
原富	諸国民の富の性質と原因の研究
甘麻剌	カマラ (元朝)
技術分析	テクニカル分析
哆啦A夢	ドラえもん
宋卡府	ソンクラー県
甲米府	クラビー県
拉廊府	ラノーン県
伏羲	伏羲
宜蘭縣	宜蘭県
法家	法家
九龍	九龍
素叻府	スラートターニー県
成本	費用
桐艾府	トラート県
五代	五代十国時代
森理世	森理世
補集	差集合
靖國神社	靖国神社
博他侖府	パッタルン県
鹽田	塩田
班武里府	プラチュワップキーリーカン県
洛坤府	ナコーンシータンマラート県
春蓬府	チュムポーン県
新北市	新北市
臺中市	台中市
漢昭烈皇帝	劉備
干支	干支
三國志	三国志 (歴史書)
邁克學搖滾	Michael Learns to Rock
花蓮縣	花蓮県
金門縣	金門県
臺東縣	台東県
新竹市	新竹市
嘉義市	嘉義市
基隆市	基隆市
副省級市	副省級市
從眾	衆人に訴える論証
牢不可破之聯盟	ソビエト連邦の国歌
相似	図形の相似
夏世祖武烈皇帝	赫連勃勃
年號	元号
大韓高宗	高宗 (朝鮮王)
語序	語順
摩托羅拉	モトローラ
丁汝昌	丁汝昌
賢哲賽義巴巴	シルディ・サイ・ババ
雪景球	スノーグローブ
淨土宗	浄土教
伊麗莎白·史泰德	エリザベス・ストライド
聖德太子	聖徳太子
沈括	沈括
內湖區	内湖区
貴金屬	貴金属
懿德天皇	懿徳天皇
史記	史記
早稻田大學	早稲田大学
孫吳	呉 (三国)
論語	論語
泰華農民銀行	カシコーン銀行
姜維	姜維
尚眞王	尚真王
平清盛	平清盛
創意公用授權條款	クリエイティブ・コモンズ・ライセンス
澳洲聯邦銀行	オーストラリア・コモンウェルス銀行
海寧市	海寧市
拉臘·杜塔	ララ・ダッタ
小野田寬郎	小野田寛郎
清太宗	ホンタイジ
漢高皇后	呂雉
楊貴妃	楊貴妃
蔡琰	蔡エン
推古天皇	推古天皇
漢孝成班婕妤	班ショウヨ
清德宗	光緒帝
文徵明	文徴明
鎖國	孤立主義
戈登	チャールズ・ゴードン
清世祖	順治帝
清太祖	ヌルハチ
進數	P進数
卡拉卡拉敕令	アントニヌス勅令
明智光秀	明智光秀
綏靖天皇	綏靖天皇
阮攸	グエン・ズー
白居易	白居易
吳大帝	孫権
屈原	屈原
魏世祖文皇帝	曹丕
神農	神農
小淵惠三	小渕恵三
帝舜	舜
安寧天皇	安寧天皇
發勃耳	ジャン・アンリ・ファーブル
張國榮	レスリー・チャン
蔣經國	蒋経国
王維	王維
後醍醐天皇	後醍醐天皇
陶潛	陶淵明
桓武天皇	桓武天皇
林彪	林彪
清世宗	雍正帝
呂布	呂布
鴨脷洲	鴨リ洲
清穆宗	同治帝
韓愈	韓愈
王安石	王安石
德川吉宗	徳川吉宗
米芾	米フツ
拓撲閉包	閉包 (位相空間論)
閉集	閉集合
閉開集	開かつ閉集合
曹魏	魏 (三国)
作格	能格と絶対格
尖竹汶府	チャンタブリー県
陳省身	陳省身
第十五屆亞洲運動會	2006年アジア競技大会
覆蓋	被覆 (数学)
竭澤而漁	乱獲
廢藩置縣	廃藩置県
通格	絶対格
清仁宗	嘉慶帝
正親町天皇	正親町天皇
董卓	董卓
林語堂	林語堂
孫臏	孫ピン
杜牧	杜牧
孫堅	孫堅
石田三成	石田三成
大韓純宗	純宗 (朝鮮王)
朝鮮世祖	世祖 (朝鮮王)
歐陽脩	欧陽脩
清宣宗	道光帝
岳飛	岳飛
清文宗	咸豊帝
北柳府	チャチューンサオ県
羅勇府	ラヨーン県
袁紹	袁紹
柳宗元	柳宗元
包拯	包拯
大雪	大雪
新店區	新店区
八音	八音
阮景宗	同慶帝
司馬懿	司馬懿
福澤諭吉	福澤諭吉
安慶市	安慶市
安祿山	安禄山
六安市	六安市
呂不韋	呂不韋
武丁	武丁
陳獨秀	陳独秀
蒂邁歐篇	ティマイオス
土城區	土城区
魏 (釋義)	魏
崇明島	崇明島
魏徵	魏徴
藤原定家	藤原定家
夏侯惇	夏侯惇
曹仁	曹仁
坂本龍馬	坂本龍馬
王守仁	王陽明
魏烈祖明皇帝	曹叡
朝鮮太祖	李成桂
陸遜	陸遜
東明聖王	東明聖王
夏侯淵	夏侯淵
李鴻章	李鴻章
南唐後主	李イク
魏延	魏延
黃忠	黄忠
顧愷之	顧ガイ之
王羲之	王羲之
中秋	月見
李珥	李珥
光中帝	阮恵
梁啟超	梁啓超
尹鑴	尹ヒュー
霍去病	霍去病
孫策	孫策
范仲淹	范仲淹
墓	墓
沙繳府	サケーオ県
緊集	コンパクト空間
依善	イーサーン
龐統	ホウ統
冒頓單于	冒頓単于
高順	高順
海上花	フラワーズ・オブ・シャンハイ
成都雙流國際機場	成都双流国際空港
世說新語	世説新語
發翔羽	風切羽
赤腹蠑螈	アカハライモリ
南陽市	南陽市 (河南省)
臺南	台南
南投	南投
秋葉原	秋葉原
徐光啟	徐光啓
虹吸	サイフォン
南充市	南充市
北條時宗	北条時宗
鄧小平理論	トウ小平理論
藤原道長	藤原道長
阮聖祖	明命帝
戚繼光	戚継光
董仲舒	董仲舒
阮出帝	咸宜帝
托勒密定理	トレミーの定理
丸龜市	丸亀市
盧照鄰	盧照鄰
中山慶子	中山慶子
鄧麗君	テレサ・テン
北條政子	北条政子
漢光烈皇后	陰麗華
李清照	李清照
明成皇后	閔妃
殷墟	殷墟
阮福昭	成泰帝
夏帝履癸	桀
詩經	詩経
阮福晃	維新帝
秋瑾	秋瑾
阮簡宗	建福帝
阮福昇	協和帝
自斷	自切
足利義量	足利義量
戈公省	ココン州
效用	効用
阮翼宗	嗣徳帝
大月氏	月氏
吳三桂	呉三桂
甘寧	甘寧
元稹	元シン
嵇康	ケイ康
陳納德	クレア・リー・シェンノート
于禁	于禁
典韋	典韋
龐德	ホウ徳
馬超	馬超
周公旦	周公旦
太史慈	太史慈
阮弘宗	啓定帝
徐晃	徐晃
吳景帝	孫休
淩統	凌統
漢後主	劉禅
陳壽	陳寿
山口二矢	山口二矢
興宣獻懿大院君	興宣大院君
吳末帝	孫皓
吳會稽王亮	孫亮
商帝辛	帝辛
呂蒙	呂蒙
潘清簡	潘清簡
齊桓公	桓公 (斉)
劉表	劉表
商湯	天乙
噌汁	味噌汁
樂進	楽進
北港鎮	北港鎮
偏序	順序集合
康托爾定理	カントールの定理
長島區	ヤーオ島郡
新山一國際機場	タンソンニャット国際空港
晁衡	阿倍仲麻呂
安重根	安重根
朝鮮半島	朝鮮半島
電車	電車
和服	和服
遜尼派	スンナ派
朝鮮宣祖	宣祖
朝鮮孝宗	孝宗 (朝鮮王)
白翎島	白ニョン島
汝矣島純福音教會	汝矣島純福音教会
哥德巴赫猜想	ゴールドバッハの予想
韓國銀行	韓国銀行
三國遺事	三国遺事
坤輿萬國全圖	坤輿万国全図
社會教育放送	KBS韓民族放送
三國史記	三国史記
國家情報院	大韓民国国家情報院
鬱陵郡	鬱陵郡
朝鮮漢字	朝鮮における漢字
新羅真平王	真平王
尹元衡	尹元衡
李埈鎔	李埈鎔
趙光祖	趙光祖
李滉	李滉
國會議員	国会議員
崔致遠	崔致遠
摩爾體積	モル体積
丙子胡亂	丙子胡乱
丁卯胡亂	丁卯胡乱
傲遊瀏覽器	Maxthon
竹島 (鬱陵郡)	竹嶼
復旦大學	復旦大学
馬羅島	馬羅島
箕子	箕子
獎忠體育館	奨忠体育館
韓國國際廣播電臺	KBSワールドラジオ
日向礁	日向礁
牛島	牛島 (済州市)
西海岸高速道路	西海岸高速道路
交換日記	交換日記
世宗文化會館	世宗文化会館
朝鮮王朝實錄	朝鮮王朝実録
萌	萌え
琉璃明王	瑠璃明王
廣開土王	好太王
韓國放送公社	韓国放送公社
涼宮春日系列	涼宮ハルヒシリーズ
直轄市	直轄市
莎阿南	シャー・アラム
玉山	玉山 (台湾)
大嶼山	大嶼島
楚	楚 (春秋)
梅爾維爾島	メルヴィル島 (オーストラリア)
新	新
北太平洋露脊鯨	セミクジラ
海北藏族自治州	海北チベット族自治州
蒼龍	青竜
鶯歌區	鶯歌区
中庸	中庸
中國禮儀之爭	典礼論争
鳳凰	鳳凰
宋教仁	宋教仁
阮恭宗	育徳帝
中正紀念堂	中正紀念堂
阮憲祖	紹治帝
吳清源	呉清源
秦襄公	襄公 (秦)
真言宗	真言宗
初音未來	初音ミク
餛飩	ワンタン
星期四島	木曜島
教會羅馬字	白話字
滿寵	満寵
賈詡	賈ク
曹真	曹真
馬騰	馬騰
黃蓋	黄蓋
許慎	許慎
孔融	孔融
許褚	許チョ
司馬相如	司馬相如
魯肅	魯粛
吉田松陰	吉田松陰
嚴復	厳復
沈約	沈約
帕覺柯	ホセ・エミリオ・パチェーコ
泰文維基大典	タイ語版ウィキペディア
猫眼林克	リンク (ゲームキャラクター)
尼奧寵物	ネオペット
沙鹿區	沙鹿区
包頭市	包頭市
板橋區	板橋区 (新北市)
大化革新	大化の改新
平溪區	平渓区
瑞芳區	瑞芳区
三重區	三重区
三峽區	三峽区
樹林區	樹林区
永和區	永和区
楊維楨	楊維テイ
韓信	韓信
文天祥	文天祥
呂正操	呂正操
壬辰倭亂	文禄・慶長の役
魏鄧哀王	曹沖
小行星三千	レオナルド (小惑星)
軍曹	ケロロ軍曹
出雲國	出雲国
太平御覽	太平御覧
梁羽生	梁羽生
原口證	原口證
徐盛	徐盛
花崗岩島	グラニット島 (オーストラリア)
新界	新界
武漢天河國際機場	武漢天河国際空港
三字經	三字経
香港浸會大學	香港浸会大学
午餐肉	スパム
草書	草書体
呂底亞	リュディア
自焚	焼身自殺
廬山	廬山
老撾之歌	ラオスの国歌
格列飛列島	格列飛列島
謝靈運	謝霊運
夏禹	禹
藤原氏	藤原氏
漢 (釋義)	ハン
衡山	衡山
杭思朗	アームストロング
馬步芳	馬歩芳
香港語言學學會粵語拼音方案	香港語言学学会粤語ピン音方案
刀	中国刀
水龍頭	蛇口
沈葆楨	沈葆テイ
子拓撲	相対位相
廣州地鐵	広州地下鉄
車裂	八つ裂きの刑
嘉定區	嘉定区
金山區	金山区 (上海市)
性染色體	性染色体
斗六市	斗六市
算術基本定理	算術の基本定理
存活期	Time to live
稠密	稠密集合
崑曲	崑曲
流亡政府	亡命政府
古魯特島	グルートアイランド島
中文數字	漢数字
天主教輔仁大學	輔仁大学
武器貿易條約	武器貿易条約
Habanera	ハバネラ (アリア)
內田蝲蛄	タンカイザリガニ
龜船	亀甲船
永樂大典	永楽大典
諡	諡
陽明學	陽明学
國立中正大學	国立中正大学
劉劭	劉劭
大東諸島	大東諸島
佟麟閣	トウ麟閣
閔子騫	閔子騫
曹休	曹休
中央廣播電臺	台湾国際放送
魏陳思王	曹植
吳起	呉起
周文王	文王 (周)
軒轅劍系列	軒轅剣シリーズ
李時珍	李時珍
東沙	東沙諸島
王平	王平
昭儀	昭儀
杜月笙	杜月笙
劉基	劉基
張勳	張勲 (清末民初)
曹爽	曹爽
朝鮮八道	朝鮮八道
陳勝	陳勝
曹彰	曹彰
杭州灣	杭州湾
高雄捷運	高雄捷運
和珅	和シン
劉封	劉封
王昭君	王昭君
韓服	韓服
劉基 (孫吳)	劉基 (呉)
陳子昂	陳子昂
曹純	曹純
李典	李典
張良	張良
衛青	衛青
衛滿	衛満
杜如晦	杜如晦
施琅	施琅
聶榮臻	聶栄臻
傳習錄	伝習録
仁安 (渤海國)	仁安 (渤海)
張靈甫	張霊甫
劉綎	劉テイ (明)
李嚴	李厳
吳景	呉景
漢楚元王	劉交
李密令伯	李密 (蜀)
齊太公	呂尚
陳武	陳武
唐景崧	唐景崧
宗愛	宗愛
朝香鳩彥	朝香宮鳩彦王
劉伯承	劉伯承
韓當	韓当
滷肉飯	魯肉飯
劉繇	劉ヨウ (揚州牧)
漢吳王濞	劉ビ
臭豆腐	臭豆腐
泉蓋蘇文	淵蓋蘇文
王戎	王戎
潘璋	潘璋
金蛙王	金蛙王
魏忠賢	魏忠賢
劉琦	劉キ
劉焉	劉焉
衛滿朝鮮	衛氏朝鮮
鄭迵	謝名利山
蒼南縣	蒼南県
王昌齡	王昌齢
李陵	李陵
段祺瑞	段祺瑞
中國醫藥大學	中国医薬大学
臺灣高速鐵路	台湾高速鉄道
臺灣問題	台湾問題
漢孝成趙皇后	趙飛燕
太平公主	太平公主
健行科技大學	健行科技大学
劉岱	劉岱 (東莱)
威化島	威化島
漢代頃侯	劉喜 (代王)
王淩	王凌
王連	王連
劉曄	劉曄
劉琰	劉エン (威碩)
陳震	陳震
國立成功大學	国立成功大学
梅堯臣	梅尭臣
魏中山恭王	曹袞
劉伶	劉伶
劉禹錫	劉禹錫
黃興	黄興
富春山居圖	富春山居図
張自忠	張自忠
王翦	王翦
韓世忠	韓世忠
魏沛穆王	曹林
趙括	趙括
于謙	于謙
賈似道	賈似道
張溫	張温 (孫呉)
裴秀	裴秀
徐繼畬	徐継ヨ
三省六部	三省六部
劉琮	劉ソウ
魏燕王宇	曹宇
黃金坪島	黄金坪
陶鑄	陶鋳
王之渙	王之渙
國立中興大學	国立中興大学
玄菟郡	玄菟郡
劉銘傳	劉銘伝
文湖線	台北捷運文湖線
方孝孺	方孝孺
閩太祖	王審知
濁水溪	濁水渓
草屯鎮	草屯鎮
韓侂胄	韓タク冑
虎尾鎮	虎尾鎮
雍正	雍正
黃庭堅	黄庭堅
劉永福	劉永福
斗南鎮	斗南鎮
彭佳嶼	彭佳嶼
裴松之	裴松之
西螺鎮	西螺鎮
高孝瓘	高長恭
曹氏	曹氏
張悌	張悌
大正民主	大正デモクラシー
魏陳留恭王	曹峻
楊慎	楊慎
劉太公	劉太公
潘濬	潘濬
張承	張承 (孫呉)
黃家駒	ウォン・カークイ
宋哲元	宋哲元
張休	張休
漢齊悼惠王	劉肥
紀昀	紀イン
陳慶之	陳慶之
張耳	張耳
鄭燮	鄭燮
崔忠獻	崔忠献
王敦	王敦
公共電視臺	公共電視文化事業基金会
陳餘	陳余
李如松	李如松
擔仔麵	担仔麺
韓王信	韓王信
國立臺灣師範大學附屬高級中學	国立台湾師範大学附属高級中学
韓綜	韓綜
宋璟	宋エイ
張九齡	張九齢
尹默	尹黙
吳質	呉質
漢孝平王皇后	王皇后 (漢平帝)
漢孝惠皇后	張皇后 (漢恵帝)
趙奢	趙奢
齊丁公	丁公 (斉)
世界新七大奇蹟	新・世界七不思議
國立政治大學	国立政治大学
宋濂	宋濂
員林鎮	員林鎮
平鎮區	平鎮区
屏東市	屏東市
崔琰	崔エン
陳表	陳表
李通	李通 (文達)
鑒真	鑑真
季羨林	季羨林
清明上河圖	清明上河図
臺北捷運	台北捷運
延邊州	延辺朝鮮族自治州
袁崇煥	袁崇煥
崔顥	崔コウ
李善蘭	李善蘭
溪湖鎮	渓湖鎮
桃園區	桃園区
中國朝鮮族	朝鮮族
李悝	李克
日月潭	日月潭
桃花島	桃花島
李太祖	李公蘊
王翰	王翰
龜山島	亀山島
攀牙灣	パンガー湾
裴度	裴度
南漢高祖	劉ゲン
開城車驛	開城駅
太陽餅	太陽餅
張世傑	張世傑
漢戾太子據	劉拠
丘逢甲	丘逢甲
色戒	ラスト、コーション
清明	清明
釣魚嶼	魚釣島
墨家	墨家
拓撲量子場論	位相的場の理論
帝嚳	コク
印地文維基大典	ヒンディー語版ウィキペディア
琴	古琴
範空間	ノルム線型空間
有界	有界
呂氏春秋	呂氏春秋
乃蠻	ナイマン
秦檜	秦檜
帝乙	帝乙
鎮	鎮
孫河	孫河
丁奉	丁奉
蘇我入鹿	蘇我入鹿
郭淮	郭淮
