Aphrika	アフリカ
336	336年
334	334年
266	266年
Saqmanakuy	ボクシング
261	261年
470	470年
349	349年
271	271年
275	275年
292	292年
296	296年
345	345年
431	431年
380 watakuna	380年代
304	304年
550	550年
586	586年
588	588年
554	554年
229	229年
583	583年
265	265年
263	263年
585	585年
582	582年
556	556年
420	420年
280	280年
581	581年
558	558年
302	302年
309	309年
353	353年
335	335年
367	367年
344	344年
245	245年
290	290年
449	449年
308	308年
255	255年
439	439年
319	319年
318	318年
299	299年
419	419年
416	416年
338	338年
310	310年
315	315年
359	359年
360	360年
273	273年
286	286年
Ruquna	ナイフ
FC Schalke 04	シャルケ04
288	288年
Carlos V	カール5世 (神聖ローマ皇帝)
278	278年
455	455年
577	577年
575	575年
482	482年
486	486年
580	580年
567	567年
564	564年
561	561年
328	328年
325	325年
317	317年
574	574年
566	566年
249	249年
348	348年
442	442年
443	443年
267	267年
244	244年
248	248年
343	343年
562	562年
417	417年
268	268年
Diyula simi	ジュラ語
590	590年
269	269年
499	499年
409	409年
405	405年
406	406年
403	403年
414	414年
411	411年
412	412年
560	560年
592	592年
Siwra	シマウマ
276	276年
Miskita	モスク
314	314年
323	323年
366	366年
362	362年
545	545年
531	531年
514	514年
513	513年
539	539年
538	538年
519	519年
516	516年
520	520年
522	522年
528	528年
506	506年
526	526年
507	507年
214	214年
213	213年
212	212年
Chahta simi	チョクトー語
228	228年
227	227年
149	149年
174	174年
Bemba simi	ベンバ語
189	189年
199	199年
Dzonkha simi	ゾンカ語
141	141年
132	132年
125	125年
123	123年
147	147年
Bantu rimaykuna	バントゥー語群
144	144年
198	198年
178	178年
177	177年
Urin anti asya rimaykuna	オーストロアジア語族
187	187年
195	195年
Wallpasqa simi	人工言語
186	186年
347	347年
620	620年
Siwuyanu simi	セブアノ語
Bambara simi	バンバラ語
624	624年
605	605年
629	629年
Chinchay	オセロット
616	616年
615	615年
Chichewa simi	チェワ語
644	644年
646	646年
633	633年
637	637年
Phiyi simi	フィジー語
436	436年
434	434年
Drawida rimaykuna	ドラヴィダ語族
293	293年
427	427年
185	185年
360 watakuna	360年代
Chuwash simi	チュヴァシ語
321	321年
Ganda simi	ガンダ語
327	327年
430	430年
Tsalaki simi	チェロキー語
Kri simi	クリー語
Leon Trotsky	レフ・トロツキー
Algonkin rimaykuna	アルゴンキン語族
447	447年
Little Rock (Arkansas)	リトルロック (アーカンソー州)
569	569年
568	568年
444	444年
IUPAC	国際純正・応用化学連合
796	796年
Fula simi	フラニ語
Yupa huqariy	冪乗
798	798年
793	793年
Eugène Delacroix	ウジェーヌ・ドラクロワ
685	685年
Hartford (Connecticut)	ハートフォード (コネチカット州)
799	799年
683	683年
Musiyu	博物館
274	274年
Dover (Delaware)	ドーバー (デラウェア州)
579	579年
Iranu rimaykuna	イラン語群
281	281年
Lak'ota simi	ラコタ語
306	306年
438	438年
Yawa simi	ジャワ語
297	297年
421	421年
298	298年
Hawayi simi	ハワイ語
Rwanda simi	ルワンダ語
351	351年
Indu rimaykuna	インド語派
Igbo simi	イボ語
352	352年
Rundi simi	ルンディ語
Kikuyu simi	キクユ語
355	355年
Hatun panda	ジャイアントパンダ
Yuraq ukumari	ホッキョクグマ
95	95年
94	94年
Irukisa rimaykuna	イロコイ語族
594	594年
542	542年
448	448年
445	445年
305	305年
234	234年
565	565年
Chukcha quyllur	ウミユリ綱
Otomanki rimaykuna	オト・マンゲ語族
Kannada simi	カンナダ語
381	381年
385	385年
Kongo simi	コンゴ語
Nilusaharu rimaykuna	ナイル・サハラ語族
553	553年
307	307年
584	584年
Mapudungun simi	マプチェ語
346	346年
257	257年
Maya rimaykuna	マヤ語族
Illap'u	雷
285	285年
591	591年
Mungul rimaykuna	モンゴル諸語
289	289年
Bertrand Russell	バートランド・ラッセル
Maki	手
T'u Fu	杜甫
563	563年
Kanaki	ニューカレドニア
252	252年
Oriya simi	オリヤー語
Edmund Hillary	エドモンド・ヒラリー
Nipali simi	ネパール語
Niqir Kungu rimaykuna	ニジェール・コンゴ語族
595	595年
246	246年
Oromo simi	オロモ語
Theodore Roosevelt	セオドア・ルーズベルト
Anishinapay simi	オジブウェー語
596	596年
Makhuwa simi	マクア語
593	593年
357	357年
573	573年
Uluru	ウルル
Simun Pidru	ペトロ
Buliwyapi Jesuita Misyunkuna	ボリビアのイエズス会伝道所
Chikusluwakya	チェコスロバキア
Nice	ニース
Usit simi	オセット語
Raphi	葉腋
Jules Verne	ジュール・ヴェルヌ
Niwari simi	ネパール・バサ語
Valparaíso	バルパライソ
Sindi simi	シンド語
Aranway pukllaq	俳優
Sunda simi	スンダ語
Shona simi	ショナ語
Marañun sach'a	カシューナッツ
Samwa simi	サモア語
Marlon Brando	マーロン・ブランド
Swasi simi	スワジ語
Phaqcha	滝
559	559年
599	599年
326	326年
Tagalu simi	タガログ語
Yitzhak Rabin	イツハク・ラビン
341	341年
Tibetu birmanu rimaykuna	チベット・ビルマ語派
322	322年
Tupi rimaykuna	トゥピ語族
Utu astika rimaykuna	ユト・アステカ語族
Justin Bieber	ジャスティン・ビーバー
Turku rimaykuna	テュルク諸語
Tonga simi	トンガ語 (ポリネシア)
Champi	青銅
Liyun simi	レオン語
Fargo (North Dakota)	ファーゴ (ノースダコタ州)
Oaxaka	オアハカ州
Ural rimaykuna	ウラル語族
386	386年
Tahiti simi	タヒチ語
Tiñiqi	円柱 (数学)
Tswana simi	ツワナ語
374	374年
380	380年
Tay kaday rimaykuna	タイ・カダイ語族
Mantikilla	バター
Luba simi	ルバ語
Dyusmanta yachay	神学
Siyu rimaykuna	スー語族
Yanomami	ヤノマミ族
Pablo Neruda	パブロ・ネルーダ
Yasser Arafat	ヤーセル・アラファート
Oxford	オックスフォード
136	136年
Wolof simi	ウォロフ語
Port au Prince	ポルトープランス
Tibet simi	チベット語
Alliwillay	福音書
Alexander Graham Bell	アレクサンダー・グラハム・ベル
Woodrow Wilson	ウッドロウ・ウィルソン
Yoruba simi	ヨルバ語
370 watakuna	370年代
Ñengatu	ニェエンガトゥ語
Sesotho simi	ソト語
Rotterdam	ロッテルダム
Kriti	クレタ島
Waqachina	楽器
Yuku	ハクチョウ属
T'arta	石鹸
New Orleans (Louisiana)	ニューオーリンズ
Benazir Bhutto	ベーナズィール・ブットー
Shakira	シャキーラ
Oxford Yachay Suntur	オックスフォード大学
Ñan	道路
Boris Yeltsin	ボリス・エリツィン
Ñit'isqa phiruru	コンパクトディスク
Hirohito	昭和天皇
Pillwinkumpa	ヘリコプター
Mutur phirunku	オートバイ
Hatun mayu khuchi	カバ
Kuyuq rikch'a waqaychana allwiya	ビデオ
382	382年
342	342年
373	373年
372	372年
Ichirō Mizuki	水木一郎
Paqariy	分娩
Ruk'ana	指
Kyōto	京都市
Chunkantin Kamachiykuna	モーセの十戒
1980 watakuna	1980年代
Kristiyanu inlisya	教会
1990 watakuna	1990年代
Joanne K. Rowling	J・K・ローリング
Hiroshima	広島市
Albert Camus	アルベール・カミュ
Aqu	砂
Waysallpu	バラ
Kingston	キングストン (ジャマイカ)
Rikch'ayrimana	形容詞
Misti hawar	ヒョウ
Salzburg	ザルツブルク
Sinqawaqra	サイ
Suyu rikuchiq	方位磁針
Rikch'ana	属 (分類学)
Rudyard Kipling	ラドヤード・キップリング
Yaqa wat'a	半島
Friedrich Engels	フリードリヒ・エンゲルス
Sinkiyan Uyq'ur	新疆ウイグル自治区
Musuq Wata	新年
Santo Domingo llaqta	サントドミンゴ
Tequixquiac	テキシキアック
Elizabeth Taylor	エリザベス・テイラー
Oklahoma llaqta	オクラホマシティ
Papaya	パパイア
375	375年
Brisbane	ブリスベン
Benjamin Franklin	ベンジャミン・フランクリン
Isaac Asimov	アイザック・アシモフ
Kimsantin llaqta	トリニダ (ボリビア)
Kuwiha	コビハ
Tarija	タリハ
1970 watakuna	1970年代
2000 watakuna	2000年代
Copacabana	コパカバーナ
Orthodoksa Inlisya	正教会
Putusi	ポトシ
Agatha Christie	アガサ・クリスティ
Noemi (takiq)	ノエミ (歌手)
Wilhelm Conrad Röntgen	ヴィルヘルム・レントゲン
Odisya	オデュッセイア
Rirpu	鏡
Ido	イド語
Satanas	サタン
Uru Uru	オルロ
Puma	ピューマ
44 kñ	紀元前44年
387	387年
Titiqaqa qucha	チチカカ湖
Rikch'aq ayllu	科 (分類学)
Wintana	窓
Madina	マディーナ
Garifuna simi	ガリフナ語
242 kñ	紀元前242年
248 kñ	紀元前248年
Mach'ay	洞窟
258 kñ	紀元前258年
257 kñ	紀元前257年
Alsi	ヘラジカ
253 kñ	紀元前253年
246 kñ	紀元前246年
245 kñ	紀元前245年
Chapaq	警察
249 kñ	紀元前249年
252 kñ	紀元前252年
Paul Cézanne	ポール・セザンヌ
240 kñ	紀元前240年
254 kñ	紀元前254年
256 kñ	紀元前256年
251 kñ	紀元前251年
Hokkaido	北海道
250 kñ	紀元前250年
244 kñ	紀元前244年
243 kñ	紀元前243年
255 kñ	紀元前255年
Awirinri	ショウガ
Nobel Suñay Qasikaypi	ノーベル平和賞
Hatun chullunku	氷河
Uturunku	ジャガー
1930 watakuna	1930年代
1960 watakuna	1960年代
1920 watakuna	1920年代
Rimana huñunakuy	議会
Imayay	物質
Ōsaka	大阪市
247 kñ	紀元前247年
Boise (Idaho)	ボイシ
Cambridge Yachay Suntur	ケンブリッジ大学
Ruraq atiy	行政
Baruch Spinoza	バールーフ・デ・スピノザ
Uhu	咳嗽
Yamt'a	薪
259 kñ	紀元前259年
Achhi	くしゃみ
Puñuy	睡眠
Bawtisay	洗礼
Qharqayuy	気管支喘息
Wamp'u	ボート
Waraniyi simi	グアラニー語
Aral qucha	アラル海
Yarawisqu	ギンネム
Sport Club Corinthians Paulista	コリンチャンス
Interlingua	インターリングア
Pulinisya	ポリネシア
İzmir	イズミル
Mercedes-Benz	メルセデス・ベンツ
Ho Chi Minh	ホー・チ・ミン
Lwiw	リヴィウ
Sawsi	ヤナギ
Minneapolis (Minnesota)	ミネアポリス
Muwriy simi	モシ語
Charles Bronson	チャールズ・ブロンソン
Muhammad Ali	モハメド・アリ
Allpa	土壌
Igu	イチジク
Tantachisqa	集合
Qillqaq	著作家
Siligo	シーリゴ
Nihunpi pacha kuyuy (2011)	東北地方太平洋沖地震
Puerto Montt	プエルトモント
Lingala simi	リンガラ語
Sutip rantin	代名詞
Václav Havel	ヴァーツラフ・ハヴェル
Malayalam simi	マラヤーラム語
Hanllalli	母音
Karu kay	長さ
Kawsay qillqa	伝記
1950 watakuna	1950年代
Salta llaqta	サルタ
Calgary	カルガリー
Paqu ukumari	ヒグマ
Musquy	夢
Kurdi simi	クルド語
Lothar Matthäus	ローター・マテウス
Hatun ukucha	クマネズミ属
Chawpi tuta	深夜
Aberdeen	アバディーン
Porto	ポルト
Katharina II	エカチェリーナ2世
Mawri simi	マオリ語
Hak'u	穀粉
Qhapaq Liyun	ライオン・キング
K'iché simi	キチェ語
Iyun	イオン
Waranqawata	ミレニアム
Francis Drake	フランシス・ドレーク
Ruranakuy	化学反応
P'ukuru	オーブン
1940 watakuna	1940年代
1900 watakuna	1900年代
1910 watakuna	1910年代
Den Haag	デン・ハーグ
Rikch'aq ñiqi	目 (分類学)
Gurila	ゴリラ
Q'itayay	売春
Ben Tre	ベンチェ
Mitan kamaypaq suti	学名
Rikch'a kapchiy	視覚芸術
Yuguslawya	ユーゴスラビア
Mamut	マンモス
Rikch'aq suyu	界 (分類学)
Novial simi	ノヴィアル
Aung San Suu Kyi	アウンサンスーチー
Rapanuy simi	ラパ・ヌイ語
Huwanpa qillqasqan	ヨハネによる福音書
Punku	扉
Taraska simi	タラスコ語
Tawak'uchu	四角形
Takichaq	作曲家
Sillu	爪
Mama simi	母語
Urqu wichay	登山
Achiksamaytu	オゾン
Salvador (Bahia)	サルヴァドール
Lliqti unquy	ハンセン病
Chaku	狩猟
Toshiro Mifune	三船敏郎
Uya	顔
Thomas Mann	トーマス・マン
Tallahassee (Florida)	タラハシー (フロリダ州)
Kachariy	独立
José Saramago	ジョゼ・サラマーゴ
Alexander Fleming	アレクサンダー・フレミング
Bismarck (North Dakota)	ビスマーク (ノースダコタ州)
Takarpucha	釘
Uliw	オリーブ
Kimsantin Dyus	三位一体
Awklanda	オークランド (ニュージーランド)
Siwk siq'i	直線
331	331年
365	365年
Iñuku huk'i	原子核
Palta	アボカド
379	379年
Pillunya	波動
Luiz Inácio Lula da Silva	ルイス・イナシオ・ルーラ・ダ・シルヴァ
Puka yawar kawsaykuq	赤血球
Robert Koch	ロベルト・コッホ
Giza hatun chuntu	ギザの大ピラミッド
Raqta	径
Yachachiq	教員
Qillqay	筆記
Juan Pawlu I	ヨハネ・パウロ1世 (ローマ教皇)
Piluta Hayt'ay Pachantin Kupa 2006	2006 FIFAワールドカップ
Ch'uya Ispiritu	聖霊
Lublin	ルブリン
John Michael Talbot	ジョン・マイケル・タルボット
Arara	アララ (パライバ州)
Inchik	ラッカセイ
Francis Bacon	フランシス・ベーコン (哲学者)
Pachak	100
Qunqur	膝
Pacha phuyu	霧
Qhawana q'ispillu	眼鏡
Ninachaq	マッチ
Rikch'aq sinri	綱 (分類学)
Uwas misk'i	グルコース
Ashkamanya (pacha tupuy)	多角形
Chikchi	雹
David Ben-Gurion	ダヴィド・ベン＝グリオン
Luciano Pavarotti	ルチアーノ・パヴァロッティ
43 kñ	紀元前43年
Qhatu	市場
Campora San Giovanni	カンポラ・サン・ジョヴァンニ
Francisco Solano López	フランシスコ・ソラーノ・ロペス
Llipipipiq q'aytu	絹
Paul Gauguin	ポール・ゴーギャン
Awqaq suyu	陸軍
Runayupay	人口統計学
Besançon	ブザンソン
Charlottep Llikan (kuyuchisqa siq'isqa)	シャーロットのおくりもの (1973年の映画)
Milwaukee (Wisconsin)	ミルウォーキー
Altay rimaykuna	アルタイ諸語
Laqu	藻類
Nobel Suñay Simi Kapchiypi	ノーベル文学賞
Chaski unanchana	切手
Kumar	サツマイモ
Sapporo	札幌市
Gregor Mendel	グレゴール・ヨハン・メンデル
Akihito	明仁
63 kñ	紀元前63年
St. Louis (Missouri)	セントルイス
Kunkawaki	子音
Paraíba suyu	パライバ州
Yawatisuyu	ガラパゴス諸島
Nobel Suñay Pachaykamaypi	ノーベル物理学賞
Leonardo DiCaprio	レオナルド・ディカプリオ
Sach'a kamay	林業
Daniel Radcliffe	ダニエル・ラドクリフ
31 kñ	紀元前31年
Helen Keller	ヘレン・ケラー
Nagasaki	長崎市
Yokohama	横浜市
Rimana yachay	形態論
1840 watakuna	1840年代
Alexandre Dumas	アレクサンドル・デュマ・ペール
Rikch'aq putu	門 (分類学)
Angers	アンジェ
William Faulkner	ウィリアム・フォークナー
Columbia (South Carolina)	コロンビア (サウスカロライナ州)
Romano Prodi	ロマーノ・プローディ
Turku	トゥルク
Hunu	1000000
Santa Fe (Musuq Mishiku)	サンタフェ (ニューメキシコ州)
São Paulo Futebol Clube	サンパウロFC
Diwanaqri siq'i llumpa	デーヴァナーガリー
1880 watakuna	1880年代
Helena (Montana)	ヘレナ (モンタナ州)
Bertolt Brecht	ベルトルト・ブレヒト
Bío-Bío Yachay Suntur	ビオ＝ビオ大学
Ruhollah Khomeini	ルーホッラー・ホメイニー
Heavy metal	ヘヴィメタル
Ruphariy	発熱
4 kñ	紀元前4年
Teide	テイデ山
1890 watakuna	1890年代
100 kñ	紀元前100年
Minas Gerais suyu	ミナスジェライス州
Leeds	リーズ
8 kñ	紀元前8年
Ukucha	ハツカネズミ属
P'ulin	体積
Killmu	オレンジ色
Chanpi	斧
Sochi	ソチ
Ronaldinho	ロナウジーニョ
1830 watakuna	1830年代
Qharastaq	トラクター
Pará suyu	パラー州
Gamal Abdel Nasser	ガマール・アブドゥル＝ナーセル
Ruwana	道具
Ñit'iy	圧力
Michael Phelps	マイケル・フェルプス
1800 watakuna	1800年代
Antoine Lavoisier	アントワーヌ・ラヴォアジエ
Ayamarka	墓地
Hampikamayuq	医師
Nicolas Appert	ニコラ・アペール
14 kñ	紀元前14年
27 kñ	紀元前27年
Makiduniya	マケドニア (曖昧さ回避)
Des Moines (Iowa)	デモイン (アイオワ州)
Pharu	灯台
Qispichiqkuna (kuyuchisqa siq'isqa)	ビアンカの大冒険
Aqunqhawaq	アコンカグア
19 kñ	紀元前19年
Mario Vargas Llosa	マリオ・バルガス・リョサ
Qhichwa	谷
3 kñ	紀元前3年
Runa yupay	国勢調査
1860 watakuna	1860年代
1870 watakuna	1870年代
Khallwa	ツバメ科
Pintikustis	ペンテコステ
Wara	ズボン
Chunkawata	10年紀
Almindru	アーモンド
Pierre-Auguste Renoir	ピエール＝オーギュスト・ルノワール
Lukaspa qillqasqan	ルカによる福音書
Veda	ヴェーダ
58 kñ	紀元前58年
Gela	ジェーラ
Hanyang Yachay Suntur	漢陽大学校
Concepción pruwinsya	コンセプシオン県 (チリ)
Inti micha	太陽エネルギー
52 kñ	紀元前52年
Urin Hatunmayu suyu	リオグランデ・ド・スル州
Amarumayu suyu (Brasil)	アマゾナス州
Upyana	飲料
Wakichi	プログラム (コンピュータ)
Urdun mayu	ヨルダン川
6 kñ	紀元前6年
34 kñ	紀元前34年
Challaku	砂浜
Kusasqa tika	煉瓦
Will Smith	ウィル・スミス
Lunp'u	楕円
Ceará suyu	セアラー州
Amapá suyu	アマパー州
59 kñ	紀元前59年
57 kñ	紀元前57年
Pulpu	タコ
Ratata	溶岩
Wanqhana	てこ
Hobart	ホバート
1810 watakuna	1810年代
Akllanakuy	選挙
Manaus	マナウス
Porto Alegre	ポルト・アレグレ
Miray	乗法
Ñukini	ニューギニア島
Atuqwan Allquwan (kuyuchisqa siq'isqa)	きつねと猟犬
Apustulkunap rurasqankuna	使徒言行録
Taripay amachaq	弁護士
Samk'ay wasi	刑務所
Sahara Arabya Dimukrata Republika	サハラ・アラブ民主共和国
5 kñ	紀元前5年
Kawsaykuq tantalli	組織 (生物学)
23 kñ	紀元前23年
Bahia suyu	バイーア州
Buffalo (New York)	バッファロー (ニューヨーク州)
Joan Crawford	ジョーン・クロフォード
John Wayne	ジョン・ウェイン
Thirty Seconds to Mars	サーティー・セカンズ・トゥー・マーズ
Kumunista Maniphistu	共産党宣言
Édouard Manet	エドゥアール・マネ
Rumiyasqa	化石
Dilma Rousseff	ジルマ・ルセフ
Pierre (South Dakota)	ピア (サウスダコタ州)
Qichuy	減法
Muru	種子
65 kñ	紀元前65年
Aqri suyu	アクレ州
Runa kuchuy	外科学
29 kñ	紀元前29年
Tampere	タンペレ
Chakana	十字
Ruturina	はさみ
Edward Jenner	エドワード・ジェンナー
Allpa wapsi	天然ガス
Pachar	大理石
Miyu	毒
53 kñ	紀元前53年
90 kñ	紀元前90年
Q'icha	下痢
Carson City (Nevada)	カーソンシティ (ネバダ州)
Alagoas suyu	アラゴアス州
Dumbo	ダンボ
Werner Heisenberg	ヴェルナー・ハイゼンベルク
Virginia Woolf	ヴァージニア・ウルフ
Frank Sinatra	フランク・シナトラ
7 kñ	紀元前7年
9 kñ	紀元前9年
Ispa	尿
1850 watakuna	1850年代
María Eva Duarte	エバ・ペロン
Pernambuco suyu	ペルナンブーコ州
Daniel Defoe	ダニエル・デフォー
Anhui pruwinsya	安徽省
32 kñ	紀元前32年
91 kñ	紀元前91年
Orangutan	オランウータン
Mat'i	額
Topeka (Kansas)	トピカ (カンザス州)
Salmukuna	詩篇
Mungul suyu ukhupi	内モンゴル自治区
Wanthi unquy	梅毒
Raleigh (North Carolina)	ローリー (ノースカロライナ州)
Sulla	露
Waq'akay	統合失調症
Santa Catarina suyu	サンタカタリーナ州
84 kñ	紀元前84年
48 kñ	紀元前48年
Táchira suyu	タチラ州
26 kñ	紀元前26年
Apure suyu	アプレ州
70 kñ	紀元前70年
55 kñ	紀元前55年
11 kñ	紀元前11年
Cortina d'Ampezzo	コルティーナ・ダンペッツォ
Puytu	菱形
Wasichay	建築物
Alaymuska rumi	花崗岩
Hailé Selassié I	ハイレ・セラシエ1世
Q'illay kañina	硬貨
San Juan (Burinkin)	サンフアン (プエルトリコ)
69 kñ	紀元前69年
16 kñ	紀元前16年
Emilio Butragueño	エミリオ・ブトラゲーニョ
35 kñ	紀元前35年
13 kñ	紀元前13年
Andriy Shevchenko	アンドリー・シェフチェンコ
Bydgoszcz	ブィドゴシュチュ
Heinrich Hertz	ハインリヒ・ヘルツ
Nottingham	ノッティンガム
Henri Becquerel	アンリ・ベクレル
John Dalton	ジョン・ドルトン
Riwista	雑誌
Franz Liszt	フランツ・リスト
Bobby Fischer	ボビー・フィッシャー
17 kñ	紀元前17年
Linz	リンツ
67 kñ	紀元前67年
88 kñ	紀元前88年
96 kñ	紀元前96年
54 kñ	紀元前54年
87 kñ	紀元前87年
Mama aqha	酢
24 kñ	紀元前24年
77 kñ	紀元前77年
José Luis Rodríguez Zapatero	ホセ・ルイス・ロドリゲス・サパテロ
Federico García Lorca	フェデリコ・ガルシーア・ロルカ
Chupi	スープ
Borussia Dortmund	ボルシア・ドルトムント
Michael Jordan	マイケル・ジョーダン
Rio de Janeiro suyu	リオデジャネイロ州
Uquti unquy	痔
Taripay suntur	裁判所
Moysespa kimsa ñiqin qillqasqan	レビ記
Saphi	根
Yunka mut'uy	ゴールデンキャンドル
Stanford Yachay Suntur	スタンフォード大学
60 kñ	紀元前60年
Frank Lampard	フランク・ランパード
Miqu	デンプン
56 kñ	紀元前56年
98 kñ	紀元前98年
51 kñ	紀元前51年
Wiru	パイプ
Rodospi Kolossos	ロドス島の巨像
Nicolas Poussin	ニコラ・プッサン
Jacques Offenbach	ジャック・オッフェンバック
Pacha q'uñichiy	温室効果
Julia Gillard	ジュリア・ギラード
Hamlet	ハムレット
Hua Guofeng	華国鋒
Goiás suyu	ゴイアス州
Świnoujście	シフィノウイシチェ
Kulantru	コリアンダー
Sikuanalisis	精神分析学
K'awchisuyt'u	トガリネズミ
81 kñ	紀元前81年
62 kñ	紀元前62年
95 kñ	紀元前95年
71 kñ	紀元前71年
97 kñ	紀元前97年
Hendrik Lorentz	ヘンドリック・ローレンツ
Fujian pruwinsya	福建省
T'impuy	茹でる
Emiliano Zapata	エミリアーノ・サパタ
P'uchquy	発酵
Hunt'a rimay	文
K'isura	グラム
86 kñ	紀元前86年
80 kñ	紀元前80年
Llasaq yawar	高血圧
Paul Newman	ポール・ニューマン
Reims	ランス (マルヌ県)
74 kñ	紀元前74年
64 kñ	紀元前64年
99 kñ	紀元前99年
76 kñ	紀元前76年
79 kñ	紀元前79年
61 kñ	紀元前61年
Babilunpa warkhuq muyankuna	バビロンの空中庭園
50 kñ	紀元前50年
Pariwana	フラミンゴ
Talkawanu	タルカワノ
Szombathely	ソンバトヘイ
Anwar Sadat	アンワル・アッ＝サーダート
Huwanpa Apokalipsisnin	ヨハネの黙示録
Paqu yachaq	シャーマニズム
Gobi	ゴビ砂漠
Kaqlla simi	類義語
Siki	尻
Kawitu	ベッド
Umalliq ranti	副大統領
82 kñ	紀元前82年
Hainan pruwinsya	海南省
Much'aykusqayki Mariya	アヴェ・マリア
Caravaggio	ミケランジェロ・メリージ・ダ・カラヴァッジオ
Ruray	仕事 (物理学)
149 kñ	紀元前149年
101 kñ	紀元前101年
Ichhuna	鎌
K'uskiykuy	研究
Ninat'uru	マグマ
Arsi	カエデ
Thansa	低木
Ch'aqu	粘土
Piyu XI	ピウス11世 (ローマ教皇)
Qaqa paluma	カワラバト
Millma	ウール
Purutu	インゲンマメ
Chuqu	円錐
83 kñ	紀元前83年
92 kñ	紀元前92年
93 kñ	紀元前93年
94 kñ	紀元前94年
78 kñ	紀元前78年
Maranhão suyu	マラニョン州
Kakaw	カカオ
Gansu pruwinsya	甘粛省
Yuraq yawar kawsaykuq	白血球
Evo Morales	エボ・モラレス
66 kñ	紀元前66年
85 kñ	紀元前85年
89 kñ	紀元前89年
72 kñ	紀元前72年
73 kñ	紀元前73年
68 kñ	紀元前68年
Anatole France	アナトール・フランス
Sheffield	シェフィールド
75 kñ	紀元前75年
York	ヨーク (イングランド)
Rawrana	燃料
Roraima suyu	ロライマ州
Uqi	灰色
Q'apachana	香辛料
Thomas More	トマス・モア
Llama	リャマ
James Cameron	ジェームズ・キャメロン
Kuchus	肘
Frederic Mistral	フレデリック・ミストラル
Kura	司祭
Moysespa pichqa ñiqin qillqasqan	申命記
Palistina kamachikuy	パレスチナ自治政府
Saint-Étienne	サン＝テティエンヌ
Piauí suyu	ピアウイ州
Fernando Torres	フェルナンド・トーレス
Olympia (Washington)	オリンピア (ワシントン州)
Han runa	漢民族
Rita Hayworth	リタ・ヘイワース
Kawsay pacha	生物圏
Johnny Cash	ジョニー・キャッシュ
Audrey Hepburn	オードリー・ヘプバーン
Manati	マナティー
Belo Horizonte	ベロオリゾンテ
Sapra	髭
Nîmes	ニーム (フランス)
Le Havre	ル・アーヴル
Mato Grosso suyu	マットグロッソ州
Griguryu I	グレゴリウス1世 (ローマ教皇)
Long Thanh antanka pampa	ロンタイン国際空港
Nicolas Cage	ニコラス・ケイジ
Climinti	クレメンス1世 (ローマ教皇)
201 kñ	紀元前201年
202 kñ	紀元前202年
Truyanu maqanakuy	トロイア戦争
Pirqa	壁
Harbin	ハルビン市
Ivan Pavlov	イワン・パブロフ
Golda Meir	ゴルダ・メイア
1600 watakuna	1600年代
Yatawaki	オーケストラ
146 kñ	紀元前146年
Sesto San Giovanni	セスト・サン・ジョヴァンニ
Cinisello Balsamo	チニゼッロ・バルサモ
Qhisqa	石英
Yawar ch'unqaq	ヒル (動物)
Waranqa	1000
Ephesos Artemis manqus wasi	アルテミス神殿
George Bush	ジョージ・ブッシュ
Yawar puka	ヘモグロビン
Bambi	バンビ (映画)
Ch'akiy	旱魃
Yana piminta	コショウ
Puka umiña	ルビー
Allin qillqay	正書法
Moysespa tawa ñiqin qillqasqan	民数記
Santu	聖人
Tiksi k'atacha	素粒子
Kevin Rudd	ケビン・ラッド
Kusma qara	地衣類
Inkisisyun	異端審問
Raphi q'umir	クロロフィル
Ellen Johnson-Sirleaf	エレン・ジョンソン・サーリーフ
Juanes	フアネス
110 kñ	紀元前110年
Chaqna antawa	貨物自動車
Yunnan pruwinsya	雲南省
106 kñ	紀元前106年
Tantanakuy	組織 (社会科学)
Ch'uya Ispiritu suyu	エスピリトサント州
Rondônia suyu	ロンドニア州
Wiru yura rikch'aq ayllu	イネ科
Aleksandriya pharu	アレクサンドリアの大灯台
Ingrid Bergman	イングリッド・バーグマン
Rimana yapaq	形態素
Sophia Loren	ソフィア・ローレン
Chinchay Hatunmayu suyu	リオグランデ・ド・ノルテ州
Pachapanta	地平線
Zulia suyu	スリア州
Barinas suyu	バリナス州
Ñansa phaqcha	ヴィクトリアの滝
Wayra micha	風力発電
200 kñ	紀元前200年
Urin Mato Grosso suyu	マットグロッソ・ド・スル州
Mijeil Saakashvili	ミヘイル・サアカシュヴィリ
Basaltu	玄武岩
Harry Potter yachaqpa ruminwan	ハリー・ポッターと賢者の石
1700 watakuna	1700年代
Plymouth	プリマス
Robert Boyle	ロバート・ボイル
Shandong pruwinsya	山東省
Richmond (Virginia)	リッチモンド (バージニア州)
Esopus	アイソーポス
Gustave Flaubert	ギュスターヴ・フローベール
China uywa	メス (動物)
Pachakchaki	ムカデ
Fortaleza (Ceará)	フォルタレザ
Marq'a	腕
Angkor Wat	アンコール・ワット
Derby	ダービー (イギリス)
Amedeo Avogadro	アメデオ・アヴォガドロ
Sallqa akllay	自然選択説
Yaku hurquna	井戸
Waman	ハヤブサ属
Desiderius Erasmus	デジデリウス・エラスムス
Wayakil	グアヤキル
Inuhu	フェンネル
Q'umir umiña	エメラルド
Piñi	結晶
Muyuriq pacha	自然環境
Q'inti	ハチドリ
Kiwi p'isqu	キーウィ (鳥)
Chankaku	靴下
Thomas Müller	トーマス・ミュラー
